"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,248923211,1940,-0.00131031095212746
"2","Sample.1","chr10",105000,133620233,1029,0.00828968904787255
"3","Sample.1","chr11",155000,134988311,1097,0.00138968904787255
"4","Sample.1","chr12",80000,133207655,1037,0.0170896890478725
"5","Sample.1","chr13",18729053,114327164,511,0.0262896890478725
"6","Sample.1","chr14",19855857,106841859,691,0.00358968904787255
"7","Sample.1","chr15",20232279,101840595,694,-0.000110310952127456
"8","Sample.1","chr16",55000,90139173,767,-0.0189103109521275
"9","Sample.1","chr17",130000,83148721,905,-0.0179103109521275
"10","Sample.1","chr18",130000,80231643,404,0.0267896890478725
"11","Sample.1","chr19",180000,58578808,796,-0.0384103109521274
"12","Sample.1","chr2",105000,242116765,1624,0.0220896890478725
"13","Sample.1","chr20",158168,64292084,559,-0.0146103109521275
"14","Sample.1","chr21",10569444,46674992,240,0.0259896890478725
"15","Sample.1","chr22",16557005,17650000,11,-0.0373103109521275
"16","Sample.1","chr22",17725000,17975000,6,0.111689689047873
"17","Sample.1","chr22",18025000,50754234,415,-0.0238103109521275
"18","Sample.1","chr3",230000,102000000,597,0.0144896890478725
"19","Sample.1","chr3",102125000,105700000,7,0.178389689047873
"20","Sample.1","chr3",106000000,126925000,137,0.0261896890478725
"21","Sample.1","chr3",126975000,127525000,8,-0.109010310952127
"22","Sample.1","chr3",127575000,198142780,476,0.0328896890478725
"23","Sample.1","chr4",55000,190061561,926,0.0403896890478725
"24","Sample.1","chr5",55000,181364130,1089,0.0212896890478725
"25","Sample.1","chr6",155000,170647990,1167,0.0142896890478725
"26","Sample.1","chr7",55000,159242987,1049,0.00438968904787254
"27","Sample.1","chr8",205000,145039318,931,0.00828968904787255
"28","Sample.1","chr9",130000,138192359,673,-0.00561031095212745
"29","Sample.1","chrX",2518744,152825000,448,0.624689689047872
"30","Sample.1","chrX",152875000,153975000,17,0.406489689047873
"31","Sample.1","chrX",154025000,155640448,13,0.578489689047873
"32","Sample.1","chrY",4518744,21244771,13,-3.69231031095213
