"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,23475000,238,-0.2463,0.0735,-0.2362,0.0579,5.23121494531914e-88,23475000,23475000
"Sample.1","chr1",23575000,25700000,18,0.1083,0.0492,0.1126,0.0393,1.13047735996687e-93,25700000,25700000
"Sample.1","chr1",25825000,28775000,35,-0.2408,0.0629,-0.2312,0.0652,1.03765153616144e-239,28775000,28775000
"Sample.1","chr1",28975000,121738230,401,0.0937,0.0566,0.1015,0.0494,2.78211308845489e-34,121325000,121738230
"Sample.1","chr1",143417294,144850000,6,-0.2043,0.101,-0.1937,0.1364,3.32053567937162e-18,144850000,144850000
"Sample.1","chr1",145475000,150300000,27,0.0862,0.0651,0.0826,0.0795,4.71859198547956e-54,150300000,150525000
"Sample.1","chr1",150425000,248898211,463,0.3045,0.0699,0.3055,0.0604,NA,NA,NA
"Sample.1","chr10",55000,50500000,207,0.0746,0.0682,0.0851,0.0515,2.17559299761848e-262,50500000,50500000
"Sample.1","chr10",50650000,68250000,34,-0.5293,0.1873,-0.5159,0.1271,4.17784139007462e-19,63875000,68875000
"Sample.1","chr10",68350000,133620233,362,-0.3156,0.1187,-0.2926,0.1128,NA,NA,NA
"Sample.1","chr11",130000,56275000,258,-0.3332,0.1603,-0.2888,0.1173,0,56275000,56275000
"Sample.1","chr11",56550000,108325000,294,0.0835,0.0655,0.094,0.0461,0,108325000,108325000
"Sample.1","chr11",108500000,134913311,160,-0.3285,0.1195,-0.2929,0.0875,NA,NA,NA
"Sample.1","chr12",55000,71850000,323,0.0795,0.082,0.0928,0.0558,1.41317855806567e-17,70475000,75950000
"Sample.1","chr12",72075000,91850000,35,-0.0642,0.1383,-0.0539,0.1012,4.21662658888236e-36,88325000,92400000
"Sample.1","chr12",92400000,133182655,257,0.0951,0.0525,0.0976,0.0459,NA,NA,NA
"Sample.1","chr13",18554053,20725000,13,0.0359,0.0932,0.0425,0.1201,3.66480016890593e-26,20725000,20825000
"Sample.1","chr13",20825000,53175000,138,-0.3782,0.1328,-0.3599,0.1237,4.43910854895905e-14,52700000,72900000
"Sample.1","chr13",54250000,94650000,42,-0.6398,0.2953,-0.6181,0.3736,0.000329301746002119,76350000,94950000
"Sample.1","chr13",94725000,101675000,32,-0.396,0.1259,-0.3778,0.1154,3.51105875942787e-150,101675000,101675000
"Sample.1","chr13",102225000,114302164,81,0.0688,0.0625,0.0816,0.0335,NA,NA,NA
"Sample.1","chr14",18981322,106841859,386,-0.3446,0.1881,-0.3029,0.1133,NA,NA,NA
"Sample.1","chr15",20062627,55625000,155,-0.3454,0.1564,-0.3106,0.1143,0,55625000,55625000
"Sample.1","chr15",55950000,101840595,252,0.0989,0.0504,0.1063,0.0449,NA,NA,NA
"Sample.1","chr16",80000,6525000,87,0.09,0.0368,0.0857,0.0306,7.23684134433706e-164,6525000,6525000
"Sample.1","chr16",6950000,88725000,372,-0.2823,0.1251,-0.2579,0.0848,6.0672693315864e-47,88725000,88725000
"Sample.1","chr16",88775000,90139173,26,0.0809,0.0377,0.0723,0.0293,NA,NA,NA
"Sample.1","chr17",130000,11825000,121,-0.2571,0.081,-0.2389,0.0623,0,11825000,11825000
"Sample.1","chr17",12325000,83148721,524,0.0947,0.0635,0.0987,0.0431,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,0.0871,0.0552,0.0909,0.0419,NA,NA,NA
"Sample.1","chr19",180000,58578808,615,0.0962,0.0515,0.0963,0.0434,NA,NA,NA
"Sample.1","chr2",130000,28750000,153,-0.3254,0.113,-0.3093,0.1074,0,28750000,28750000
"Sample.1","chr2",28900000,183900000,500,0.0708,0.0788,0.0872,0.058,9.09601080278952e-12,182875000,186550000
"Sample.1","chr2",185500000,189275000,6,-0.1743,0.1473,-0.2326,0.086,3.85992077577992e-15,187625000,189525000
"Sample.1","chr2",189525000,241925000,251,0.08,0.0709,0.0854,0.0496,5.29432336366053e-21,241925000,241925000
"Sample.1","chr2",241975000,242091765,2,-0.4173,0.067,-0.4173,0.0702,NA,NA,NA
"Sample.1","chr20",158168,64292084,260,0.1065,0.0477,0.1089,0.0414,NA,NA,NA
"Sample.1","chr21",5055000,46649992,117,0.0733,0.0741,0.0841,0.0491,NA,NA,NA
"Sample.1","chr22",15716995,50754234,225,0.1024,0.053,0.1035,0.0377,NA,NA,NA
"Sample.1","chr3",155000,73475000,295,0.0875,0.0539,0.092,0.0448,5.09448081553873e-69,73475000,74975000
"Sample.1","chr3",73625000,98225000,25,-0.1581,0.1492,-0.1207,0.1081,1.95904847780521e-47,95850000,98525000
"Sample.1","chr3",98525000,150450000,192,0.0828,0.0618,0.0913,0.0432,2.61474852337983e-281,150450000,150450000
"Sample.1","chr3",150550000,182300000,82,-0.4937,0.2017,-0.4708,0.1964,7.60124215703367e-07,177275000,182900000
"Sample.1","chr3",182900000,188025000,35,-0.2948,0.0802,-0.2805,0.0899,3.86730416138866e-14,187800000,188775000
"Sample.1","chr3",188400000,191850000,9,-0.5638,0.1265,-0.5447,0.1385,6.28048535820841e-08,190300000,193050000
"Sample.1","chr3",192550000,198167780,42,-0.3226,0.1071,-0.2905,0.0881,NA,NA,NA
"Sample.1","chr4",155000,58014397,222,0.0683,0.0659,0.076,0.0515,9.92929661637175e-32,58014397,67625000
"Sample.1","chr4",60485691,70500000,10,-0.2374,0.2217,-0.1975,0.2155,1.05366648407983e-14,67950000,70725000
"Sample.1","chr4",70725000,129400000,153,0.0503,0.0957,0.059,0.0746,1.70986957975838e-14,128575000,131825000
"Sample.1","chr4",130725000,138125000,8,-0.2471,0.169,-0.2831,0.1808,1.61047757171177e-16,133725000,139150000
"Sample.1","chr4",138800000,190061561,139,0.0434,0.0857,0.0519,0.0674,NA,NA,NA
"Sample.1","chr5",80000,17440274,92,0.0751,0.0476,0.0759,0.0396,6.81372477324591e-68,17440274,17440274
"Sample.1","chr5",18140274,30150000,9,-0.2916,0.1357,-0.2413,0.0838,3.96887981961178e-35,28325000,31325000
"Sample.1","chr5",31325000,140725000,317,0.068,0.0816,0.0794,0.0569,0.000110985375096136,140000000,140825000
"Sample.1","chr5",140775000,141125000,6,-0.0927,0.0892,-0.1184,0.0536,6.43897092721928e-10,141000000,141250000
"Sample.1","chr5",141175000,181364130,204,0.0967,0.0663,0.1017,0.0525,NA,NA,NA
"Sample.1","chr6",205000,29575000,173,-0.4059,0.141,-0.3884,0.1355,2.99863587432226e-05,28325000,30525000
"Sample.1","chr6",29625000,32450000,51,-0.2908,0.1593,-0.2419,0.0728,1.41639008926649e-36,32450000,32575000
"Sample.1","chr6",32525000,32725000,5,-1.7773,0.714,-2.037,0.5168,1.82136689932619e-106,32625000,32725000
"Sample.1","chr6",32775000,44325000,108,-0.2623,0.0834,-0.2484,0.059,6.64542328348553e-07,44175000,52875000
"Sample.1","chr6",44525000,66950000,46,-0.4298,0.2792,-0.4361,0.1472,4.86068050821879e-148,63175000,66950000
"Sample.1","chr6",68225000,170647990,357,0.0643,0.0824,0.0766,0.0579,NA,NA,NA
"Sample.1","chr7",55000,3475000,56,-0.2626,0.0739,-0.2498,0.0745,4.52833499576652e-176,3475000,3800000
"Sample.1","chr7",3800000,80025000,297,0.0719,0.0819,0.0848,0.0586,2.08214474313688e-24,78275000,80025000
"Sample.1","chr7",80750000,86950000,9,-0.2285,0.1249,-0.2293,0.0969,2.04686912187204e-25,86950000,87175000
"Sample.1","chr7",87175000,159242987,358,0.0776,0.0822,0.0851,0.0577,NA,NA,NA
"Sample.1","chr8",205000,145039318,526,0.071,0.0981,0.0854,0.0494,NA,NA,NA
"Sample.1","chr9",105000,138217359,281,0.0875,0.0543,0.0905,0.0425,NA,NA,NA
"Sample.1","chrX",2718744,155640448,304,0.1454,0.0777,0.1537,0.063,NA,NA,NA
"Sample.1","chrY",3568744,24239248,13,-1.5558,0.2763,-1.6472,0.1658,NA,NA,NA
