"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",0.035,0.045,0.041,0.065,0.274
"chr1-0002","chr1",521369,700000,"chr1-0002",0.068,0.08,0.122,0.04,0.164
"chr1-0003","chr1",700001,800000,"chr1-0003",0.019,0.06,0.037,0.011,0.058
"chr1-0004","chr1",800001,900000,"chr1-0004",0.07,0.085,0.221,0.107,-0.04
"chr1-0005","chr1",900001,1000000,"chr1-0005",0.071,0.117,0.269,0.174,0.055
"chr1-0006","chr1",1000001,1100000,"chr1-0006",0.113,0.155,0.269,0.193,0.117
"chr1-0007","chr1",1100001,1200000,"chr1-0007",0.117,0.171,0.261,0.22,0.058
"chr1-0008","chr1",1200001,1300000,"chr1-0008",0.115,0.143,0.262,0.179,0.053
"chr1-0009","chr1",1300001,1400000,"chr1-0009",0.117,0.07,0.213,0.093,0
"chr1-0010","chr1",1400001,1500000,"chr1-0010",0.12,0.132,0.23,0.167,0.078
"chr1-0011","chr1",1500001,1600000,"chr1-0011",0.119,0.138,0.253,0.208,0.17
"chr1-0012","chr1",1600001,1700000,"chr1-0012",0.197,0.156,0.301,0.22,0.193
"chr1-0013","chr1",1700001,1800000,"chr1-0013",0.089,0.071,0.188,0.14,0.139
"chr1-0014","chr1",1800001,1900000,"chr1-0014",0.106,0.098,0.213,0.13,-0.024
"chr1-0015","chr1",1900001,2000000,"chr1-0015",0.11,0.131,0.233,0.144,0.054
"chr1-0016","chr1",2000001,2100000,"chr1-0016",0.104,0.051,0.18,0.045,-0.016
"chr1-0017","chr1",2100001,2200000,"chr1-0017",0.127,0.063,0.223,0.109,-0.027
"chr1-0018","chr1",2200001,2300000,"chr1-0018",0.117,0.078,0.197,0.095,-0.063
"chr1-0019","chr1",2300001,2400000,"chr1-0019",0.077,0.052,0.167,0.053,-0.077
"chr1-0020","chr1",2400001,2500000,"chr1-0020",0.065,0.044,0.195,0.034,-0.206
"chr1-0021","chr1",2500001,2634220,"chr1-0021",0.15,0.059,0.251,0.085,-0.029
"chr1-0022","chr1",2684221,2800000,"chr1-0022",0.09,-0.046,0.139,-0.018,-0.202
"chr1-0023","chr1",2800001,2900000,"chr1-0023",0.061,-0.058,0.102,-0.072,-0.27
"chr1-0024","chr1",2900001,3000000,"chr1-0024",0.022,-0.017,0.089,-0.075,-0.199
"chr1-0025","chr1",3000001,3100000,"chr1-0025",0.053,-0.057,0.04,-0.064,-0.252
"chr1-0026","chr1",3100001,3200000,"chr1-0026",0.008,-0.094,-0.011,-0.102,-0.176
"chr1-0027","chr1",3200001,3300000,"chr1-0027",0.053,-0.167,0.024,-0.127,-0.336
"chr1-0028","chr1",3300001,3400000,"chr1-0028",0.066,-0.014,0.096,-0.009,-0.175
"chr1-0029","chr1",3400001,3500000,"chr1-0029",0.054,0.006,0.168,0.002,-0.16
"chr1-0030","chr1",3500001,3600000,"chr1-0030",0.06,0.042,0.149,0.097,0.042
"chr1-0031","chr1",3600001,3700000,"chr1-0031",0.077,-0.022,0.12,0,-0.151
"chr1-0032","chr1",3700001,3800000,"chr1-0032",0.031,-0.03,0.111,0.05,-0.041
"chr1-0033","chr1",3800001,3845268,"chr1-0033",0.061,0.005,0.098,0.003,-0.094
"chr1-0034","chr1",3995269,4100000,"chr1-0034",0.034,-0.065,-0.02,-0.051,-0.066
"chr1-0035","chr1",4100001,4200000,"chr1-0035",0.024,-0.065,-0.013,-0.04,-0.068
"chr1-0036","chr1",4200001,4300000,"chr1-0036",0.138,-0.003,0.079,-0.009,0.031
"chr1-0037","chr1",4300001,4500000,"chr1-0037",-0.074,-0.12,-0.111,-0.245,-0.193
"chr1-0038","chr1",4500001,4600000,"chr1-0038",-0.135,-0.144,-0.168,-0.167,-0.224
"chr1-0039","chr1",4600001,4700000,"chr1-0039",-0.018,-0.042,-0.068,-0.067,-0.172
"chr1-0040","chr1",4700001,4800000,"chr1-0040",0.014,-0.036,0.079,-0.02,-0.129
"chr1-0041","chr1",4800001,4900000,"chr1-0041",-0.056,-0.122,-0.174,-0.089,-0.176
"chr1-0042","chr1",4900001,5300000,"chr1-0042",-0.136,-0.075,-0.13,-0.061,-0.088
"chr1-0043","chr1",5300001,5500000,"chr1-0043",0.082,-0.074,-0.046,0.021,-0.011
"chr1-0044","chr1",5500001,5700000,"chr1-0044",-0.03,-0.057,-0.062,-0.051,-0.161
"chr1-0045","chr1",5700001,5800000,"chr1-0045",0.035,0.02,-0.037,-0.007,-0.021
"chr1-0046","chr1",5800001,5900000,"chr1-0046",0.036,-0.146,-0.015,-0.088,-0.219
"chr1-0047","chr1",5900001,6000000,"chr1-0047",0.063,-0.054,0.028,-0.021,-0.106
"chr1-0048","chr1",6000001,6100000,"chr1-0048",0.097,0.069,0.152,0.05,-0.019
"chr1-0049","chr1",6100001,6200000,"chr1-0049",0.069,-0.055,0.043,-0.025,-0.117
"chr1-0050","chr1",6200001,6300000,"chr1-0050",0.018,0.006,0.096,-0.001,-0.091
"chr1-0051","chr1",6300001,6400000,"chr1-0051",0.077,-0.028,0.123,0.009,-0.041
"chr1-0052","chr1",6400001,6500000,"chr1-0052",0.091,-0.018,0.128,0.036,0.027
"chr1-0053","chr1",6500001,6600000,"chr1-0053",0.102,0.047,0.179,0.052,0.014
"chr1-0054","chr1",6600001,6700000,"chr1-0054",0.084,0.036,0.17,0.089,0.096
"chr1-0055","chr1",6700001,6800000,"chr1-0055",0.086,0.076,0.145,0.118,0.185
"chr1-0056","chr1",6800001,6900000,"chr1-0056",0.11,0.077,0.247,0.215,0.274
"chr1-0057","chr1",6900001,7000000,"chr1-0057",0.03,0.054,0.031,0.085,0.129
"chr1-0058","chr1",7000001,7100000,"chr1-0058",0.109,0.011,-0.014,0.011,-0.028
"chr1-0059","chr1",7100001,7200000,"chr1-0059",0.023,-0.062,-0.058,0.004,-0.046
"chr1-0060","chr1",7200001,7300000,"chr1-0060",0.03,-0.023,0.002,0.022,0.055
"chr1-0061","chr1",7300001,7400000,"chr1-0061",-0.072,-0.121,-0.1,-0.056,-0.175
