GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	62920	86341	11	-0.5709
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	98588	3744856	947	-0.2152
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	3749303	3779972	19	-0.8641
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	3780042	15823420	7354	-0.2418
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	15827002	15827430	6	-1.7569
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	15827706	16868660	361	-0.2299
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	16877002	16949746	53	0.1175
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	16951445	56396482	22688	-0.2384
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	56396966	64377044	5949	0.1639
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	64380467	64382485	2	-1.1002
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	64385862	72318471	5374	0.1832
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	72318487	72351338	35	0.5785
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	72352916	88505114	10607	0.196
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	88505737	101824797	8355	0.1697
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	101826081	102485947	502	0.212
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	102487529	102492584	2	-1.2738
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	102492903	109684893	4108	0.1971
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	109690352	109697556	13	1.4481
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	109702376	121593055	7125	0.1576
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	121593930	121705338	5	-0.217
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	143459641	143893019	123	1.2327
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	143921397	143927887	3	0.8274
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	143928045	144932423	18	-0.1176
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	145642976	150705243	1261	0.6185
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	150705581	152583291	1033	0.5707
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	152583319	152618018	34	0.9619
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	152618089	152787202	165	0.612
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	152789447	152796094	36	0.2402
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	152796224	161647641	5257	0.5797
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	161647657	161649268	8	-0.3082
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	161678447	161967392	219	0.5684
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	161967834	169247699	5783	0.6115
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	169264736	169272528	6	1.3973
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	169273163	186749185	11493	0.6163
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	186749246	194479104	5213	0.6614
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	194482281	194485888	2	-1.4841
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	194487886	196745743	1448	0.676
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	196758720	196762956	4	-1.695
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	196769493	196788990	31	0.7956
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	196789019	196802150	8	-0.1293
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	196820098	199907607	1899	0.6461
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	199909386	208035213	5305	0.5877
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	208036040	218348939	7506	0.6248
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	218350962	222193326	2685	0.3943
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	222201492	222203662	2	-3.1639
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	222208792	236995874	9924	0.3653
db9a3940-19be-4c9e-bc2f-1daf319b024d	1	236998014	239374790	1921	0.4173
