SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
50	1	754192	39046130	3234	TotalCN	0	-1.419	NaN	75	0	Recentered_STT9350.RC.OSCHP
51	1	39053684	76729651	3020	TotalCN	1	-0.314	0.367	75	0	Recentered_STT9350.RC.OSCHP
52	1	76729911	77737217	70	TotalCN	0	-0.815	0.489	75	0	Recentered_STT9350.RC.OSCHP
53	1	77740787	93262704	1170	TotalCN	1	-0.308	0.361	75	0	Recentered_STT9350.RC.OSCHP
54	1	93277926	98750052	431	TotalCN	0	-0.742	0.479	75	0	Recentered_STT9350.RC.OSCHP
55	1	98766448	100496707	126	TotalCN	1	-0.32	0.352	75	0	Recentered_STT9350.RC.OSCHP
56	1	100508562	110207482	746	TotalCN	0	-0.75	0.48	75	0	Recentered_STT9350.RC.OSCHP
57	1	110210671	111606689	135	TotalCN	1	-0.467	0.395	75	0	Recentered_STT9350.RC.OSCHP
58	1	111615498	152411090	1283	TotalCN	0	-0.727	0.482	75	0	Recentered_STT9350.RC.OSCHP
59	1	152411813	208569475	4414	TotalCN	1	-0.301	0.369	75	0	Recentered_STT9350.RC.OSCHP
60	1	208612749	249212878	3171	TotalCN	0	-1.459	NaN	75	0	Recentered_STT9350.RC.OSCHP
61	2	21494	243052331	18102	TotalCN	0	-1.432	NaN	75	0	Recentered_STT9350.RC.OSCHP
62	3	63411	10140671	771	TotalCN	0	-0.748	0.483	75	0	Recentered_STT9350.RC.OSCHP
63	3	10140975	10174373	35	TotalCN	1	-0.607	NaN	75	0	Recentered_STT9350.RC.OSCHP
64	3	10174474	47884239	2877	TotalCN	0	-0.751	0.483	75	0	Recentered_STT9350.RC.OSCHP
65	3	47899878	48339360	33	TotalCN	1	-0.831	NaN	75	0	Recentered_STT9350.RC.OSCHP
66	3	48360433	50371432	200	TotalCN	0	-0.717	0.485	75	0	Recentered_STT9350.RC.OSCHP
67	3	50376547	50595281	19	TotalCN	1	-0.675	NaN	75	0	Recentered_STT9350.RC.OSCHP
68	3	50615539	69906043	1731	TotalCN	0	-0.741	0.484	75	0	Recentered_STT9350.RC.OSCHP
69	3	69907521	70007149	140	TotalCN	1	-0.768	NaN	75	0	Recentered_STT9350.RC.OSCHP
70	3	70007486	77195300	512	TotalCN	0	-0.738	0.478	75	0	Recentered_STT9350.RC.OSCHP
71	3	77203157	78087465	128	TotalCN	1	-0.85	NaN	75	0	Recentered_STT9350.RC.OSCHP
72	3	78101577	83334025	393	TotalCN	0	-0.761	0.488	75	0	Recentered_STT9350.RC.OSCHP
73	3	83342940	83877684	30	TotalCN	1	-0.811	NaN	75	0	Recentered_STT9350.RC.OSCHP
74	3	83890231	197852564	8168	TotalCN	0	-1.071	0.363	75	0	Recentered_STT9350.RC.OSCHP
75	4	69404	11606915	722	TotalCN	0	-0.716	0.485	75	0	Recentered_STT9350.RC.OSCHP
76	4	11614944	11884262	18	TotalCN	1	-0.642	NaN	75	0	Recentered_STT9350.RC.OSCHP
77	4	11898078	130591851	8218	TotalCN	0	-0.774	0.484	75	0	Recentered_STT9350.RC.OSCHP
78	4	130602383	130870544	18	TotalCN	1	-0.737	NaN	75	0	Recentered_STT9350.RC.OSCHP
79	4	130892616	154200320	1850	TotalCN	0	-0.779	0.485	75	0	Recentered_STT9350.RC.OSCHP
80	4	154226551	155337663	98	TotalCN	1	-0.547	0.425	75	0	Recentered_STT9350.RC.OSCHP
81	4	155365967	165456150	692	TotalCN	0	-0.767	0.483	75	0	Recentered_STT9350.RC.OSCHP
82	4	165470876	165725670	21	TotalCN	1	-0.867	NaN	75	0	Recentered_STT9350.RC.OSCHP
83	4	165726983	190915650	1750	TotalCN	0	-1.041	0.369	75	0	Recentered_STT9350.RC.OSCHP
84	5	38139	28666832	1944	TotalCN	0	-1.257	0.457	75	0	Recentered_STT9350.RC.OSCHP
85	5	28682246	29339932	43	TotalCN	1	-0.536	0.38	75	0	Recentered_STT9350.RC.OSCHP
86	5	29367474	89434524	3925	TotalCN	0	-0.963	0.373	75	0	Recentered_STT9350.RC.OSCHP
87	5	89441320	92134273	175	TotalCN	1	-0.564	0.42	75	0	Recentered_STT9350.RC.OSCHP
88	5	92139632	125262880	2260	TotalCN	0	-0.807	0.481	75	0	Recentered_STT9350.RC.OSCHP
89	5	125270448	130878215	372	TotalCN	1	-0.488	0.423	75	0	Recentered_STT9350.RC.OSCHP
90	5	130892741	139460236	620	TotalCN	0	-0.697	0.481	75	0	Recentered_STT9350.RC.OSCHP
91	5	139475611	143471214	328	TotalCN	1	-0.467	0.421	75	0	Recentered_STT9350.RC.OSCHP
92	5	143497131	146216078	186	TotalCN	0	-0.682	0.482	75	0	Recentered_STT9350.RC.OSCHP
93	5	146240443	150332809	343	TotalCN	1	-0.462	0.422	75	0	Recentered_STT9350.RC.OSCHP
94	5	150353775	180698312	2164	TotalCN	0	-1.033	0.487	75	0	Recentered_STT9350.RC.OSCHP
95	6	204909	30681315	2237	TotalCN	0	-0.859	0.484	75	0	Recentered_STT9350.RC.OSCHP
96	6	30681980	32203996	260	TotalCN	1	-0.736	NaN	75	0	Recentered_STT9350.RC.OSCHP
