"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205240110044_R02C01","chr1",93709,249220311,1701,NA,NA,-0.005,-0.002
"2","205240110044_R02C01","chr10",80000,135462374,954,NA,NA,0.003,0.003
"3","205240110044_R02C01","chr11",130000,54947103,339,7.97762952141042,1.82224454662633e-13,-0.01,-0.013
"4","205240110044_R02C01","chr11",55300000,56450000,11,8.72672400018749,4.36138083165415e-16,-0.278,-0.237
"5","205240110044_R02C01","chr11",56600000,134873258,583,NA,NA,-0.009,-0.008
"6","205240110044_R02C01","chr12",172870,133770948,943,NA,NA,0.018,0.021
"7","205240110044_R02C01","chr13",19110000,115054939,540,NA,NA,-0.014,-0.016
"8","205240110044_R02C01","chr14",19300000,107244770,600,NA,NA,0.005,0.01
"9","205240110044_R02C01","chr15",20100000,102460696,634,NA,NA,0.009,0.005
"10","205240110044_R02C01","chr16",80000,90197377,600,NA,NA,0.043,0.048
"11","205240110044_R02C01","chr17",50000,81097605,663,NA,NA,0.04,0.042
"12","205240110044_R02C01","chr18",55000,78008624,434,NA,NA,0.015,0.016
"13","205240110044_R02C01","chr19",180000,59059492,509,NA,NA,0.068,0.082
"14","205240110044_R02C01","chr2",55000,243051238,1579,NA,NA,-0.017,-0.011
"15","205240110044_R02C01","chr20",130000,62932760,467,NA,NA,0.025,0.03
"16","205240110044_R02C01","chr21",10798948,48059948,226,NA,NA,0.016,0.038
"17","205240110044_R02C01","chr22",16373925,51222283,315,NA,NA,0.048,0.044
"18","205240110044_R02C01","chr3",180000,197881215,1238,NA,NA,-0.02,-0.019
"19","205240110044_R02C01","chr4",55000,190972138,1003,NA,NA,-0.033,-0.026
"20","205240110044_R02C01","chr5",55000,180752630,1092,NA,NA,-0.035,-0.031
"21","205240110044_R02C01","chr6",130000,170977534,1121,NA,NA,-0.041,-0.038
"22","205240110044_R02C01","chr7",55000,159014332,1028,NA,NA,-0.03,-0.026
"23","205240110044_R02C01","chr8",105000,146252011,926,NA,NA,-0.028,-0.021
"24","205240110044_R02C01","chr9",105000,141076716,687,NA,NA,-0.003,-0.003
