Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	11251540	10497349	0.6733	Unbalanced	S-tag133716	S-tag194006	913	1	913
chr1	1	11254843	11745342	490500	0.7327	Unbalanced	S-tag203304	S-tag292840	982	914	69
chr1	1	11797186	12380438	583253	0.6516	Unbalanced	S-tag238425	S-tag186154	1057	983	75
chr1	1	12399399	19005185	6605787	0.6852	Unbalanced	S-tag244078	S-tag072787	1613	1058	556
chr1	1	19010767	27610069	8599303	0.6703	Unbalanced	S-tag278622	S-tag208204	2311	1614	698
chr1	1	27623072	249212878	221589807	0.5	Hetero	S-tag322347	S-tag279722	17813	2312	15502
chr2	2	21494	3821280	3799787	0.6835	Unbalanced	S-tag008358	S-tag116297	18063	17814	250
chr2	2	3825467	50717596	46892130	0.6729	Unbalanced	S-tag089340	S-tag123929	21845	18064	3782
chr2	2	50736207	52335664	1599458	0.7116	Unbalanced	S-tag155995	S-tag311401	21952	21846	107
chr2	2	52360577	54599272	2238696	0.6549	Unbalanced	S-tag302749	S-tag207725	22104	21953	152
chr2	2	54620459	61721474	7101016	0.6795	Unbalanced	S-tag090883	S-tag119580	22703	22105	599
chr2	2	61750015	96604177	34854163	0.5	Hetero	S-tag078034	S-tag069587	24654	22704	1951
chr2	2	96672001	101975912	5303912	0.6774	Unbalanced	S-tag198399	S-tag103173	25206	24655	552
chr2	2	101992474	102444042	451569	0.578	Unbalanced	S-tag098990	S-tag227316	25240	25207	34
chr2	2	102467321	106136911	3669591	0.5	Hetero	S-tag188008	S-tag295312	25500	25241	260
chr2	2	106160182	106665898	505717	0.5617	Unbalanced	S-tag315396	S-tag250745	25535	25501	35
chr2	2	106693142	112046226	5353085	0.6857	Unbalanced	S-tag037477	S-tag238708	25852	25536	317
chr2	2	112184021	114165102	1981082	0.5	Hetero	S-tag286682	S-tag159269	26044	25853	192
chr2	2	114311513	123503566	9192054	0.6749	Unbalanced	S-tag271524	S-tag137122	26663	26045	619
chr2	2	123506815	140119094	16612280	0.6943	Unbalanced	S-tag055896	S-tag012879	27699	26664	1036
chr2	2	140136660	151077809	10941150	0.6717	Unbalanced	S-tag275889	S-tag081476	29096	27700	1397
chr2	2	151090995	243052331	91961337	0.5	Hetero	S-tag249058	S-tag082861	35915	29097	6819
chr3	3	63411	197852564	197789154	0.5	Hetero	S-tag123447	S-tag251937	51111	35916	15196
chr4	4	69404	80023990	79954587	0.5	Hetero	S-tag272826	S-tag208544	56531	51112	5420
chr4	4	80065818	82009707	1943890	0.6746	Unbalanced	S-tag290210	S-tag053176	56662	56532	131
chr4	4	82035067	130373727	48338661	0.5	Hetero	S-tag086737	S-tag316155	60100	56663	3438
chr4	4	130389155	131305286	916132	0.5477	Unbalanced	S-tag052669	S-tag192736	60161	60101	61
chr4	4	131315330	190915650	59600321	0.5	Hetero	S-tag284134	S-tag011735	64556	60162	4395
chr5	5	38139	11368864	11330726	0.6838	Unbalanced	S-tag083571	S-tag092343	65356	64557	800
chr5	5	11381138	12970770	1589633	0.7235	Unbalanced	S-tag186461	S-tag099782	65461	65357	105
chr5	5	12998006	19563798	6565793	0.6617	Unbalanced	S-tag159847	S-tag237432	65887	65462	426
chr5	5	19575593	21270891	1695299	0.5	Hetero	S-tag072774	S-tag189154	66005	65888	118
