seqnames,start,end,width,strand,freq,type,pvalue
1,12827192,14850000,2022809,*,1,loss,1
2,241925000,242116765,191766,*,1,loss,1
3,94075000,176950000,82875001,*,1,loss,1
4,5225000,6800000,1575001,*,1,loss,1
4,68275000,70850000,2575001,*,3,gain,0.2
5,2175000,37275000,35100001,*,1,loss,1
6,32525000,32725000,200001,*,1,gain,0.4
6,35275000,37125000,1850001,*,1,loss,1
10,77275000,77550000,275001,*,1,loss,1
11,77075000,126825000,49750001,*,2,loss,0
12,19150000,21225000,2075001,*,1,gain,0.4
14,94275000,94575000,300001,*,1,loss,1
14,97400000,99075000,1675001,*,1,loss,1
15,85975000,88125000,2150001,*,1,loss,1
16,46900000,51275000,4375001,*,1,loss,1
16,51500000,52850000,1350001,*,1,loss,1
16,53075000,62100000,9025001,*,1,loss,1
16,62425000,66175000,3750001,*,1,loss,1
16,66300000,90139173,23839174,*,1,loss,1
17,5575000,6325000,750001,*,3,loss,0
17,33675000,34475000,800001,*,2,loss,0
17,35875000,36275000,400001,*,2,loss,0
X,2518744,155640448,153121705,*,9,gain,0
Y,4518744,21244771,16726028,*,9,loss,0
