"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",-0.063,0.035,0.492,0.176,0.105,-0.003,-0.186,0.207,0.116
"chr1-0002","chr1",521369,600000,"chr1-0002",0.122,-0.021,0.458,0.148,0.089,-0.061,-0.203,0.195,0.226
"chr1-0003","chr1",600001,750000,"chr1-0003",0.27,-0.042,0.224,0.115,-0.055,-0.11,-0.092,0.132,-0.015
"chr1-0004","chr1",750001,825000,"chr1-0004",0.127,-0.005,0.071,0.05,-0.006,-0.02,-0.115,0.007,0.03
"chr1-0005","chr1",825001,900000,"chr1-0005",0.349,-0.043,0.225,0.11,0.006,0.059,0.073,0.182,0.067
"chr1-0006","chr1",900001,975000,"chr1-0006",0.26,-0.006,0.274,0.154,0.072,0.087,0.064,0.24,0.091
"chr1-0007","chr1",975001,1050000,"chr1-0007",0.267,0.05,0.503,0.268,0.05,0.07,0.069,0.258,0.15
"chr1-0008","chr1",1050001,1125000,"chr1-0008",0.211,-0.008,0.378,0.164,0.045,0.08,-0.003,0.197,0.104
"chr1-0009","chr1",1125001,1200000,"chr1-0009",0.27,0.085,0.451,0.246,0.044,0.096,0.058,0.285,0.146
"chr1-0010","chr1",1200001,1275000,"chr1-0010",0.277,0.023,0.368,0.253,0.04,0.072,0.075,0.246,0.11
"chr1-0011","chr1",1275001,1350000,"chr1-0011",0.347,0.045,0.315,0.204,0.092,0.128,0.09,0.279,0.094
"chr1-0012","chr1",1350001,1425000,"chr1-0012",0.26,0.065,0.303,0.167,0.063,0.071,0.04,0.263,0.099
"chr1-0013","chr1",1425001,1500000,"chr1-0013",0.283,0.1,0.453,0.266,0.088,0.063,0.048,0.292,0.123
"chr1-0014","chr1",1500001,1575000,"chr1-0014",0.29,0.098,0.431,0.224,0.083,0.069,0.077,0.278,0.18
"chr1-0015","chr1",1575001,1650000,"chr1-0015",0.25,0.098,0.576,0.281,0.121,0.154,0.035,0.299,0.13
"chr1-0016","chr1",1650001,1725000,"chr1-0016",0.311,0.147,0.412,0.313,0.14,0.141,0.125,0.261,0.18
"chr1-0017","chr1",1725001,1800000,"chr1-0017",-0.018,0.201,0.328,0.057,0.106,0.069,-0.329,0.019,0.012
"chr1-0018","chr1",1800001,1875000,"chr1-0018",0.135,-0.068,0.115,0.047,-0.022,0.077,0.006,0.148,0.067
"chr1-0019","chr1",1875001,1950000,"chr1-0019",0.135,0.133,0.37,0.146,0.114,0.157,0.01,0.214,0.138
"chr1-0020","chr1",1950001,2025000,"chr1-0020",0.1,0.074,0.338,0.108,0.045,0.102,-0.015,0.173,0.064
"chr1-0021","chr1",2025001,2100000,"chr1-0021",0.157,0.039,0.274,0.139,0.07,0.093,0.002,0.159,0.091
"chr1-0022","chr1",2100001,2175000,"chr1-0022",0.292,0.022,0.221,0.135,0.03,0.1,0.098,0.178,0.037
"chr1-0023","chr1",2175001,2250000,"chr1-0023",0.176,0.041,0.244,0.12,0.019,0.062,0.033,0.146,0.073
"chr1-0024","chr1",2250001,2325000,"chr1-0024",0.237,-0.03,0.326,0.177,0.037,0.103,0.035,0.213,0.103
"chr1-0025","chr1",2325001,2400000,"chr1-0025",0.136,-0.05,0.177,0.049,-0.005,0.049,-0.029,0.115,0.056
"chr1-0026","chr1",2400001,2475000,"chr1-0026",0.124,-0.121,0.134,0.014,-0.058,0.01,-0.037,0.132,0.012
"chr1-0027","chr1",2475001,2550000,"chr1-0027",0.169,-0.088,0.198,0.081,-0.02,0.052,0.013,0.167,0.028
"chr1-0028","chr1",2550001,2634220,"chr1-0028",0.243,-0.132,0.151,0.067,0.034,0.091,0.04,0.192,0.053
"chr1-0029","chr1",2684221,2775000,"chr1-0029",0.058,-0.017,0.088,-0.009,0.023,0.103,-0.065,0.051,0.037
