,205125590013_R05C01,205128000013_R03C01,205128000076_R04C01,205240110044_R02C01,205240110063_R03C01
chr1:792994-248473211,2,2,2,2,2
chr1:792994-185500000,2,2,2,2,2
chr1:186500000-190500000,2,2,2,2,2
chr1:191500000-248473211,2,2,2,2,2
chr2:505000-242091765,2,2,2,2,2
chr2:505000-178500000,2,2,2,2,2
chr2:179500000-187500000,2,2,2,2,2
chr2:188500000-242091765,2,2,2,2,2
chr3:505000-198117780,2,2,2,2,2
chr4:505000-190061561,2,2,2,2,2
chr4:505000-8398739,2,2,2,2,2
chr4:9661458-190061561,2,2,2,2,2
chr5:505000-181239130,2,2,2,2,2
chr6:530000-170372990,2,2,2,2,2
chr6:530000-25500000,2,2,2,2,2
chr6:26500000-44500000,2,2,2,2,2
chr6:45500000-170372990,2,2,2,2,2
chr7:123923-159167987,2,2,2,2,2
chr7:123923-6500000,2,2,2,2,2
chr7:7500000-54500000,2,2,2,2,2
chr7:55500000-77500000,2,2,2,2,2
chr7:78500000-159167987,2,2,2,2,2
chr8:530000-145039318,2,2,2,2,2
chr9:505000-138167359,2,2,2,2,2
chr10:505000-133345233,2,2,2,2,2
chr11:530000-134538311,2,2,2,2,2
chr12:505000-133132655,2,2,2,2,2
chr13:18704053-114177164,2,2,2,2,2
chr13:18704053-52500000,2,2,2,2,2
chr13:53500000-70500000,2,2,2,2,2
chr13:71500000-114177164,2,2,2,2,2
chr14:19805857-106441859,2,2,2,2,2
chr14:19805857-98500000,2,2,2,2,2
chr14:99500000-106441859,2,2,2,2,2
chr15:20232279-101490595,2,2,2,2,2
chr15:20232279-22068372,1,2,2,2,2
chr15:22679121-101490595,2,2,2,2,2
chr16:505000-90114173,2,2,2,2,2
chr16:505000-4500000,2,2,2,2,2
chr16:5500000-86500000,2,2,2,2,2
chr16:87500000-90114173,2,2,2,2,2
chr17:254094-83123721,2,2,2,2,2
chr17:254094-79500000,2,2,2,2,2
chr17:80500000-83123721,2,2,2,2,2
chr18:505000-80131643,2,2,2,2,2
chr19:530000-58303808,2,2,2,2,2
chr20:533168-64167084,2,2,2,2,2
chr21:10569444-46349992,2,2,2,2,2
chr21:10569444-42500000,2,2,2,2,2
chr21:43106231-46349992,2,2,2,2,2
chr22:16657005-50391917,2,2,2,2,2
chrX:2568744-155515448,3,3,3,3,3
chrY:4568744-20998668,1,1,1,1,1
