"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",680494,248923211,2250,-0.0319,0.0992,-0.0285,0.0952,NA,NA,NA
"Sample.1","chr10",67500,133620233,1149,-0.0277,0.1036,-0.0264,0.0961,NA,NA,NA
"Sample.1","chr11",130000,135025811,1301,-0.0229,0.1004,-0.0216,0.0925,NA,NA,NA
"Sample.1","chr12",67500,133220155,1210,-0.0048,0.1043,-0.0022,0.0971,NA,NA,NA
"Sample.1","chr13",18529053,114327164,566,-0.0204,0.1084,-0.017,0.0954,NA,NA,NA
"Sample.1","chr14",19043822,106854359,790,-0.0369,0.1166,-0.0288,0.0977,NA,NA,NA
"Sample.1","chr15",20062627,25062500,26,0.0112,0.1013,0.0144,0.1126,6.08036475099842e-16,25012500,25062500
"Sample.1","chr15",25087500,25237500,6,-0.376,0.1152,-0.3779,0.1047,3.24672722124723e-16,25237500,25337500
"Sample.1","chr15",25337500,101890595,750,-0.0298,0.0962,-0.0257,0.09,NA,NA,NA
"Sample.1","chr16",42500,90151673,997,-0.0035,0.0924,-0.0012,0.089,NA,NA,NA
"Sample.1","chr17",117500,83161221,1170,-0.0246,0.0965,-0.0209,0.0967,NA,NA,NA
"Sample.1","chr18",42500,80244143,425,-0.0014,0.0979,-0.0042,0.0911,NA,NA,NA
"Sample.1","chr19",192500,58578808,1052,-0.0088,0.101,-0.0022,0.0998,NA,NA,NA
"Sample.1","chr2",30000,242116765,1759,-0.0222,0.103,-0.0195,0.0958,NA,NA,NA
"Sample.1","chr20",170668,64292084,624,-0.0084,0.0947,-0.0087,0.0904,NA,NA,NA
"Sample.1","chr21",5067500,46674992,293,0.0071,0.1063,0.0172,0.0972,NA,NA,NA
"Sample.1","chr22",15716995,50766734,520,-0.0121,0.0917,-0.0118,0.0897,NA,NA,NA
"Sample.1","chr3",155000,198167780,1346,-0.0322,0.1083,-0.0269,0.1013,NA,NA,NA
"Sample.1","chr4",55000,190061561,1007,-0.0315,0.1124,-0.026,0.1063,NA,NA,NA
"Sample.1","chr5",42500,181364130,1210,-0.0325,0.1007,-0.0244,0.0947,NA,NA,NA
"Sample.1","chr6",142500,32462500,387,-0.0767,0.1306,-0.0685,0.1227,5.70166383251487e-27,32462500,32600000
"Sample.1","chr6",32525000,32687500,5,-0.7528,0.4341,-0.5646,0.2777,2.63098372445873e-35,32562500,32687500
"Sample.1","chr6",32737500,170660490,916,-0.0722,0.1149,-0.0637,0.1087,NA,NA,NA
"Sample.1","chr7",42500,6787500,166,0.0044,0.0863,0.0062,0.0869,2.284555622513e-22,6787500,6887500
"Sample.1","chr7",6837500,7112500,4,-0.4911,0.332,-0.4691,0.3453,5.08262079920207e-14,6887500,7112500
"Sample.1","chr7",7262500,159242987,1100,-0.0556,0.105,-0.0514,0.1017,NA,NA,NA
"Sample.1","chr8",155000,145039318,1043,-0.0382,0.1034,-0.0302,0.0946,NA,NA,NA
"Sample.1","chr9",105000,138217359,743,-0.0308,0.095,-0.0322,0.0877,NA,NA,NA
"Sample.1","chrX",2518744,155640448,530,0.4112,0.1179,0.412,0.1065,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-3.5609,1.081,-3.8011,0.4523,NA,NA,NA
