"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr1",560684,185525000,1157,14.9518459260018,6.25472517878286e-48,-0.029,-0.019
"2","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr1",186025000,199425000,22,14.2304947121631,1.28766557504864e-43,-0.482,-0.532
"3","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr1",200025000,249195311,329,NA,NA,-0.016,-0.006
"4","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr10",105000,42648344,224,10.8209180560048,3.91255985158492e-25,-0.402,-0.361
"5","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr10",42825000,46313482,32,9.47922627570585,4.64992914351637e-19,0.004,0.019
"6","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr10",46738482,135462374,540,NA,NA,-0.348,-0.299
"7","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr11",130000,20675000,193,8.49981106144275,1.90080498820153e-15,-0.052,-0.035
"8","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr11",21525000,27000000,10,7.99271143776816,9.14837436978985e-14,-0.525,-0.406
"9","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr11",27200000,48950000,105,10.4540579116625,1.19370368402382e-23,-0.071,-0.05
"10","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr11",49225000,56425000,13,12.7807785191212,5.35083182969746e-35,-0.695,-0.715
"11","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr11",56800000,134873258,560,NA,NA,-0.067,-0.022
"12","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr12",172870,9625000,98,7.83009321262945,4.57321681988188e-13,-0.339,-0.295
"13","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr12",9800000,34275000,108,19.1420424464587,2.56617606095759e-79,-0.621,-0.545
"14","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr12",34375000,58300000,172,10.55123329243,7.27562721603918e-24,-0.034,-0.002
"15","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr12",58650000,92450000,103,15.5316820689308,5.65520737693137e-52,-0.293,-0.247
"16","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr12",92700000,133770948,337,NA,NA,-0.025,-0.004
"17","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr13",19110000,60875000,233,10.3269477459488,7.07326523775021e-23,-0.469,-0.438
"18","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr13",61475000,70675000,10,6.11606510613212,3.08453007971693e-08,-1.298,-1.145
"19","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr13",71550000,94175000,39,17.7609838436136,2.12886258388983e-68,-0.669,-0.595
"20","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr13",94700000,115079939,134,NA,NA,-0.092,-0.063
"21","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr14",19325000,26075000,53,10.0973633863039,1.06069354371206e-21,-0.067,-0.045
"22","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr14",26875000,107119770,459,NA,NA,-0.394,-0.343
"23","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr15",20275000,102410696,549,NA,NA,-0.066,-0.026
"24","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr16",105000,31825000,266,12.0370948289021,3.7455028025764e-31,0.035,0.043
"25","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr16",32075000,46517901,14,9.05724570571758,1.8544519098658e-17,-0.265,-0.234
"26","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr16",46675000,90222377,329,NA,NA,0.008,0.015
"27","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr17",25000,16575000,171,24.7591848883802,1.36569746392527e-132,-0.267,-0.221
"28","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr17",16725000,81122605,628,NA,NA,0.011,0.029
"29","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr18",80000,77983624,227,NA,NA,-0.072,-0.038
"30","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr19",180000,19900000,304,37.8515409521422,1.01963635498981e-310,0.073,0.075
"31","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr19",20050000,59084492,400,NA,NA,-0.231,-0.207
"32","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr2",130000,209225000,974,11.9627397694741,1.64400556311666e-30,-0.119,-0.08
"33","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr2",209775000,214675000,10,12.9997310150329,1.89438717010085e-36,-0.446,-0.458
"34","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr2",215475000,243026238,217,NA,NA,-0.031,-0.003
"35","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr20",155000,26234785,117,22.7740245302202,2.44353301727822e-112,-0.324,-0.299
"36","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr20",29536739,62907760,234,NA,NA,0.021,0.031
"37","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr21",10848948,32125000,30,10.3907524205021,2.76002206043011e-23,-0.343,-0.263
"38","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr21",32575000,48084948,123,NA,NA,-0.021,-0.007
"39","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr22",16373925,51197283,291,NA,NA,0.045,0.047
"40","a2cd4859-304f-47bd-a8e6-2564ce864f20_noid","chr3",155000,75675000,400,17.2126052116192,6.06415257181286e-64,-0.046,-0.027
