Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
205125590013_R05C01,1,792994,185500000,165,NA,0.0015716813324537,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,1,792994,248473211,230,NA,-0.0275969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,1,792994,248473211,230,NA,0.00180782459265627,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,1,792994,248473211,230,NA,-7.93429812321472e-06,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,1,792994,248473211,230,NA,-0.00552482440392483,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,1,186500000,190500000,5,NA,-0.113928318667546,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,1,191500000,248473211,60,NA,0.0051716813324537,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,2,505000,178500000,175,NA,0.00657168133245371,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,2,505000,242091765,238,NA,-0.00259696353258866,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,2,505000,242091765,238,NA,-0.00349217540734373,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,2,505000,242091765,238,NA,0.00279206570187679,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,2,505000,242091765,238,NA,0.00177517559607517,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,2,179500000,187500000,9,NA,-0.0776283186675463,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,2,188500000,242091765,54,NA,0.0227716813324537,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,3,505000,198117780,194,NA,-0.000128318667546298,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,3,505000,198117780,194,NA,0.00030303646741134,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,3,505000,198117780,194,NA,-0.0150921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,3,505000,198117780,194,NA,0.00609206570187679,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,3,505000,198117780,194,NA,0.00857517559607517,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,4,505000,190061561,186,NA,-0.00142831866754629,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,4,505000,190061561,186,NA,0.00950303646741134,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,4,505000,8398739,10,NA,0.126607824592656,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,4,505000,190061561,186,NA,-0.00600793429812321,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,4,505000,190061561,186,NA,0.00647517559607517,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,4,9661458,190061561,176,NA,-0.0347921754073437,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,5,505000,181239130,179,NA,0.000571681332453701,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,5,505000,181239130,179,NA,0.00060303646741134,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,5,505000,181239130,179,NA,-0.0156921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,5,505000,181239130,179,NA,-0.000607934298123211,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,5,505000,181239130,179,NA,-0.000624824403924831,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,6,530000,170372990,165,NA,-0.0204283186675463,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,6,530000,25500000,26,NA,-0.00289696353258866,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,6,530000,170372990,165,NA,-0.0358921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,6,530000,170372990,165,NA,-0.0356079342981232,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,6,530000,170372990,165,NA,-0.0331248244039248,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,6,26500000,44500000,19,NA,-0.110196963532589,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,6,45500000,170372990,120,NA,-0.0214969635325887,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,7,123923,159167987,155,NA,-0.0123283186675463,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,7,123923,159167987,155,NA,-0.0283969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,7,123923,6500000,8,NA,0.133807824592656,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,7,123923,159167987,155,NA,-0.0201079342981232,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,7,123923,159167987,155,NA,-0.0312248244039248,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,7,7500000,54500000,48,NA,-0.0417921754073437,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,7,55500000,77500000,18,NA,0.0806078245926563,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,7,78500000,159167987,81,NA,-0.0293921754073437,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,8,530000,145039318,144,NA,-0.0158283186675463,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,8,530000,145039318,144,NA,-0.0185969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,8,530000,145039318,144,NA,-0.0246921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,8,530000,145039318,144,NA,-0.0103079342981232,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,8,530000,145039318,144,NA,0.000175175596075168,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,9,505000,138167359,107,NA,0.00757168133245371,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,9,505000,138167359,107,NA,-0.0183969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,9,505000,138167359,107,NA,0.0161078245926563,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,9,505000,138167359,107,NA,0.0105920657018768,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,9,505000,138167359,107,NA,0.00467517559607517,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,10,505000,133345233,132,NA,0.0022716813324537,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,10,505000,133345233,132,NA,-0.0170969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,10,505000,133345233,132,NA,0.00970782459265626,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,10,505000,133345233,132,NA,0.00879206570187679,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,10,505000,133345233,132,NA,0.00527517559607517,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,11,530000,134538311,128,NA,0.0051716813324537,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,11,530000,134538311,128,NA,-0.0217969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,11,530000,134538311,128,NA,-0.00389217540734373,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,11,530000,134538311,128,NA,0.00239206570187678,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,11,530000,134538311,128,NA,-0.0131248244039248,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,12,505000,133132655,133,NA,0.00927168133245371,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,12,505000,133132655,133,NA,-0.00019696353258866,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,12,505000,133132655,133,NA,0.00840782459265627,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,12,505000,133132655,133,NA,0.0226920657018768,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,12,505000,133132655,133,NA,0.0346751755960752,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,13,18704053,114177164,98,NA,0.000371681332453702,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,13,18704053,114177164,98,NA,0.00380303646741134,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,13,18704053,114177164,98,NA,-0.0240921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,13,18704053,52500000,35,NA,0.0138920657018768,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,13,18704053,114177164,98,NA,-0.00542482440392483,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,13,53500000,70500000,18,NA,-0.0928079342981232,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,13,71500000,114177164,45,NA,0.00659206570187679,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,14,19805857,106441859,86,NA,-0.000628318667546299,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,14,19805857,106441859,86,NA,-0.0148969635325887,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,14,19805857,98500000,78,NA,-0.0194921754073437,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,14,19805857,106441859,86,NA,-0.00550793429812321,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,14,19805857,106441859,86,NA,-0.0105248244039248,NA,0.05,2,tumor,custom,NA
