GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	62920	266187	17	0.0292
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	462795	462894	2	1.6329
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	599171	3185375	663	-0.0629
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	3186748	3906704	377	-0.7534
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	3937137	3957975	20	0.0977
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	3961357	3971267	15	-0.771
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	3974037	11900776	4922	0.033
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	11909975	16482199	2606	0.4922
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	16487426	17040250	160	0.2607
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	17040376	25256850	5225	0.4881
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	25266637	25320455	24	-1.8227
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	25336819	31663315	3277	0.4848
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	31670172	31972468	141	0.022
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	31972914	45785677	7738	0.4909
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	45786472	45800529	9	-0.1114
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	45803152	45898208	55	0.4668
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	45903822	48342115	1471	0.0456
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	48343508	50572289	1185	0.4851
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	50574582	53957577	1741	0.0636
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	53964192	54133040	96	0.4897
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	54137895	58254237	3279	0.0481
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	58257886	58277891	15	0.6956
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	58279731	72284670	9713	0.0626
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	72290430	72297687	9	-1.1519
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	72302735	72345465	48	1.6284
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	72346221	105470754	20943	0.0687
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	105476583	105479753	17	0.777
ffbd85c9-1aa0-40f0-8d3a-f108d6708b79	1	105481433	109679105	2632	0.0654
