"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205125590021_R02C01","chr1",93709,29437500,678,34.41646024326,9.23485037548017e-257,-0.071,-0.082
"2","205125590021_R02C01","chr1",29475000,33475000,80,21.7557202942803,1.26024244439557e-102,0.284,0.286
"3","205125590021_R02C01","chr1",33512500,41725000,152,15.7878542732683,5.62792354844247e-54,0.063,0.055
"4","205125590021_R02C01","chr1",41787500,43312500,31,11.8676335509607,2.9016145411368e-30,0.283,0.285
"5","205125590021_R02C01","chr1",43362500,62012500,259,19.0114848510961,3.335390078204e-78,0.107,0.099
"6","205125590021_R02C01","chr1",62150000,66262500,49,18.5922353721485,9.71807248770742e-75,-0.142,-0.148
"7","205125590021_R02C01","chr1",66375000,109337500,298,31.2371968839909,1.38798499278016e-211,0.22,0.215
"8","205125590021_R02C01","chr1",109412500,120162500,164,20.4887648417702,4.65452801051474e-91,-0.128,-0.131
"9","205125590021_R02C01","chr1",120212500,145287500,27,10.7310486861026,2.07556807131256e-24,0.202,0.207
"10","205125590021_R02C01","chr1",145387500,249207811,1341,NA,NA,0.01,-0.004
"11","205125590021_R02C01","chr10",80000,31612500,408,12.3966609542386,5.99588955440127e-33,0.27,0.278
"12","205125590021_R02C01","chr10",31762500,35487500,44,10.5702539379238,3.71305996441866e-24,0.53,0.496
"13","205125590021_R02C01","chr10",35512500,46162500,84,21.0572739775918,1.16778557998442e-95,0.313,0.314
"14","205125590021_R02C01","chr10",46300982,135462374,1081,NA,NA,0.079,0.077
"15","205125590021_R02C01","chr11",130000,18262500,349,30.3230220431207,2.99373866724867e-199,-0.243,-0.245
"16","205125590021_R02C01","chr11",18300000,48250000,276,8.44889383462325,3.48326576760707e-15,0.036,0.03
"17","205125590021_R02C01","chr11",48612500,55287500,12,10.0414054329451,7.26315130299997e-22,0.277,0.237
"18","205125590021_R02C01","chr11",55500000,61000000,86,20.661617021223,2.25505706014126e-92,0.027,0.011
"19","205125590021_R02C01","chr11",61062500,70837500,288,86.3107598646377,0,0.211,0.216
"20","205125590021_R02C01","chr11",70862500,134898258,756,NA,NA,-0.367,-0.367
"21","205125590021_R02C01","chr12",172870,27725000,379,12.5139435328121,1.29233666766163e-33,-0.28,-0.274
"22","205125590021_R02C01","chr12",27800000,29312500,13,5.51981582693637,1.14943828577625e-06,0.205,0.182
"23","205125590021_R02C01","chr12",29362500,34187500,47,9.31089534465443,8.49159783155372e-19,0.374,0.359
"24","205125590021_R02C01","chr12",34275000,45075000,47,18.3104768500114,3.59047862451013e-72,0.138,0.139
"25","205125590021_R02C01","chr12",45262500,133783448,1170,NA,NA,-0.103,-0.111
"26","205125590021_R02C01","chr13",19110000,69275000,449,24.8838308145122,6.25966060016325e-134,0.095,0.096
"27","205125590021_R02C01","chr13",70237500,115079939,366,NA,NA,0.32,0.305
"28","205125590021_R02C01","chr14",19262500,19887500,3,8.29640390327107,6.49301070800284e-16,0.226,0.217
"29","205125590021_R02C01","chr14",20187500,20787500,7,8.16779186378888,3.11899384493929e-14,0.503,0.519
"30","205125590021_R02C01","chr14",20812500,40525000,206,26.3626566564341,1.14305707477781e-150,0.289,0.281
"31","205125590021_R02C01","chr14",41575000,59112500,143,21.5072662311404,3.53595055296723e-100,-0.039,-0.041
"32","205125590021_R02C01","chr14",59187500,71287500,175,11.9322794910045,1.06122747441225e-30,0.183,0.175
"33","205125590021_R02C01","chr14",71337500,73275000,22,10.6383635314648,1.23775199385476e-24,0.452,0.432
"34","205125590021_R02C01","chr14",73362500,75987500,56,12.8434178353211,2.30478030838277e-35,0.201,0.188
"35","205125590021_R02C01","chr14",76012500,107257270,471,NA,NA,-0.134,-0.117
"36","205125590021_R02C01","chr15",20237500,22560597,10,20.5431004230558,5.04127789285502e-91,0.483,0.456
"37","205125590021_R02C01","chr15",22735597,102448196,1103,NA,NA,0.041,0.018
"38","205125590021_R02C01","chr16",80000,12662500,265,26.5242886352852,2.30709167357661e-152,-0.187,-0.195
"39","205125590021_R02C01","chr16",12725000,33986575,297,20.4235611147535,2.71195917170133e-90,0.012,0.017
"40","205125590021_R02C01","chr16",34224075,47775000,27,7.35365086192486,8.24634034902381e-12,0.398,0.365
"41","205125590021_R02C01","chr16",47975000,50187500,34,23.9522196704265,4.29734218084714e-125,0.691,0.722
"42","205125590021_R02C01","chr16",50237500,51100000,19,9.58389488370286,8.06433674808987e-20,-0.201,-0.196
"43","205125590021_R02C01","chr16",51162500,58750000,113,39.6425053779627,0,-0.418,-0.416
"44","205125590021_R02C01","chr16",58937500,90222377,511,NA,NA,0.009,0.011
"45","205125590021_R02C01","chr17",12500,28025000,503,54.5518044542014,0,0.248,0.244
"46","205125590021_R02C01","chr17",28087500,81122605,1005,NA,NA,-0.109,-0.111
"47","205125590021_R02C01","chr18",42500,14325000,151,14.3789253905843,2.0976304228843e-44,0.155,0.173
"48","205125590021_R02C01","chr18",14462500,77712500,469,7.74341643381947,1.28887886870718e-12,-0.012,-0.013
