"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205243940065_R07C01","chr1",93709,249149416,453,NA,NA,0.136,0.135
"2","205243940065_R07C01","chr10",280000,135262374,264,NA,NA,-0.109,-0.105
"3","205243940065_R07C01","chr11",280000,8750000,19,9.80520599397743,7.51954775451491e-21,-0.119,-0.112
"4","205243940065_R07C01","chr11",9250000,50391927,77,26.6005181922657,8.36590668525363e-154,-0.378,-0.383
"5","205243940065_R07C01","chr11",55097103,80250000,53,9.27404189107483,1.55804734815551e-18,0.086,0.087
"6","205243940065_R07C01","chr11",81000000,125750000,86,12.3992468352815,2.24349269055493e-33,0.262,0.263
"7","205243940065_R07C01","chr11",126250000,134723258,18,NA,NA,-0.09,-0.079
"8","205243940065_R07C01","chr12",322870,8750000,19,11.7105249913085,1.74267591703269e-29,-0.408,-0.381
"9","205243940065_R07C01","chr12",9250000,133670948,242,NA,NA,-0.08,-0.091
"10","205243940065_R07C01","chr13",19260000,37750000,38,17.4949242636217,1.3175969686127e-66,0.14,0.183
"11","205243940065_R07C01","chr13",38250000,67250000,53,33.3682768015789,5.29268204478199e-242,-0.394,-0.365
"12","205243940065_R07C01","chr13",67750000,115054939,85,NA,NA,0.332,0.342
"13","205243940065_R07C01","chr14",19250000,20250000,3,7.17502662367106,1.82312215517117e-11,-0.238,-0.213
"14","205243940065_R07C01","chr14",20750000,35750000,29,8.91105054302078,2.58634629342822e-17,0.164,0.145
"15","205243940065_R07C01","chr14",36250000,57250000,39,22.4380286464064,2.18234519547161e-109,-0.056,-0.056
"16","205243940065_R07C01","chr14",57750000,107144770,99,NA,NA,-0.45,-0.456
"17","205243940065_R07C01","chr15",20250000,102260696,167,NA,NA,-0.4,-0.41
"18","205243940065_R07C01","chr16",280000,29750000,61,15.4265050732383,8.07705119260176e-52,-0.583,-0.571
"19","205243940065_R07C01","chr16",30250000,51250000,21,7.82197331763863,1.58192889701582e-13,-0.076,0.008
"20","205243940065_R07C01","chr16",51750000,59750000,17,11.6098264466851,1.92702602157894e-29,-0.481,-0.491
"21","205243940065_R07C01","chr16",60750000,82750000,44,17.289472523048,3.13282366955373e-65,-0.18,-0.186
"22","205243940065_R07C01","chr16",83250000,90147377,16,NA,NA,-0.902,-0.938
"23","205243940065_R07C01","chr17",148313,448313,2,6.03505810886334,2.64235005753441e-08,-0.062,-0.071
"24","205243940065_R07C01","chr17",750000,10250000,20,28.1398192099106,1.27833298783946e-172,-0.47,-0.482
"25","205243940065_R07C01","chr17",10750000,22131503,24,12.969668778903,1.99493828293759e-36,0.358,0.355
"26","205243940065_R07C01","chr17",25381503,81097605,116,NA,NA,0.078,0.067
"27","205243940065_R07C01","chr18",255000,66750000,118,11.8654203389447,1.88360298523357e-30,0.138,0.131
"28","205243940065_R07C01","chr18",67250000,78008624,24,NA,NA,-0.15,-0.128
"29","205243940065_R07C01","chr19",280000,59059492,115,NA,NA,-0.094,-0.1
"30","205243940065_R07C01","chr2",255000,156250000,296,22.9177386883588,8.74322030026509e-114,-0.085,-0.088
"31","205243940065_R07C01","chr2",156750000,174250000,36,18.1965171021838,8.29510130414455e-72,-0.41,-0.418
"32","205243940065_R07C01","chr2",174750000,243051238,136,NA,NA,-0.058,-0.07
"33","205243940065_R07C01","chr20",280000,62732760,123,NA,NA,0.101,0.085
"34","205243940065_R07C01","chr21",10848948,48059948,69,NA,NA,-0.113,-0.114
"35","205243940065_R07C01","chr22",16373925,51122283,70,NA,NA,-0.165,-0.165
"36","205243940065_R07C01","chr3",280000,107250000,199,11.4886274130075,2.80027348657307e-28,0.152,0.153
"37","205243940065_R07C01","chr3",107750000,197731215,178,NA,NA,-0.005,-0.02
"38","205243940065_R07C01","chr4",255000,93250000,164,17.9257850391986,1.88216058477923e-69,0.145,0.135
"39","205243940065_R07C01","chr4",94000000,190772138,179,NA,NA,-0.061,-0.056
"40","205243940065_R07C01","chr5",255000,1250000,3,5.66929076708401,9.23999578722767e-07,0,-0.004
"41","205243940065_R07C01","chr5",1750000,107250000,195,25.2206975470105,7.13305415499194e-138,0.182,0.181
"42","205243940065_R07C01","chr5",107750000,180702630,146,NA,NA,-0.076,-0.085
"43","205243940065_R07C01","chr6",280000,15250000,31,27.6208865645324,6.84634007771545e-166,-1.125,-1.154
"44","205243940065_R07C01","chr6",15750000,57250000,83,29.5427345275768,9.82057299912918e-190,-0.413,-0.425
"45","205243940065_R07C01","chr6",57793830,85750000,42,27.0646374297529,2.35970825322871e-159,0.224,0.231
"46","205243940065_R07C01","chr6",86250000,116250000,54,29.888354710573,4.39535327430496e-194,-0.369,-0.397
"47","205243940065_R07C01","chr6",116750000,170777534,109,NA,NA,0.157,0.15
"48","205243940065_R07C01","chr7",121242,76250000,143,16.074272265274,8.31101435428804e-56,-0.091,-0.1
"49","205243940065_R07C01","chr7",76750000,156250000,156,5.95883236192,1.58069780670044e-07,0.124,0.122
"50","205243940065_R07C01","chr7",156750000,158814332,5,NA,NA,-0.102,-0.081
"51","205243940065_R07C01","chr8",255000,146152011,281,NA,NA,-0.098,-0.1
"52","205243940065_R07C01","chr9",255000,6750000,14,10.4874218236886,1.23628285983125e-23,-0.523,-0.44
"53","205243940065_R07C01","chr9",7250000,141076716,200,NA,NA,-0.115,-0.121
