Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	3709412	2955221	0.199136603522945	Unbalanced	S-tag133716	S-tag130510	74	1	74
chr1	1	3745721	11191232	7445512	0.21043622754725	Unbalanced	S-tag217835	S-tag044970	279	75	205
chr1	1	11411432	15296019	3884588	0.189854505040297	Unbalanced	S-tag149591	S-tag321729	361	280	82
chr1	1	15455192	30033114	14577923	0.204320118257994	Unbalanced	S-tag278820	S-tag312933	780	362	419
chr1	1	30051330	31494475	1443146	0.231076318730911	Unbalanced	S-tag161166	S-tag125332	816	781	36
chr1	1	31500659	36855694	5355036	0.195856235135926	Unbalanced	S-tag101800	S-tag194943	951	817	135
chr1	1	36887163	38957463	2070301	0.218865421583068	Unbalanced	S-tag130743	S-tag091825	1004	952	53
chr1	1	39092449	39672545	580097	0.308692417800426	Unbalanced	S-tag130177	S-tag009586	1010	1005	6
chr1	1	39835817	60975440	21139624	0.378382317183565	Unbalanced	S-tag304200	S-tag327701	1594	1011	584
chr1	1	61119350	76485783	15366434	0.381353175670789	Unbalanced	S-tag054111	S-tag070654	1831	1595	237
chr1	1	76658494	77828321	1169828	0.461418822071382	Unbalanced	S-tag243895	S-tag324171	1859	1832	28
chr1	1	77895554	85230072	7334519	0.381230750755102	Unbalanced	S-tag122982	S-tag105531	1978	1860	119
chr1	1	85234932	86692117	1457186	0.350229262657787	Unbalanced	S-tag289542	S-tag125634	2024	1979	46
chr1	1	86950271	92573670	5623400	0.374331768379041	Unbalanced	S-tag264235	S-tag322543	2164	2025	140
chr1	1	93160902	97832498	4671597	0.5	Hetero	S-tag177018	S-tag138884	2258	2165	94
chr1	1	98846773	100380037	1533265	0.37726851966646	Unbalanced	S-tag071620	S-tag249334	2294	2259	36
chr1	1	100672060	110207482	9535423	0.5	Hetero	S-tag000793	S-tag143943	2527	2295	233
chr1	1	110277403	111141410	864008	0.389318112767976	Unbalanced	S-tag228388	S-tag025448	2556	2528	29
chr1	1	111316778	111575921	259144	0.461688293373585	Unbalanced	S-tag056236	S-tag299867	2566	2557	10
chr1	1	111586634	152134136	40547503	0.5	Hetero	S-tag149824	S-tag117812	2889	2567	323
chr1	1	152478813	163359482	10880670	0.37490289693787	Unbalanced	S-tag152783	S-tag258236	3246	2890	357
chr1	1	163377536	195193227	31815692	0.384235640285445	Unbalanced	S-tag097254	S-tag139505	4222	3247	976
chr1	1	195205881	208551533	13345653	0.380519582236673	Unbalanced	S-tag283505	S-tag062789	4501	4223	279
chr1	1	208751382	248162694	39411313	0.199658841782783	Unbalanced	S-tag184060	S-tag112058	5513	4502	1012
chr2	2	50814	8477175	8426362	0.202400252125886	Unbalanced	S-tag172851	S-tag119323	5733	5514	220
chr2	2	8598444	19176916	10578473	0.197377482429147	Unbalanced	S-tag306788	S-tag245116	5965	5734	232
chr2	2	19229771	34021004	14791234	0.198026751493079	Unbalanced	S-tag087776	S-tag312605	6306	5966	341
chr2	2	34046688	46908571	12861884	0.201927728577349	Unbalanced	S-tag127445	S-tag040886	6645	6307	339
chr2	2	47289279	48705892	1416614	0.5	Hetero	S-tag191443	S-tag211488	6699	6646	54
chr2	2	48723220	49944565	1221346	0.41757104342634	Unbalanced	S-tag081377	S-tag231667	6732	6700	33
chr2	2	50268555	58497451	8228897	0.192311961037009	Unbalanced	S-tag097486	S-tag144414	6866	6733	134
chr2	2	58503341	70864725	12361385	0.208375724864767	Unbalanced	S-tag295147	S-tag306628	7054	6867	188
chr2	2	71145643	75106441	3960799	0.179380088752391	Unbalanced	S-tag183913	S-tag277126	7105	7055	51
chr2	2	75110455	81816294	6705840	0.203980983434052	Unbalanced	S-tag269148	S-tag042055	7250	7106	145
chr2	2	81819551	100211882	18392332	0.194560855371611	Unbalanced	S-tag057676	S-tag009119	7425	7251	175
chr2	2	100213966	102935237	2721272	0.212217409388129	Unbalanced	S-tag185304	S-tag132726	7508	7426	83
chr2	2	103211442	115560289	12348848	0.196152959069287	Unbalanced	S-tag293339	S-tag225190	7804	7509	296
chr2	2	115576424	118593180	3016757	0.208125228492113	Unbalanced	S-tag324801	S-tag278767	7882	7805	78
chr2	2	118603765	123782129	5178365	0.202304077955584	Unbalanced	S-tag287617	S-tag230383	7978	7883	96
chr2	2	123802355	125143518	1341164	0.223624626795451	Unbalanced	S-tag266694	S-tag116698	8014	7979	36
chr2	2	125159292	128998223	3838932	0.194128697018812	Unbalanced	S-tag167671	S-tag080144	8115	8015	101
chr2	2	129016127	171329151	42313025	0.207719676809504	Unbalanced	S-tag072073	S-tag031771	8837	8116	722
chr2	2	171375497	171442782	67286	0.182022511959076	Unbalanced	S-tag243902	S-tag264076	8849	8838	12
chr2	2	171448720	199520404	28071685	0.197280023440495	Unbalanced	S-tag324634	S-tag269823	9383	8850	534
chr2	2	199530324	215421427	15891104	0.206422492781418	Unbalanced	S-tag166080	S-tag318781	9754	9384	371
chr2	2	215446793	219202484	3755692	0.184931498579681	Unbalanced	S-tag224536	S-tag154222	9834	9755	80
