Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	1592881	38723101	37130221	0.104255777611895	Unbalanced	S-tag200784	S-tag225383	103	1	103
chr1	1	39092449	76485783	37393335	0.364514079470808	Unbalanced	S-tag130177	S-tag070654	950	104	847
chr1	1	76658494	77755686	1097193	0.464765767748778	Unbalanced	S-tag243895	S-tag104357	974	951	24
chr1	1	77765500	85082985	7317486	0.372504762171233	Unbalanced	S-tag264006	S-tag091281	1096	975	122
chr1	1	85230072	87266144	2036073	0.315094750197049	Unbalanced	S-tag105531	S-tag290660	1153	1097	57
chr1	1	87614821	92573670	4958850	0.359854077299436	Unbalanced	S-tag005866	S-tag322543	1279	1154	126
chr1	1	93160902	97832498	4671597	0.5	Hetero	S-tag177018	S-tag138884	1376	1280	97
chr1	1	98890681	100672060	1781380	0.352270285020003	Unbalanced	S-tag143727	S-tag000793	1413	1377	37
chr1	1	100800905	110210671	9409767	0.5	Hetero	S-tag004391	S-tag268052	1642	1414	229
chr1	1	110277403	111158530	881128	0.377400518257171	Unbalanced	S-tag228388	S-tag119363	1666	1643	24
chr1	1	111211533	111575921	364389	0.439853154695951	Unbalanced	S-tag294723	S-tag299867	1679	1667	13
chr1	1	111586634	152134136	40547503	0.5	Hetero	S-tag149824	S-tag117812	1995	1680	316
chr1	1	152478813	159602870	7124058	0.359097142537947	Unbalanced	S-tag152783	S-tag202916	2252	1996	257
chr1	1	159616629	208551533	48934905	0.368387548489841	Unbalanced	S-tag218662	S-tag062789	3631	2253	1379
chr1	1	208735795	249081330	40345536	0.106749755484107	Unbalanced	S-tag081154	S-tag147530	3767	3632	136
chr2	2	132364	46153114	46020751	0.105104539353578	Unbalanced	S-tag041430	S-tag126572	3935	3768	168
chr2	2	46579409	47289279	709871	0.124493600825469	Unbalanced	S-tag110693	S-tag191443	3941	3936	6
chr2	2	47355143	49491566	2136424	0.42469424780093	Unbalanced	S-tag125632	S-tag171546	3992	3942	51
chr2	2	49515633	49982478	466846	0.169566696981589	Unbalanced	S-tag064718	S-tag264425	4001	3993	9
chr2	2	49997218	242994598	192997381	0.105923526116865	Unbalanced	S-tag268952	S-tag106484	4500	4002	499
chr3	3	120321	48863835	48743515	0.5	Hetero	S-tag180405	S-tag023815	5752	4501	1252
chr3	3	48905161	49454112	548952	0.445151258120313	Unbalanced	S-tag250928	S-tag267935	5768	5753	16
chr3	3	49499829	93548479	44048651	0.5	Hetero	S-tag275218	S-tag131631	6712	5769	944
chr3	3	93584473	127689918	34105446	0.359875470963491	Unbalanced	S-tag078701	S-tag186837	7443	6713	731
chr3	3	127732028	156157738	28425711	0.364845592833917	Unbalanced	S-tag129256	S-tag064297	8197	7444	754
chr3	3	156175657	163133623	6957967	0.374931254092304	Unbalanced	S-tag091197	S-tag069433	8371	8198	174
chr3	3	163144457	182418372	19273916	0.361892957314668	Unbalanced	S-tag006786	S-tag113861	8782	8372	411
chr3	3	182457097	187095439	4638343	0.345608884775463	Unbalanced	S-tag128538	S-tag213757	8884	8783	102
chr3	3	187117921	194924130	7806210	0.37288576652695	Unbalanced	S-tag039746	S-tag219571	9164	8885	280
chr3	3	195315559	197815437	2499879	0.348494988312917	Unbalanced	S-tag099499	S-tag189370	9231	9165	67
chr4	4	387620	154603862	154216243	0.5	Hetero	S-tag113955	S-tag110138	12460	9232	3229
chr4	4	154665021	155319043	654023	0.422613474737321	Unbalanced	S-tag103012	S-tag203220	12481	12461	21
chr4	4	155400984	155933753	532770	0.453719032662255	Unbalanced	S-tag210346	S-tag222920	12488	12482	7
chr4	4	155969377	167017026	11047650	0.5	Hetero	S-tag160965	S-tag026559	12664	12489	176
chr4	4	167655482	190881691	23226210	0.366472716252288	Unbalanced	S-tag149712	S-tag175614	13109	12665	445
chr5	5	350752	1364439	1013688	0.383687183260918	Unbalanced	S-tag190090	S-tag235854	13125	13110	16
chr5	5	1554758	1842286	287529	0.354775395664979	Unbalanced	S-tag308230	S-tag066846	13136	13126	11
chr5	5	2031071	7984374	5953304	0.5	Hetero	S-tag040647	S-tag132890	13306	13137	170
chr5	5	7992135	9009675	1017541	0.451421262075504	Unbalanced	S-tag156485	S-tag208488	13330	13307	24
chr5	5	9025608	15774034	6748427	0.386244197233913	Unbalanced	S-tag256175	S-tag277626	13467	13331	137
chr5	5	15902892	17877417	1974526	0.420039484277368	Unbalanced	S-tag095951	S-tag175400	13499	13468	32
chr5	5	17889537	26838935	8949399	0.5	Hetero	S-tag190939	S-tag061445	13690	13500	191
chr5	5	26886584	28666832	1780249	0.366136617114076	Unbalanced	S-tag029349	S-tag243123	13725	13691	35
chr5	5	28682246	29235973	553728	0.388900369405746	Unbalanced	S-tag001468	S-tag256015	13735	13726	10
chr5	5	29262646	38576182	9313537	0.5	Hetero	S-tag266880	S-tag041788	13928	13736	193
chr5	5	38639684	41789679	3149996	0.463683349415027	Unbalanced	S-tag086091	S-tag257009	14034	13929	106
chr5	5	41810287	50964498	9154212	0.5	Hetero	S-tag148908	S-tag283273	14178	14035	144
chr5	5	51070843	53444498	2373656	0.40365025153153	Unbalanced	S-tag113082	S-tag094412	14220	14179	42
chr5	5	53460839	62075179	8614341	0.356340992315746	Unbalanced	S-tag066138	S-tag261490	14385	14221	165
chr5	5	62094462	67150765	5056304	0.379228748605257	Unbalanced	S-tag173333	S-tag282465	14484	14386	99
chr5	5	67240236	73491141	6250906	0.342115234881771	Unbalanced	S-tag282105	S-tag290502	14597	14485	113
chr5	5	73602138	86357920	12755783	0.352873278805962	Unbalanced	S-tag226909	S-tag102966	14905	14598	308
chr5	5	86376423	87312673	936251	0.385164604832729	Unbalanced	S-tag108443	S-tag199634	14929	14906	24
chr5	5	87355444	87701223	345780	0.390148826620796	Unbalanced	S-tag304874	S-tag119006	14940	14930	11
chr5	5	87756821	88990208	1233388	0.35870021936167	Unbalanced	S-tag238291	S-tag032263	14980	14941	40
chr5	5	89657183	92082627	2425445	0.411780596331314	Unbalanced	S-tag184949	S-tag173386	15034	14981	54
chr5	5	92249816	95618223	3368408	0.36734479403116	Unbalanced	S-tag169568	S-tag148480	15085	15035	51
chr5	5	95977079	96313108	336030	0.438228859351231	Unbalanced	S-tag092021	S-tag241309	15098	15086	13
chr5	5	96343552	117968537	21624986	0.5	Hetero	S-tag092386	S-tag146879	15615	15099	517
chr5	5	118106901	118639270	532370	0.44108154289018	Unbalanced	S-tag265523	S-tag171592	15626	15616	11
chr5	5	118690483	122734005	4043523	0.5	Hetero	S-tag013843	S-tag022791	15724	15627	98
chr5	5	122759862	125232864	2473003	0.358407910143892	Unbalanced	S-tag324523	S-tag226283	15782	15725	58
chr5	5	125262880	127759778	2496899	0.41171414769176	Unbalanced	S-tag076547	S-tag317750	15827	15783	45
chr5	5	128119501	129552816	1433316	0.5	Hetero	S-tag320424	S-tag064887	15852	15828	25
chr5	5	129589886	131275509	1685624	0.433158475394342	Unbalanced	S-tag217731	S-tag263688	15903	15853	51
chr5	5	131315884	139731232	8415349	0.5	Hetero	S-tag158966	S-tag273457	16062	15904	159
chr5	5	139937146	143806847	3869702	0.418971255847386	Unbalanced	S-tag094208	S-tag309176	16167	16063	105
chr5	5	143902390	146165938	2263549	0.5	Hetero	S-tag256058	S-tag171988	16230	16168	63
