"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",677994,12660000,308,-0.1223,0.16,-0.0869,0.1214,6.66097110746479e-20,12495000,13545000
"Sample.1","chr1",12765000,14835000,16,-0.5291,0.2491,-0.6131,0.2676,5.16372473502547e-58,14535000,14930000
"Sample.1","chr1",14930000,248923211,2023,-0.0522,0.1684,-0.031,0.1599,NA,NA,NA
"Sample.1","chr10",70000,72435000,560,-0.0552,0.186,-0.044,0.1613,5.75889680726664e-17,71830000,72570000
"Sample.1","chr10",72570000,73020000,5,-0.3867,0.1476,-0.4328,0.0145,1.45961409993054e-13,72890000,73245000
"Sample.1","chr10",73125000,133625233,610,-0.0187,0.1612,-0.0026,0.144,NA,NA,NA
"Sample.1","chr11",130000,135013311,1369,-0.003,0.1569,0.0143,0.1473,NA,NA,NA
"Sample.1","chr12",55000,133222655,1267,-0.002,0.1701,0.0068,0.1524,NA,NA,NA
"Sample.1","chr13",18639053,114332164,598,-0.0386,0.1886,-0.0262,0.1771,NA,NA,NA
"Sample.1","chr14",19187179,100945000,685,-0.0489,0.1521,-0.0375,0.1447,3.36120434725823e-18,100945000,100955000
"Sample.1","chr14",100955000,101005000,5,-0.6857,0.273,-0.6608,0.4056,4.09247870976106e-38,100985000,101005000
"Sample.1","chr14",101025000,106796859,140,0.0552,0.1161,0.0713,0.0963,NA,NA,NA
"Sample.1","chr15",20062627,101875595,808,-0.1826,0.2333,-0.157,0.2324,NA,NA,NA
"Sample.1","chr16",40000,46500341,505,0.0014,0.1585,0.0226,0.1401,2.68223644790625e-35,35460000,46795000
"Sample.1","chr16",46655000,51250000,48,-0.3035,0.1646,-0.2894,0.1876,9.77329368763385e-09,50950000,51250000
"Sample.1","chr16",51455000,52830000,6,-0.7318,0.0765,-0.7207,0.045,2.43258189236757e-23,52830000,53505000
"Sample.1","chr16",53210000,90159173,507,-0.2053,0.2193,-0.1611,0.1981,NA,NA,NA
"Sample.1","chr17",120000,83168721,1265,0.019,0.1531,0.031,0.1421,NA,NA,NA
"Sample.1","chr18",80000,80206643,417,-0.055,0.1606,-0.0469,0.1389,NA,NA,NA
"Sample.1","chr19",175000,58588808,1106,-0.0788,0.2108,-0.0515,0.2089,NA,NA,NA
"Sample.1","chr2",110000,66070000,538,-0.2678,0.2046,-0.2387,0.2117,5.14528518535111e-19,65500000,66070000
"Sample.1","chr2",66375000,66625000,5,0.3073,0.1348,0.3367,0.1334,8.42931421114735e-16,66625000,66820000
"Sample.1","chr2",66700000,132790000,471,-0.1608,0.2002,-0.1526,0.198,8.24557471297034e-27,131740000,134155000
"Sample.1","chr2",133085000,150830000,77,-0.4395,0.2163,-0.454,0.2232,6.92573000157926e-93,149965000,151275000
"Sample.1","chr2",151150000,242111765,727,0.0046,0.1744,0.0234,0.1642,NA,NA,NA
"Sample.1","chr20",178168,64292084,643,-0.0346,0.1497,-0.0281,0.1585,NA,NA,NA
"Sample.1","chr21",5055000,46679992,284,0.0197,0.1638,0.0081,0.1698,NA,NA,NA
"Sample.1","chr22",15422159,50769234,524,0.029,0.1288,0.0351,0.118,NA,NA,NA
"Sample.1","chr3",115000,151920000,1040,-0.0239,0.1534,-0.0125,0.1396,2.09783937074858e-06,151585000,151920000
"Sample.1","chr3",152060000,152515000,6,0.3285,0.0993,0.3254,0.0871,7.64038412999951e-06,152515000,153260000
"Sample.1","chr3",152710000,198172780,345,-0.0166,0.1584,-0.018,0.1492,NA,NA,NA
"Sample.1","chr4",65000,69425000,444,0.015,0.1678,0.0283,0.1573,3.65310341173523e-20,68940000,69875000
"Sample.1","chr4",69700000,70435000,5,0.5815,0.3567,0.5526,0.164,1.09419714336296e-15,70060000,70435000
"Sample.1","chr4",70665000,190066561,605,-0.0265,0.1638,-0.0245,0.1379,NA,NA,NA
"Sample.1","chr5",50000,1855000,78,-0.0328,0.1329,-0.0316,0.1143,6.80993260916499e-37,1820000,1910000
"Sample.1","chr5",1865000,37230000,185,-0.36,0.2036,-0.3607,0.1979,7.0547121304471e-127,36510000,37660000
"Sample.1","chr5",37430000,181369130,1006,-0.0283,0.1646,-0.0116,0.156,NA,NA,NA
"Sample.1","chr6",140000,170662990,1435,-0.0076,0.1714,-0.003,0.1529,NA,NA,NA
"Sample.1","chr7",50000,159247987,1334,0.003,0.1572,0.0123,0.1488,NA,NA,NA
"Sample.1","chr8",160000,145039318,1072,-0.0365,0.1747,-0.0277,0.1661,NA,NA,NA
"Sample.1","chr9",110000,138227359,730,-0.0227,0.1556,-0.0061,0.148,NA,NA,NA
"Sample.1","chrX",2528744,155645448,559,0.8253,0.2945,0.7774,0.1949,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-2.7152,1.0417,-2.7315,0.9325,NA,NA,NA
