"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","203219750019_R05C01","chr1",93709,249220311,2449,NA,NA,-0.015,-0.004
"2","203219750019_R05C01","chr10",80000,135462374,1342,NA,NA,0.008,0.008
"3","203219750019_R05C01","chr11",130000,76525000,836,41.2577019956427,0,-0.012,0.01
"4","203219750019_R05C01","chr11",76625000,118525000,332,30.5572131203026,2.13369612079861e-202,-0.769,-0.789
"5","203219750019_R05C01","chr11",118575000,134898258,209,NA,NA,-0.048,-0.032
"6","203219750019_R05C01","chr12",172870,133795948,1328,NA,NA,0.01,0.018
"7","203219750019_R05C01","chr13",19110000,115079939,710,NA,NA,-0.011,-0.013
"8","203219750019_R05C01","chr14",19300000,107269770,877,NA,NA,-0.013,-0.004
"9","203219750019_R05C01","chr15",20225000,102435696,925,NA,NA,0.006,0.005
"10","203219750019_R05C01","chr16",80000,90222377,934,NA,NA,0.112,0.133
"11","203219750019_R05C01","chr17",25000,30950000,399,8.48293598176042,3.06641594177761e-15,0.132,0.148
"12","203219750019_R05C01","chr17",31075000,32800000,15,10.4491544013147,3.25374033109705e-23,-0.333,-0.329
"13","203219750019_R05C01","chr17",32925000,81122605,680,NA,NA,0.108,0.118
"14","203219750019_R05C01","chr18",30000,78008624,552,NA,NA,0.003,-0.01
"15","203219750019_R05C01","chr19",180000,59084492,890,NA,NA,0.24,0.262
"16","203219750019_R05C01","chr2",30000,243051238,2146,NA,NA,-0.031,-0.031
"17","203219750019_R05C01","chr20",130000,62932760,699,NA,NA,0.008,0.015
"18","203219750019_R05C01","chr21",10798948,48084948,316,NA,NA,0.047,0.059
"19","203219750019_R05C01","chr22",16373925,51222283,517,NA,NA,0.093,0.11
"20","203219750019_R05C01","chr3",155000,197881215,1681,NA,NA,-0.053,-0.058
"21","203219750019_R05C01","chr4",55000,190972138,1259,NA,NA,-0.059,-0.06
"22","203219750019_R05C01","chr5",55000,180777630,1474,NA,NA,-0.054,-0.058
"23","203219750019_R05C01","chr6",130000,170977534,1539,NA,NA,-0.034,-0.034
"24","203219750019_R05C01","chr7",55000,159039332,1422,NA,NA,0.035,0.038
"25","203219750019_R05C01","chr8",105000,146277011,1266,NA,NA,-0.03,-0.034
"26","203219750019_R05C01","chr9",80000,141076716,929,NA,NA,-0.002,0.003
