"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","203225140266_R03C01","chr1",93709,249149416,453,NA,NA,-0.024,-0.026
"2","203225140266_R03C01","chr10",280000,135262374,264,NA,NA,-0.037,0.001
"3","203225140266_R03C01","chr11",280000,134723258,253,NA,NA,-0.016,0.007
"4","203225140266_R03C01","chr12",322870,133670948,261,NA,NA,-0.02,0.003
"5","203225140266_R03C01","chr13",19260000,115054939,176,NA,NA,-0.108,-0.092
"6","203225140266_R03C01","chr14",19250000,107144770,170,NA,NA,-0.03,-0.01
"7","203225140266_R03C01","chr15",20250000,45750000,54,10.8407494509283,2.11258007663068e-25,0.061,0.073
"8","203225140266_R03C01","chr15",46250000,86250000,81,4.59057006456278,0.000152846713927247,-0.262,-0.234
"9","203225140266_R03C01","chr15",86750000,88750000,5,7.78960935076691,1.75229461514335e-13,-0.558,-0.608
"10","203225140266_R03C01","chr15",89250000,102260696,27,NA,NA,0.006,0.035
"11","203225140266_R03C01","chr16",280000,46692901,73,9.56204151888568,1.05645047849119e-19,0.045,0.073
"12","203225140266_R03C01","chr16",47250000,83750000,72,5.31735475212092,4.2422748530107e-06,-0.293,-0.264
"13","203225140266_R03C01","chr16",84250000,90147377,14,NA,NA,0.05,0.07
"14","203225140266_R03C01","chr17",148313,81097605,162,NA,NA,0.096,0.133
"15","203225140266_R03C01","chr18",255000,78008624,142,NA,NA,-0.076,-0.047
"16","203225140266_R03C01","chr19",280000,23750000,50,12.4582454304805,1.16450163695341e-33,0.262,0.278
"17","203225140266_R03C01","chr19",24315891,59059492,65,NA,NA,-0.029,-0.016
"18","203225140266_R03C01","chr2",255000,231250000,442,9.81089360814895,1.75920403141124e-20,-0.231,-0.184
"19","203225140266_R03C01","chr2",231750000,243051238,26,NA,NA,0.159,0.183
"20","203225140266_R03C01","chr20",280000,62732760,123,NA,NA,0.035,0.087
"21","203225140266_R03C01","chr21",10848948,48059948,69,NA,NA,-0.032,-0.011
"22","203225140266_R03C01","chr22",16373925,51122283,70,NA,NA,0.144,0.193
"23","203225140266_R03C01","chr3",280000,197731215,377,NA,NA,-0.074,-0.06
"24","203225140266_R03C01","chr4",255000,8649602,18,8.62890902084458,8.13570993634101e-16,0.17,0.191
"25","203225140266_R03C01","chr4",9412321,190772138,325,NA,NA,-0.129,-0.104
"26","203225140266_R03C01","chr5",255000,3750000,8,6.09813347120698,4.47410547658082e-08,-0.063,-0.056
"27","203225140266_R03C01","chr5",4250000,36750000,65,16.6990219382712,3.17918292587461e-60,-0.463,-0.484
"28","203225140266_R03C01","chr5",37250000,180702630,271,NA,NA,-0.07,-0.062
"29","203225140266_R03C01","chr6",280000,170777534,319,NA,NA,-0.055,-0.054
"30","203225140266_R03C01","chr7",121242,158814332,304,NA,NA,-0.038,-0.022
"31","203225140266_R03C01","chr8",255000,146152011,281,NA,NA,-0.09,-0.072
"32","203225140266_R03C01","chr9",255000,141076716,214,NA,NA,-0.023,-0.01
