Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
203219650162_R08C01,1,717994,248923211,1940,NA,-0.0240519008170453,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,1,717994,248923211,1940,NA,0.00282293001600291,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,1,717994,248923211,1940,NA,-0.0483694707115108,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,1,717994,248923211,1940,NA,-0.0340122752681905,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,1,717994,248923211,1940,NA,-0.00131031095212746,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,1,717994,248923211,1940,NA,0.000225019497474284,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,1,717994,12650000,185,NA,-0.146901586719531,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,1,717994,248923211,1940,NA,-0.0130680114897626,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,1,717994,248923211,1940,NA,-7.67813024447617e-05,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,1,12827192,14850000,13,NA,-0.461901586719531,NA,0.05,1,tumor,custom,NA
203225140266_R03C01,1,14925000,248923211,1742,NA,-0.0387015867195309,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,2,105000,242116765,1624,NA,-0.00575190081704532,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,2,105000,241875000,1620,NA,0.0222229300160029,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,2,105000,242116765,1624,NA,-0.00306947071151085,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,2,105000,242116765,1624,NA,-0.00131227526819047,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,2,105000,242116765,1624,NA,0.0220896890478725,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,2,105000,242116765,1624,NA,0.0174250194974743,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,2,105000,242116765,1624,NA,-0.129101586719531,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,2,105000,242116765,1624,NA,0.00203198851023743,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,2,105000,242116765,1624,NA,0.0385232186975552,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,2,241925000,242116765,4,NA,-0.438977069983997,NA,0.05,1,tumor,custom,NA
203219650162_R08C01,3,230000,93877787,560,NA,-0.0211519008170453,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,3,230000,198142780,1225,NA,0.0177229300160029,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,3,230000,198142780,1225,NA,-0.0215694707115108,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,3,230000,198142780,1225,NA,-0.00821227526819047,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,230000,102000000,597,NA,0.0144896890478725,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,3,230000,198142780,1225,NA,0.00572501949747429,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,3,230000,198142780,1225,NA,-0.00300158671953087,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,3,230000,198142780,1225,NA,0.00113198851023743,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,3,230000,198142780,1225,NA,0.0358232186975552,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,94075000,176950000,473,NA,-0.605351900817045,NA,0.05,1,tumor,custom,NA
203219760009_R08C01,3,102125000,105700000,7,NA,0.178389689047873,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,106000000,126925000,137,NA,0.0261896890478725,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,126975000,127525000,8,NA,-0.109010310952127,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,127575000,198142780,476,NA,0.0328896890478725,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,177125000,198142780,192,NA,-0.0158519008170453,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,4,55000,69250000,370,NA,0.000948099182954673,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,4,55000,190061561,926,NA,0.0332229300160029,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,4,55000,5025000,78,NA,0.0916305292884892,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,4,55000,190061561,926,NA,0.0318877247318095,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,4,55000,190061561,926,NA,0.0403896890478725,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,4,55000,190061561,926,NA,0.0242250194974743,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,4,55000,68025000,366,NA,-0.00160158671953087,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,4,55000,69250000,370,NA,0.0236319885102374,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,4,55000,190061561,926,NA,0.0687232186975552,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,4,5225000,6800000,22,NA,-0.623769470711511,NA,0.05,1,tumor,custom,NA
203219750019_R05C01,4,6875000,190061561,826,NA,0.0456305292884892,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,4,68275000,70175000,7,NA,0.499298413280469,NA,0.05,3,tumor,custom,NA
203219650162_R08C01,4,69675000,70675000,5,NA,1.82554809918295,NA,0.05,4,tumor,custom,NA
203257030015_R06C01,4,69675000,70850000,7,NA,0.329331988510237,NA,0.05,3,tumor,custom,NA
203225140266_R03C01,4,70500000,190061561,553,NA,-0.00500158671953087,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,4,70750000,190061561,551,NA,0.0348480991829547,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,4,70925000,190061561,549,NA,0.0378319885102374,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,5,55000,181364130,1089,NA,-0.0156519008170453,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,5,55000,181364130,1089,NA,0.0222229300160029,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,5,55000,181364130,1089,NA,-0.0114694707115108,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,5,55000,181364130,1089,NA,-0.0109122752681905,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,5,55000,181364130,1089,NA,0.0212896890478725,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,5,55000,181364130,1089,NA,0.0144250194974743,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,5,55000,2125000,40,NA,-0.0535015867195309,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,5,55000,181364130,1089,NA,-0.00326801148976257,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,5,55000,181364130,1089,NA,0.0387232186975552,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,5,2175000,37275000,171,NA,-0.350201586719531,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,5,37400000,181364130,878,NA,-0.0121015867195309,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,6,155000,170647990,1167,NA,0.00454809918295467,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,6,155000,170647990,1167,NA,0.0160229300160029,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,6,155000,35225000,369,NA,-0.00406947071151085,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,6,155000,170647990,1167,NA,0.000587724731809531,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,6,155000,170647990,1167,NA,0.0142896890478725,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,6,155000,32575000,325,NA,-0.0251749805025257,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,6,155000,170647990,1167,NA,0.000898413280469128,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,6,155000,32450000,323,NA,-0.0219680114897626,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,6,155000,170647990,1167,NA,0.0346232186975552,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,6,32525000,32725000,5,NA,0.572431988510237,NA,0.05,3,tumor,custom,NA
203220070150_R02C01,6,32625000,32675000,2,NA,0.181625019497474,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,6,32725000,170647990,840,NA,-0.00137498050252571,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,6,32775000,170647990,839,NA,0.00123198851023743,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,6,35275000,37125000,30,NA,-0.484269470711511,NA,0.05,1,tumor,custom,NA
