"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",792994,38500000,42,-0.3218,0.0584,-0.3288,0.041,1.42464267000265e-210,38500000,38500000
"Sample.1","chr1",39500000,54500000,16,0.1949,0.0533,0.184,0.0546,1.83578662353489e-11,53500000,57500000
"Sample.1","chr1",55500000,91500000,37,0.3703,0.0912,0.3624,0.0787,8.49520584934947e-35,90500000,92500000
"Sample.1","chr1",92500000,156500000,43,0.1236,0.0844,0.1174,0.0598,8.65101910689336e-35,154500000,157500000
"Sample.1","chr1",157500000,199500000,43,0.3525,0.0845,0.3432,0.095,2.27110133949261e-05,194500000,201500000
"Sample.1","chr1",200500000,208500000,9,0.2074,0.0598,0.1833,0.0277,3.43745762484486e-110,208500000,208500000
"Sample.1","chr1",209500000,248473211,42,-0.2413,0.0539,-0.2434,0.0567,NA,NA,NA
"Sample.1","chr10",505000,73500000,71,0.0978,0.0895,0.077,0.0763,1.03130980559397e-182,73500000,73500000
"Sample.1","chr10",74500000,133345233,62,-0.276,0.0522,-0.2748,0.0454,NA,NA,NA
"Sample.1","chr11",530000,134538311,128,0.0933,0.0776,0.0955,0.0795,NA,NA,NA
"Sample.1","chr12",505000,133132655,133,0.1067,0.0888,0.111,0.0938,NA,NA,NA
"Sample.1","chr13",18704053,46500000,29,0.1134,0.0574,0.1169,0.0742,1.50305351371539e-66,46500000,47500000
"Sample.1","chr13",47500000,62500000,16,-0.2334,0.0765,-0.2319,0.0881,8.06124185216812e-74,62500000,62500000
"Sample.1","chr13",63500000,114177164,53,0.1902,0.0827,0.1795,0.0902,NA,NA,NA
"Sample.1","chr14",19187179,70500000,53,0.1147,0.0898,0.1118,0.0873,4.85699434270491e-48,70500000,71500000
"Sample.1","chr14",71500000,89500000,19,-0.2396,0.0903,-0.2466,0.1024,7.51273131327075e-31,88500000,89500000
"Sample.1","chr14",90500000,106441859,17,0.0475,0.0486,0.0493,0.0388,NA,NA,NA
"Sample.1","chr15",20232279,22679121,5,-0.256,0.1466,-0.3143,0.0692,2.3326613821621e-18,22068372,22679121
"Sample.1","chr15",23113437,101490595,81,0.0722,0.0789,0.0695,0.0801,NA,NA,NA
"Sample.1","chr16",505000,47500000,40,-0.0117,0.0582,-0.0272,0.0417,2.86775162855689e-51,47500000,49500000
"Sample.1","chr16",48500000,90114173,42,-0.2634,0.0875,-0.2777,0.0755,NA,NA,NA
"Sample.1","chr17",254094,83123721,83,0.0167,0.0641,0.0073,0.0588,NA,NA,NA
"Sample.1","chr18",505000,80131643,76,0.1502,0.0868,0.1375,0.0918,NA,NA,NA
"Sample.1","chr19",530000,33500000,32,-0.0688,0.0646,-0.0809,0.0542,4.03027931969445e-103,33500000,33500000
"Sample.1","chr19",34500000,58303808,25,-0.3972,0.0456,-0.4028,0.0283,NA,NA,NA
"Sample.1","chr2",505000,43500000,45,-0.2403,0.054,-0.2453,0.0644,8.81469773761179e-20,43500000,47500000
"Sample.1","chr2",44500000,49500000,6,-0.7117,0.4703,-0.6542,0.5722,3.89627417516546e-32,45500000,49500000
"Sample.1","chr2",50500000,242091765,190,-0.2299,0.0591,-0.2297,0.0614,NA,NA,NA
"Sample.1","chr20",533168,6500000,7,0.0238,0.0505,0.0253,0.0395,5.38326325126004e-08,5500000,8500000
"Sample.1","chr20",7500000,16500000,10,0.1913,0.0657,0.2085,0.0702,8.56587250656279e-10,14500000,18500000
"Sample.1","chr20",17500000,64167084,45,0.0485,0.0608,0.0448,0.0745,NA,NA,NA
"Sample.1","chr21",5088123,13482904,7,0.0517,0.0406,0.0457,0.0098,1.75786823503886e-07,13482904,15500000
"Sample.1","chr21",14500000,28500000,15,0.2302,0.0792,0.2247,0.0658,2.12124431603313e-08,25500000,31500000
"Sample.1","chr21",29500000,46349992,20,0.0859,0.0621,0.0872,0.0539,NA,NA,NA
"Sample.1","chr22",15716995,50391917,38,-0.0082,0.0619,-2e-04,0.0359,NA,NA,NA
"Sample.1","chr3",505000,198117780,194,0.1184,0.0891,0.1165,0.096,NA,NA,NA
"Sample.1","chr4",505000,9661458,11,0.0213,0.0187,0.0188,0.0214,8.92029023988948e-08,9661458,13500000
"Sample.1","chr4",10500000,190061561,179,0.1576,0.0744,0.155,0.0667,NA,NA,NA
"Sample.1","chr5",505000,181239130,179,0.1409,0.0847,0.1404,0.0775,NA,NA,NA
"Sample.1","chr6",530000,170372990,167,0.0922,0.0795,0.0924,0.0789,NA,NA,NA
"Sample.1","chr7",123923,159167987,156,-0.28,0.0718,-0.2716,0.0601,NA,NA,NA
"Sample.1","chr8",530000,145039318,147,0.1038,0.0777,0.0993,0.0748,NA,NA,NA
"Sample.1","chr9",505000,138167359,114,0.0796,0.0912,0.0709,0.0963,NA,NA,NA
"Sample.1","chrX",2568744,155515448,137,0.4843,0.0954,0.4832,0.087,NA,NA,NA
"Sample.1","chrY",2568744,24239248,16,-3.4502,1.3228,-3.8031,0.7505,NA,NA,NA
