Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	49051568	48297377	0.5	Hetero	S-tag133716	S-tag003130	4159	1	4159
chr1	1	49072635	49658500	585866	0.5519	Unbalanced	S-tag023034	S-tag309773	4206	4160	47
chr1	1	49683759	249212878	199529120	0.5	Hetero	S-tag200971	S-tag279722	17813	4207	13607
chr2	2	21494	188916345	188894852	0.5	Hetero	S-tag008358	S-tag245778	31839	17814	14026
chr2	2	188924745	189397071	472327	0.5515	Unbalanced	S-tag056899	S-tag104084	31872	31840	33
chr2	2	189430582	243052331	53621750	0.5	Hetero	S-tag317230	S-tag082861	35915	31873	4043
chr3	3	63411	197852564	197789154	0.5	Hetero	S-tag123447	S-tag251937	51111	35916	15196
chr4	4	69404	134946533	134877130	0.5	Hetero	S-tag272826	S-tag184577	60394	51112	9283
chr4	4	134964519	135353524	389006	0.5588	Unbalanced	S-tag325596	S-tag274874	60421	60395	27
chr4	4	135366515	190915650	55549136	0.5	Hetero	S-tag071471	S-tag011735	64556	60422	4135
chr5	5	38139	143279698	143241560	0.5	Hetero	S-tag083571	S-tag302373	74208	64557	9652
chr5	5	143295020	144181430	886411	0.5362	Unbalanced	S-tag241186	S-tag132502	74266	74209	58
chr5	5	144199767	180698312	36498546	0.5	Hetero	S-tag108479	S-tag320993	76910	74267	2644
chr6	6	204909	170913051	170708143	0.5	Hetero	S-tag032787	S-tag281247	89630	76911	12720
chr7	7	41421	10518609	10477189	0.5	Hetero	S-tag316675	S-tag011669	90475	89631	845
chr7	7	10525322	10877915	352594	0.5528	Unbalanced	S-tag187506	S-tag168406	90497	90476	22
chr7	7	10887581	159118443	148230863	0.5	Hetero	S-tag099559	S-tag164900	101597	90498	11100
chr8	8	172417	62926147	62753731	0.5	Hetero	S-tag057861	S-tag082801	106663	101598	5066
chr8	8	62949629	63949912	1000284	0.5384	Unbalanced	S-tag281024	S-tag309353	106731	106664	68
chr8	8	63963847	92016879	28053033	0.5	Hetero	S-tag048034	S-tag029935	108783	106732	2052
chr8	8	92034408	92653740	619333	0.5435	Unbalanced	S-tag135121	S-tag314304	108825	108784	42
chr8	8	92665927	146292734	53626808	0.5	Hetero	S-tag072892	S-tag181025	113551	108826	4726
chr9	9	204738	141054761	140850024	0.5	Hetero	S-tag285604	S-tag292642	122083	113552	8532
chr10	10	126070	135434303	135308234	0.5	Hetero	S-tag288298	S-tag259257	131774	122084	9691
chr11	11	192764	28438811	28246048	0.5	Hetero	S-tag179986	S-tag122689	133852	131775	2078
chr11	11	28447176	29022493	575318	0.5586	Unbalanced	S-tag172777	S-tag179905	133891	133853	39
chr11	11	29045588	134938847	105893260	0.5	Hetero	S-tag196976	S-tag183870	141718	133892	7827
chr12	12	189400	133818115	133628716	0.5	Hetero	S-tag092992	S-tag062823	152071	141719	10353
chr13	13	19084823	115103150	96018328	0.5	Hetero	S-tag129068	S-tag056489	160002	152072	7931
chr14	14	20219083	107282024	87062942	0.5	Hetero	S-tag079171	S-tag253878	166755	160003	6753
chr15	15	20161372	102397317	82235946	0.5	Hetero	S-tag171992	S-tag076385	172764	166756	6009
chr16	16	83887	90158005	90074119	0.5	Hetero	S-tag168326	S-tag141503	178602	172765	5838
chr17	17	400959	80263427	79862469	0.5	Hetero	S-tag289750	S-tag027976	185023	178603	6421
chr18	18	12842	78007784	77994943	0.5	Hetero	S-tag291980	S-tag113045	190617	185024	5594
chr19	19	247232	59093239	58846008	0.5	Hetero	S-tag031412	S-tag125192	195453	190618	4836
chr20	20	69094	62912463	62843370	0.5	Hetero	S-tag083344	S-tag288225	200568	195454	5115
chr21	21	9648315	48097610	38449296	0.5	Hetero	S-tag044213	S-tag151578	202915	200569	2347
chr22	22	16054713	51213826	35159114	0.5	Hetero	S-tag002075	S-tag053493	205709	202916	2794
chrX	23	177942	155219364	155041423	0.5	Hetero	S-tag184863	S-tag256428	216908	205710	11199
chrY	24	2660163	14026377	11366215	0.8097	Unbalanced	S-tag316182	S-tag292087	217093	216909	185
chrY	24	14042300	15604025	1561726	0.6627	Unbalanced	S-tag122281	S-tag319384	217179	217094	86
chrY	24	15633710	21315771	5682062	0.8787	Unbalanced	S-tag102762	S-tag299284	217396	217180	217
chrY	24	21340910	28799935	7459026	0.7541	Unbalanced	S-tag306436	S-tag022127	217522	217397	126
