"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-001","chr1",10001,177417,"chr1-001",0.023,0.038,0.529,0.223,0.116,0.019,-0.102,0.246,0.124
"chr1-002","chr1",521369,1000000,"chr1-002",0.357,-0.011,0.315,0.194,0.032,0.068,0.131,0.232,0.101
"chr1-003","chr1",1000001,2000000,"chr1-003",0.334,0.066,0.404,0.253,0.077,0.117,0.129,0.284,0.128
"chr1-004","chr1",2000001,2634220,"chr1-004",0.276,-0.027,0.26,0.147,0.02,0.097,0.101,0.196,0.064
"chr1-005","chr1",2684221,3000000,"chr1-005",0.148,-0.039,0.202,0.083,-0.015,0.075,0.03,0.13,0.059
"chr1-006","chr1",3000001,3845268,"chr1-006",0.197,-0.04,0.234,0.116,0.005,0.07,0.046,0.145,0.039
"chr1-007","chr1",3995269,5000000,"chr1-007",-0.005,-0.021,0.08,0.013,-0.052,0.001,-0.123,-0.029,-0.023
"chr1-008","chr1",5000001,6000000,"chr1-008",0.08,-0.008,0.182,0.035,-0.032,0.05,-0.126,0.027,0.016
"chr1-009","chr1",6000001,7000000,"chr1-009",0.251,0.046,0.204,0.14,0.048,0.084,0.044,0.169,0.062
"chr1-010","chr1",7000001,8000000,"chr1-010",0.079,0.014,0.083,0.015,0.005,0.033,-0.089,0.034,-0.013
"chr1-011","chr1",8000001,9000000,"chr1-011",0.168,0.113,0.179,0.135,0.099,0.093,-0.065,0.123,0.09
"chr1-012","chr1",9000001,10000000,"chr1-012",0.216,0.124,0.273,0.153,0.076,0.087,0.086,0.186,0.094
"chr1-013","chr1",10000001,11000000,"chr1-013",0.241,0.075,0.194,0.148,0.068,0.091,0.016,0.151,0.085
"chr1-014","chr1",11000001,12000000,"chr1-014",0.16,0.063,0.123,0.063,0.039,0.057,-0.004,0.126,0.026
"chr1-015","chr1",12000001,13052998,"chr1-015",0.119,0.082,0.129,0.055,0.065,0.062,-0.084,0.082,0.015
"chr1-016","chr1",13607163,14000000,"chr1-016",0.071,0.071,0.071,0.074,0.01,0.014,-0.201,0.08,0.03
"chr1-017","chr1",14000001,15000000,"chr1-017",-0.143,-0.019,-0.151,-0.1,-0.025,-0.017,-0.409,-0.106,-0.071
"chr1-018","chr1",15000001,16000000,"chr1-018",0.09,0.041,0.09,0.05,0.052,0.032,0.011,0.076,0.013
"chr1-019","chr1",16000001,17000000,"chr1-019",0.245,0.053,0.24,0.156,0.058,0.073,0.059,0.178,0.074
"chr1-020","chr1",17000001,17125658,"chr1-020",0.102,-0.024,0.322,0.097,-0.227,-0.043,-0.133,0.033,0.081
"chr1-021","chr1",17175659,18000000,"chr1-021",0.098,0.03,0.174,0.085,0.02,0.045,0.006,0.091,0.016
"chr1-022","chr1",18000001,19000000,"chr1-022",-0.062,-0.011,0,-0.068,-0.044,-0.045,-0.202,-0.039,-0.064
"chr1-023","chr1",19000001,20000000,"chr1-023",0.16,0.035,0.138,0.066,0.036,0.043,-0.02,0.084,0.021
"chr1-024","chr1",20000001,21000000,"chr1-024",0.081,0.021,0.066,0.015,0.009,0.012,-0.127,0.026,-0.01
"chr1-025","chr1",21000001,22000000,"chr1-025",0.168,0.066,0.141,0.074,0.034,0.053,0.005,0.126,0.037
"chr1-026","chr1",22000001,23000000,"chr1-026",0.088,0.036,0.138,0.055,0.023,0.064,-0.037,0.093,0.015
"chr1-027","chr1",23000001,24000000,"chr1-027",0.125,0.061,0.115,0.051,0.052,0.04,-0.097,0.103,0.029
"chr1-028","chr1",24000001,25000000,"chr1-028",0.166,0.068,0.131,0.081,0.051,0.053,-0.062,0.125,0.036
"chr1-029","chr1",25000001,26000000,"chr1-029",0.131,0.034,0.097,0.049,0.04,0.069,-0.041,0.09,0.035
