Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
205125590013_R05C01,1,742994,248923211,1463,NA,-0.000472537418838036,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,1,742994,248923211,1463,NA,-0.000613023151277411,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,1,742994,2651391,19,NA,0.217330687635015,NA,0.05,3,tumor,custom,NA
205240110044_R02C01,1,742994,248923211,1463,NA,-0.00122861677770217,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,1,742994,248923211,1463,NA,-0.0101189731532965,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,1,2823145,248923211,1444,NA,0.00313068763501545,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,2,55000,242091765,1323,NA,0.00702746258116196,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,2,55000,242091765,1323,NA,0.0222869768487226,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,2,55000,242091765,1323,NA,0.00113068763501546,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,2,55000,242091765,1323,NA,0.00497138322229783,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,2,55000,242091765,1323,NA,0.000181026846703519,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,3,155000,198117780,1033,NA,0.000727462581161964,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,3,155000,198117780,1033,NA,0.0232869768487226,NA,0.05,2,tumor,custom,NA
205128000076_R04C01,3,155000,198117780,1033,NA,-0.00686931236498455,NA,0.05,2,tumor,custom,NA
205240110044_R02C01,3,155000,198117780,1033,NA,0.000671383222297831,NA,0.05,2,tumor,custom,NA
205240110063_R03C01,3,155000,198117780,1033,NA,-0.00021897315329648,NA,0.05,2,tumor,custom,NA
205125590013_R05C01,4,55000,190061561,804,NA,0.000727462581161964,NA,0.05,2,tumor,custom,NA
205128000013_R03C01,4,55000,190061561,804,NA,0.0354869768487226,NA,0.05,2,tumor,custom,NA
