seqnames,start,end,width,strand,freq,type,pvalue
1,792994,38500000,37707007,*,7,loss,0.302325581395349
1,39500000,47500000,8000001,*,3,both,0.86046511627907
1,55500000,108500000,53000001,*,7,both,0.193548387096774
1,157500000,208500000,51000001,*,5,gain,0.258064516129032
1,209500000,248473211,38973212,*,5,both,0.674418604651163
2,505000,242091765,241586766,*,12,loss,0.0465116279069767
3,505000,198117780,197612781,*,7,both,0.387096774193548
4,505000,9661458,9156459,*,1,loss,0.86046511627907
4,10500000,190061561,179561562,*,6,both,0.387096774193548
5,505000,84500000,83995001,*,9,both,0.129032258064516
5,92500000,169500000,77000001,*,5,both,0.86046511627907
5,170500000,181239130,10739131,*,3,loss,0.534883720930233
6,530000,14500000,13970001,*,10,loss,0.13953488372093
6,15500000,57726944,42226945,*,9,loss,0.232558139534884
6,60793482,84500000,23706519,*,2,gain,0.612903225806452
6,85500000,116500000,31000001,*,7,loss,0.302325581395349
6,117500000,170372990,52872991,*,3,gain,0.483870967741935
7,123923,76500000,76376078,*,11,loss,0.13953488372093
7,77500000,159167987,81667988,*,10,loss,0.302325581395349
8,530000,145039318,144509319,*,8,both,0.534883720930233
9,505000,138167359,137662360,*,11,loss,0.116279069767442
10,505000,133345233,132840234,*,6,both,0.674418604651163
11,530000,25000000,24470001,*,7,loss,0.302325581395349
11,61500000,70477848,8977849,*,3,both,0.86046511627907
11,71527848,134538311,63010464,*,9,both,0.534883720930233
12,505000,22500000,21995001,*,9,both,0.86046511627907
12,28500000,40500000,12000001,*,3,gain,0.483870967741935
12,47500000,57500000,10000001,*,1,loss,0.86046511627907
12,67500000,75500000,8000001,*,1,loss,0.86046511627907
12,92500000,133132655,40632656,*,3,loss,0.534883720930233
13,18704053,36500000,17795948,*,5,gain,0.258064516129032
13,37500000,66500000,29000001,*,11,loss,0.0465116279069767
13,67500000,109500000,42000001,*,9,gain,0.0645161290322581
13,110500000,114177164,3677165,*,5,gain,0.258064516129032
14,19805857,40000000,20194144,*,8,both,0.193548387096774
14,41500000,56500000,15000001,*,3,loss,0.534883720930233
14,57500000,106441859,48941860,*,12,both,0.674418604651163
15,20232279,101490595,81258317,*,4,both,0.612903225806452
16,505000,34144665,33639666,*,8,loss,0.232558139534884
16,35422504,90114173,54691670,*,13,both,0.674418604651163
17,254094,22426545,22172452,*,10,both,0.0645161290322581
17,27467990,29500000,2032011,*,2,both,0.806451612903226
17,68500000,83123721,14623722,*,6,both,0.387096774193548
18,505000,80131643,79626644,*,7,both,0.258064516129032
19,530000,58303808,57773809,*,6,loss,0.418604651162791
20,533168,64167084,63633917,*,8,both,0.129032258064516
21,10569444,46349992,35780549,*,7,loss,0.418604651162791
22,16657005,50391917,33734913,*,5,both,0.86046511627907
X,2568744,137500000,134931257,*,13,both,0
X,138500000,155515448,17015449,*,11,gain,0.032258064516129
Y,4568744,20998668,16429925,*,13,loss,0
