"","value"
"chr1-0001",0.132250371119429
"chr1-0002",-0.0879307151554747
"chr1-0003",0.0860390176073807
"chr1-0004",0.121694028129794
"chr1-0005",0.0376885003844274
"chr1-0006",0.0618182638877205
"chr1-0007",0.134898511889994
"chr1-0008",0.179045522223539
"chr1-0009",0.0678801726250112
"chr1-0010",0.0149354749572814
"chr1-0011",0.108594090032798
"chr1-0012",0.100357189698256
"chr1-0013",0.118728850303381
"chr1-0014",0.0181205820173251
"chr1-0015",0.0421434098824653
"chr1-0016",0.0408346341812323
"chr1-0017",0.0662102182560494
"chr1-0018",0.0149158806528231
"chr1-0019",0.144588906200721
"chr1-0020",-0.0298524399386482
"chr1-0021",0.192989704636056
"chr1-0022",0.152427455948562
"chr1-0023",0.101505386508221
"chr1-0024",0.12850736907842
"chr1-0025",0.175637140713778
"chr1-0026",0.0968772685671398
"chr1-0027",0.0847496355196604
"chr1-0028",0.0396141261017489
"chr1-0029",0.00647794315615047
"chr1-0030",0.00748362824883676
"chr1-0031",0.0359311813128896
"chr1-0032",0.0459088956354648
"chr1-0033",0.145720077364019
"chr1-0034",0.0578849911405891
"chr1-0035",0.0929567816688339
"chr1-0036",0.149459776638342
"chr1-0037",0.156860809622076
"chr1-0038",0.122191765488
"chr1-0039",0.142025561854158
"chr1-0040",0.195829959439381
"chr1-0041",0.125872190904736
"chr1-0042",0.0508541458182264
"chr1-0043",-0.0351035151892569
"chr1-0044",-0.0820866628887428
"chr1-0045",-0.03109499009333
"chr1-0046",0.0405638857737111
"chr1-0047",0.0267850615623782
"chr1-0048",-0.0735792432750865
"chr1-0049",0.0433693580673905
"chr1-0050",0.183016361833494
"chr1-0051",0.209094210055382
"chr1-0052",0.140648560148062
"chr1-0053",-0.0135978197759564
"chr1-0054",0.09249019946314
"chr1-0055",0.139565098755998
"chr1-0056",0.0588545067177984
"chr1-0057",-0.178197777167192
"chr1-0058",-0.0259656004532486
"chr1-0059",0.120053761951199
"chr1-0060",0.00225054815314596
"chr1-0061",0.0722672240013488
"chr1-0062",0.136523117999826
"chr1-0063",-0.0127369228088454
"chr1-0064",0.134575255678314
"chr1-0065",0.0883031736185278
"chr1-0066",-0.0805741683792715
"chr1-0067",0.0641903581308451
"chr1-0068",0.0217548712371741
"chr1-0069",-0.0166905074066341
"chr1-0070",0.180899175937922
"chr1-0071",0.122731412688584
"chr1-0072",0.0669170548338252
"chr1-0073",-0.00685830727323852
"chr1-0074",-0.0938011449476268
"chr1-0075",0.0173162821700115
"chr1-0076",0.0767207368784235
"chr1-0077",0.0321209754487336
"chr1-0078",0.0749714095956969
"chr1-0079",0.0568981321493997
"chr1-0080",-0.180416503506753
"chr1-0081",0.0279362298719009
"chr1-0082",0.0836665885596032
"chr1-0083",0.0476098467801585
"chr1-0084",-0.157868665377217
"chr1-0085",-0.105673962290863
"chr1-0086",0.0329227731805542
"chr1-0087",0.132882624874549
"chr1-0088",0.0581722616580813
"chr1-0089",-0.010861017946902
"chr1-0090",-0.112859739196673
"chr1-0091",0.00830439619012789
"chr1-0092",-0.0559170430319707
"chr1-0093",-0.136934205434157
"chr1-0094",-0.138655959607805
"chr1-0095",-0.0300177222282972
"chr1-0096",0.0717463837796532
"chr1-0097",-0.179990185012649
"chr1-0098",0.0272488981170881
"chr1-0099",0.108769966582784
"chr1-0100",-0.011654801844354
"chr1-0101",0.00847923898468102
"chr1-0102",-0.0211514322005951
"chr1-0103",0.24453556448997
"chr1-0104",-0.0430002835580838
"chr1-0105",-0.00793839342361282
"chr1-0106",0.014256627948208
"chr1-0107",-0.0323591481349291
"chr1-0108",0.0120840227698448
"chr1-0109",0.0848719900439091
"chr1-0110",-0.0649293085705336
"chr1-0111",0.0743339881307769
"chr1-0112",-0.0641151897662491
"chr1-0113",0.0403152566698957
"chr1-0114",0.0612656282306422
"chr1-0115",0.0933863958777197
"chr1-0116",-0.111618383650813
"chr1-0117",0.0513905099648431
"chr1-0118",0.0199489939518755
"chr1-0119",0.0756416041219822
"chr1-0120",-0.134166608658424
"chr1-0121",-0.0358911455384056
"chr1-0122",0.00579712740694981
"chr1-0123",-0.0573212318107073
"chr1-0124",0.0400173024844995
"chr1-0125",0.0300480720243913
"chr1-0126",-0.0493438762762604
"chr1-0127",-0.0395996456286573
"chr1-0128",0.0481476099736441
"chr1-0129",0.0320030100913479
"chr1-0130",-0.0442467417505595
"chr1-0131",-0.00580535542018518
"chr1-0132",0.0585856819651804
"chr1-0133",0.0444022530688276
"chr1-0134",0.0319888237158081
"chr1-0135",0.0189557589325099
"chr1-0136",0.0879158334643506
"chr1-0137",0.0240789961383647
"chr1-0138",0.109521256464838
"chr1-0139",-0.00619370266947107
"chr1-0140",-0.00842938310988181
"chr1-0141",0.042537319817484
"chr1-0142",-0.0720286825861331
"chr1-0143",0.03467790533126
"chr1-0144",-0.11033051481525
"chr1-0145",0.0380626156654437
"chr1-0146",0.0924305679249895
"chr1-0147",0.207402252136576
"chr1-0148",0.00776091569320404
"chr1-0149",0.033014704736991
"chr1-0150",0.0146772343085871
"chr1-0151",-0.123299467197838
"chr1-0152",-0.00322179288700189
"chr1-0153",0.0192412817880593
"chr1-0154",0.00390765209106593
"chr1-0155",-0.0673043284931814
"chr1-0156",0.00963840504189825
"chr1-0157",-0.0510239669134818
"chr1-0158",0.00823388686143805
"chr1-0159",0.135277211579949
"chr1-0160",0.0361832827549343
"chr1-0161",0.00387400564064931
"chr1-0162",0.0664826920396356
"chr1-0163",0.0251688756767095
"chr1-0164",-0.0734600957402702
"chr1-0165",0.0591750300085563
"chr1-0166",0.0210285711203761
"chr1-0167",0.034645976403012
"chr1-0168",-0.0764984594175639
"chr1-0169",0.0320645038868406
"chr1-0170",0.0223264747008291
"chr1-0171",0.0405102754432242
"chr1-0172",0.0354822711663957
"chr1-0173",-0.0414851242743411
"chr1-0174",-0.0117421356242746
"chr1-0175",-0.0499485845143757
"chr1-0176",0.0998415930085012
"chr1-0177",0.112234187833436
"chr1-0178",0.0745512277250062
"chr1-0179",0.0201704577210966
"chr1-0180",0.0399874318433183
"chr1-0181",0.150900351764576
"chr1-0182",0.0672383292349696
"chr1-0183",-0.00701268320923069
"chr1-0184",0.0182237487222807
"chr1-0185",0.024969435438244
"chr1-0186",-0.0320367457193816
"chr1-0187",-0.0464744122502568
"chr1-0188",-0.0878089570701917
"chr1-0189",-0.00221472872039646
"chr1-0190",-0.028842565931726
"chr1-0191",-0.0282418722673949
"chr1-0192",0.0970164898897
"chr1-0193",0.0899743247215119
"chr1-0194",0.0204172882886519
"chr1-0195",-0.0114423984811809
"chr1-0196",0.0645928297777285
"chr1-0197",0.091068600136205
"chr1-0198",-0.0368859725149956
"chr1-0199",0.0740753494795532
"chr1-0200",-0.0844518654120128
"chr1-0201",0.0297520516504535
"chr1-0202",0.0382165911216513
"chr1-0203",-0.00470504912934614
"chr1-0204",-0.0135043409109402
"chr1-0205",-0.0275006429837593
"chr1-0206",-0.038433262673588
"chr1-0207",0.0437123280826879
"chr1-0208",0.0762060288015314
"chr1-0209",0.066123695862948
"chr1-0210",0.0711791070689018
"chr1-0211",0.0546305003398945
"chr1-0212",0.0690150633836002
"chr1-0213",0.017203930147675
"chr1-0214",0.0714865994596553
"chr1-0215",-0.191947973899812
"chr1-0216",0.0398265983384425
"chr1-0217",0.0202050991957566
"chr1-0218",-0.0444858284193122
"chr1-0219",0.195438336927561
"chr1-0220",0.0233080692497469
"chr1-0221",0.0874325017225753
"chr1-0222",0.129250908385512
"chr1-0223",0.0674388987577613
"chr1-0224",-0.00549839014373471
"chr1-0225",-0.0654788876560601
"chr1-0226",0.070534874667043
"chr1-0227",-0.00885600333047933
"chr1-0228",0.0117114924218705
"chr1-0229",-0.0498324090313381
"chr1-0230",0.0030079830605308
"chr1-0231",0.137860985729461
"chr1-0232",0.0704008074427681
"chr1-0233",0.14782554780918
