"","value"
"chr1-0001",-0.0964231639103038
"chr1-0002",-0.0166974982623709
"chr1-0003",0.0898672871323826
"chr1-0004",0.0305808321535702
"chr1-0005",-0.0294269126668001
"chr1-0006",0.0902934486797751
"chr1-0007",0.130348241905045
"chr1-0008",0.174092131560889
"chr1-0009",0.00289544125927628
"chr1-0010",0.232655671085771
"chr1-0011",0.170395128144681
"chr1-0012",0.146661900775985
"chr1-0013",0.135483164910523
"chr1-0014",0.130193323986395
"chr1-0015",0.103660916599498
"chr1-0016",0.167231432321737
"chr1-0017",0.0807385330104507
"chr1-0018",0.242028283633884
"chr1-0019",0.0448282584720862
"chr1-0020",0.14063474033746
"chr1-0021",0.143885606751855
"chr1-0022",0.153157083298916
"chr1-0023",0.208783621970654
"chr1-0024",0.0173909281370613
"chr1-0025",-0.0770437672466443
"chr1-0026",0.000261003575570356
"chr1-0027",0.0857637017828711
"chr1-0028",0.0598007160516551
"chr1-0029",0.0867502855438215
"chr1-0030",0.0533060058869418
"chr1-0031",0.114708700564361
"chr1-0032",0.145995506017615
"chr1-0033",0.329662309391315
"chr1-0034",0.0329408349195241
"chr1-0035",0.111792710262975
"chr1-0036",-0.00325554434366695
"chr1-0037",0.155138874741334
"chr1-0038",0.204084369731946
"chr1-0039",-0.00932024810788802
"chr1-0040",0.0995038502404328
"chr1-0041",0.0405124075831029
"chr1-0042",0.0605920974739236
"chr1-0043",0.0533643468543351
"chr1-0044",0.153324742192588
"chr1-0045",0.0818326325308491
"chr1-0046",-0.0396329577715231
"chr1-0047",0.0740294690471511
"chr1-0048",0.0250602311789082
"chr1-0049",-0.0423660706623002
"chr1-0050",0.0128028526492017
"chr1-0051",-0.0421218130449382
"chr1-0052",0.0319728876432664
"chr1-0053",0.052179394195762
"chr1-0054",0.0662820111631356
"chr1-0055",-0.0321254404049355
"chr1-0056",-0.0197147273428221
"chr1-0057",0.201599400258041
"chr1-0058",0.0447431686471402
"chr1-0059",-0.00598752441728092
"chr1-0060",0.155793554955202
"chr1-0061",-0.0315531166578688
"chr1-0062",-0.0480442783086052
"chr1-0063",0.0478608835306124
"chr1-0064",0.111086175306575
"chr1-0065",0.0650944743294438
"chr1-0066",-0.0813834718980415
"chr1-0067",0.0760099294445555
"chr1-0068",-0.106423820310119
"chr1-0069",-0.012494635157135
"chr1-0070",-0.123673163650896
"chr1-0071",-0.166413362679728
"chr1-0072",-0.0399005336469799
"chr1-0073",-0.00351990631016159
"chr1-0074",-0.164033181178003
"chr1-0075",-0.138038112086284
"chr1-0076",-0.140327665461141
"chr1-0077",0.154505779098446
"chr1-0078",-0.0868134776009787
"chr1-0079",-0.0691694767587518
"chr1-0080",-0.13897431729195
"chr1-0081",-0.0843837617954047
"chr1-0082",-0.133302187921577
"chr1-0083",-0.155624687890733
"chr1-0084",-0.190201534332847
"chr1-0085",-0.203657353284473
"chr1-0086",-0.149828372888922
"chr1-0087",-0.149419719188584
"chr1-0088",-0.105668647130993
"chr1-0089",-0.0689814353910897
"chr1-0090",-0.112875022370397
"chr1-0091",-0.0157435309485556
"chr1-0092",-0.0997450943175524
"chr1-0093",-0.000979733801676619
"chr1-0094",-0.000282987589397817
"chr1-0095",-0.120711186367695
"chr1-0096",-0.206804418168272
"chr1-0097",0.0875537287289825
"chr1-0098",-0.0232513058835444
"chr1-0099",0.084393684508836
"chr1-0100",-0.00814353915107589
"chr1-0101",-0.14885030729118
"chr1-0102",-0.162424256459073
"chr1-0103",0.0161512381166993
"chr1-0104",0.0992977120846768
"chr1-0105",-0.0717434613547467
"chr1-0106",-0.0213343911343736
"chr1-0107",0.042586532053072
"chr1-0108",0.0123876235267991
"chr1-0109",-0.0392544034011712
"chr1-0110",-0.136155914263371
"chr1-0111",-0.190334748220695
"chr1-0112",-0.0312885421463449
"chr1-0113",-0.0721326656195897
"chr1-0114",-0.0467166958510113
"chr1-0115",-0.224291228814362
"chr1-0116",0.055097938355789
"chr1-0117",-0.115511133937003
"chr1-0118",-0.210816228481932
"chr1-0119",-0.0998487208188892
"chr1-0120",-0.0686690884354615
"chr1-0121",-0.0832237098908841
"chr1-0122",-0.0944115816651113
"chr1-0123",-0.0877952318443782
"chr1-0124",0.0849180768751218
"chr1-0125",0.0137955357284659
"chr1-0126",0.0429921861087215
"chr1-0127",0.0160020807978632
"chr1-0128",-0.113011219750339
"chr1-0129",-0.176812533251006
"chr1-0130",-0.0487727889002168
"chr1-0131",-0.156773936489818
"chr1-0132",-0.144987839251908
"chr1-0133",-0.0120986900707645
"chr1-0134",-0.0336337369696504
"chr1-0135",-0.0732816955890288
"chr1-0136",-0.0205863040305191
"chr1-0137",-0.00729267440059041
"chr1-0138",-0.0130992319160165
"chr1-0139",-0.0395697089282883
"chr1-0140",-0.102438483237248
"chr1-0141",-0.0480368042418995
"chr1-0142",-0.0247519880683343
"chr1-0143",0.0101361527229279
"chr1-0144",0.0818175837218343
"chr1-0145",-0.124917375376638
"chr1-0146",-0.00826898865623025
"chr1-0147",0.0787217683292336
"chr1-0148",-0.0355936836472305
"chr1-0149",0.0667808711523293
"chr1-0150",-0.0163940853740551
"chr1-0151",0.0918522054311716
"chr1-0152",0.196703694354649
"chr1-0153",0.0680528149020505
"chr1-0154",-0.0527935147825723
"chr1-0155",-0.0746485725938956
"chr1-0156",-0.0376151726456817
"chr1-0157",-0.0553347030452938
"chr1-0158",-0.0603248456638283
"chr1-0159",-0.137454542638457
"chr1-0160",-0.131277391252107
"chr1-0161",-0.0988499220951221
"chr1-0162",-0.151239390198986
"chr1-0163",-0.0407076081677464
"chr1-0164",-0.0861462140022489
"chr1-0165",0.137647155903365
"chr1-0166",-0.0911455623720949
"chr1-0167",0.134902401402991
"chr1-0168",0.12326867225764
"chr1-0169",-0.00985805618142264
"chr1-0170",0.0065614757195551
"chr1-0171",0.0919499573208915
"chr1-0172",0.102098290759535
"chr1-0173",0.184634223462617
"chr1-0174",0.0186256399766402
"chr1-0175",0.0179168447581
"chr1-0176",-0.0108171759908409
"chr1-0177",0.062861475288418
"chr1-0178",0.123482623289531
"chr1-0179",0.169634026625586
"chr1-0180",0.0618538648049661
"chr1-0181",-0.0733160238020521
"chr1-0182",0.05923504422869
"chr1-0183",-0.0436440165931043
"chr1-0184",0.0862070351398101
"chr1-0185",0.0613612257696775
"chr1-0186",-0.0752981336862036
"chr1-0187",0.253392059710328
"chr1-0188",-0.133656031497776
"chr1-0189",0.157383505355119
"chr1-0190",-0.103458979651973
"chr1-0191",-0.0261461657611792
"chr1-0192",0.0113315338610897
"chr1-0193",0.107515268385664
"chr1-0194",0.101325291278483
"chr1-0195",-0.0453318440850666
"chr1-0196",-0.0905776963380326
"chr1-0197",0.111882736904046
"chr1-0198",-0.0536602908218146
"chr1-0199",-0.0660682296022523
"chr1-0200",-0.0045328274934956
"chr1-0201",0.0897698980255623
"chr1-0202",0.0950777281507047
"chr1-0203",0.118416574848716
"chr1-0204",0.0789219533358701
"chr1-0205",-0.0706490546997674
"chr1-0206",-0.0297380335906331
