"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205125590013_R05C01","chr1",93709,249195311,2032,NA,NA,-0.016,-0.012
"2","205125590013_R05C01","chr10",105000,135449874,1104,NA,NA,-0.015,-0.012
"3","205125590013_R05C01","chr11",142500,134898258,1117,NA,NA,-0.022,-0.015
"4","205125590013_R05C01","chr12",185370,133783448,1115,NA,NA,-0.004,-0.001
"5","205125590013_R05C01","chr13",19110000,115079939,606,NA,NA,-0.027,-0.025
"6","205125590013_R05C01","chr14",19287500,107269770,725,NA,NA,-0.013,-0.008
"7","205125590013_R05C01","chr15",20237500,102448196,764,NA,NA,-0.009,-0.004
"8","205125590013_R05C01","chr16",105000,90222377,722,NA,NA,0.023,0.035
"9","205125590013_R05C01","chr17",37500,49387500,527,9.35529389370047,1.46677362017263e-18,0.041,0.045
"10","205125590013_R05C01","chr17",49500000,54450000,23,10.1661622283592,4.2120695153381e-22,-0.094,-0.104
"11","205125590013_R05C01","chr17",54637500,81097605,291,NA,NA,0.042,0.051
"12","205125590013_R05C01","chr18",42500,78008624,497,NA,NA,-0.015,-0.015
"13","205125590013_R05C01","chr19",180000,59071992,654,NA,NA,0.082,0.085
"14","205125590013_R05C01","chr2",80000,243051238,1848,NA,NA,-0.03,-0.026
"15","205125590013_R05C01","chr20",142500,62907760,562,NA,NA,0.014,0.017
"16","205125590013_R05C01","chr21",10861448,48097448,264,NA,NA,0.005,0.021
"17","205125590013_R05C01","chr22",16373925,51197283,396,NA,NA,0.051,0.06
"18","205125590013_R05C01","chr3",180000,197868715,1433,NA,NA,-0.039,-0.035
"19","205125590013_R05C01","chr4",42500,190959638,1129,NA,NA,-0.047,-0.045
"20","205125590013_R05C01","chr5",42500,180790130,1257,NA,NA,-0.043,-0.04
"21","205125590013_R05C01","chr6",142500,170952534,1307,NA,NA,-0.053,-0.047
"22","205125590013_R05C01","chr7",42500,159026832,1216,NA,NA,-0.034,-0.031
"23","205125590013_R05C01","chr8",117500,146277011,1067,NA,NA,-0.043,-0.042
"24","205125590013_R05C01","chr9",80000,141076716,792,NA,NA,-0.01,-0.003
