"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",717994,11875000,135,0.0211,0.1683,0.0589,0.0546,4.17973733772308e-80,11825000,11925000
"Sample.1","chr1",11925000,45875000,292,0.2361,0.0617,0.2376,0.0503,4.04714952076009e-282,45625000,46175000
"Sample.1","chr1",46125000,185500000,495,0.0031,0.0997,0.0198,0.083,1.9218589936496e-23,184950000,188550000
"Sample.1","chr1",185825000,199450000,19,-0.2481,0.1619,-0.2112,0.1495,1.76741256732563e-39,198200000,200150000
"Sample.1","chr1",200150000,247875000,241,0.0218,0.0748,0.038,0.0717,5.88919900306798e-07,247550000,248725000
"Sample.1","chr1",248000000,248898211,6,-0.1658,0.1908,-0.1915,0.2487,NA,NA,NA
"Sample.1","chr10",55000,3900000,42,-0.3427,0.1067,-0.328,0.093,4.45929695056953e-06,3550000,3900000
"Sample.1","chr10",4125000,5425000,5,-0.599,0.0795,-0.5885,0.0284,0.0213237837997098,5200000,8725000
"Sample.1","chr10",5475000,50650000,161,-0.3986,0.1311,-0.3818,0.1416,2.85345019516747e-11,49550000,57300000
"Sample.1","chr10",51175000,68250000,33,-0.5935,0.1801,-0.6078,0.1391,1.93432334381259e-25,66525000,68500000
"Sample.1","chr10",68350000,133620233,362,-0.3373,0.1239,-0.3194,0.1127,NA,NA,NA
"Sample.1","chr11",130000,21475000,162,0.0241,0.0877,0.0442,0.056,1.35896386867028e-14,20450000,21475000
"Sample.1","chr11",22450000,27400000,9,-0.2236,0.0913,-0.1803,0.0324,2.50377430760189e-13,27400000,27600000
"Sample.1","chr11",27475000,48150000,77,0.032,0.0941,0.0614,0.0539,8.85567794444666e-28,47900000,48150000
"Sample.1","chr11",48625000,56550000,11,-0.3514,0.1705,-0.3003,0.1049,4.56627536789567e-69,56550000,56550000
"Sample.1","chr11",56975000,88400000,245,0.0529,0.0667,0.0615,0.0492,1.44867246570558e-29,87464101,93125000
"Sample.1","chr11",88975000,107275000,43,-0.1137,0.1569,-0.1356,0.1114,9.92032385122411e-16,101325000,108000000
"Sample.1","chr11",107625000,134913311,165,0.028,0.0738,0.033,0.0636,NA,NA,NA
"Sample.1","chr12",55000,15125000,99,0.0047,0.1009,0.0359,0.0669,3.24055647202324e-30,13575000,19150000
"Sample.1","chr12",15525000,58525000,189,-0.1532,0.1187,-0.1364,0.0873,1.1285705207319e-15,57675000,61275000
"Sample.1","chr12",59225000,70275000,29,-0.3522,0.1115,-0.3449,0.0872,1.34492650152744e-06,69375000,71725000
"Sample.1","chr12",70475000,75600000,13,-0.5592,0.1427,-0.524,0.0659,6.01718603854711e-10,75425000,76175000
"Sample.1","chr12",75775000,91375000,27,-0.2098,0.1624,-0.2025,0.2037,1.68799344008693e-32,89025000,91850000
"Sample.1","chr12",91850000,133182655,258,0.0182,0.0814,0.0285,0.0576,NA,NA,NA
"Sample.1","chr13",18554053,53175000,151,-0.4301,0.1361,-0.4074,0.1161,3.15748905996244e-23,52700000,64900000
"Sample.1","chr13",54250000,93925000,40,-0.7239,0.2279,-0.7196,0.2762,2.77060124051806e-24,90250000,94650000
"Sample.1","chr13",94450000,114302164,115,-0.3921,0.147,-0.3616,0.0952,NA,NA,NA
"Sample.1","chr14",18981322,40500000,73,-0.0059,0.1314,0.0252,0.0852,2.44148942540841e-29,39200000,44175000
"Sample.1","chr14",42550000,52850000,28,-0.3421,0.1339,-0.337,0.1049,1.36376286483893e-64,52725000,53325000
"Sample.1","chr14",53050000,106841859,285,0.0228,0.1038,0.0384,0.0583,NA,NA,NA
"Sample.1","chr15",20062627,41850000,95,-0.0181,0.1192,0.0015,0.0997,2.72195465259364e-131,41600000,41925000
"Sample.1","chr15",41925000,101840595,312,0.2228,0.0694,0.2242,0.0564,NA,NA,NA
"Sample.1","chr16",80000,90139173,485,0.0464,0.0626,0.0577,0.0471,NA,NA,NA
"Sample.1","chr17",130000,2375000,33,0.0517,0.0383,0.0536,0.0258,2.00957944875475e-73,2375000,2375000
"Sample.1","chr17",2525000,12325000,89,-0.2689,0.0981,-0.2564,0.073,1.09972966068731e-40,12325000,12700000
"Sample.1","chr17",12700000,13300000,3,0.6904,0.4751,0.9228,0.1212,2.2926783123183e-21,12875000,13300000
"Sample.1","chr17",13825000,16775000,18,-0.3659,0.1059,-0.3963,0.0856,1.69963725686881e-25,16600000,16975000
"Sample.1","chr17",16975000,18325000,18,2e-04,0.1013,0.0424,0.0526,3.43518722486466e-14,18275000,18325000
"Sample.1","chr17",18375000,18975000,6,-0.4127,0.1446,-0.3798,0.1548,2.62548814743759e-14,18975000,19100000
"Sample.1","chr17",19100000,21672925,23,0.0024,0.1072,0.017,0.0792,7.69022217603511e-27,21400000,21672925
"Sample.1","chr17",22244705,30700000,34,-0.3107,0.1046,-0.2831,0.0765,5.80430135479761e-132,30700000,30850000
"Sample.1","chr17",30850000,82325000,407,0.1592,0.1069,0.1805,0.1105,1.03820418535899e-44,82275000,82500000
"Sample.1","chr17",82375000,83148721,14,-0.1605,0.165,-0.2251,0.1342,NA,NA,NA
"Sample.1","chr18",130000,80181643,168,-0.0029,0.0811,0.0102,0.0704,NA,NA,NA
"Sample.1","chr19",180000,325000,2,-0.2142,0.0208,-0.2142,0.0218,2.95056482001614e-15,325000,325000
"Sample.1","chr19",375000,9850000,142,0.0668,0.0471,0.0724,0.0394,3.87771989474965e-27,9850000,9950000
"Sample.1","chr19",9950000,10275000,5,-0.1883,0.1141,-0.2322,0.067,1.19797468388393e-18,10175000,10325000
"Sample.1","chr19",10325000,32425000,155,0.0736,0.0641,0.0771,0.0462,6.52192462028215e-139,32425000,32425000
