"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",692994,16475000,232,-0.3261,0.144,-0.3187,0.155,4.48343836480325e-10,16375000,16550000
"Sample.1","chr1",16550000,16774582,5,-0.012,0.1396,0.0311,0.048,1.54148863578875e-07,16725000,16874582
"Sample.1","chr1",16874582,28000000,177,-0.3709,0.1327,-0.3604,0.1298,2.18691524633207e-08,27825000,28275000
"Sample.1","chr1",28075000,28675000,12,-0.6262,0.1846,-0.584,0.2169,9.23885290877065e-06,28375000,29225000
"Sample.1","chr1",28725000,38625000,116,-0.3877,0.1481,-0.3649,0.1189,0,38625000,38625000
"Sample.1","chr1",38750000,108775000,466,0.2735,0.144,0.2644,0.1475,4.62859206756111e-15,108675000,108775000
"Sample.1","chr1",108925000,109175000,5,-0.1519,0.0711,-0.1423,0.0841,1.98397120785618e-55,109175000,109375000
"Sample.1","chr1",109225000,208300000,663,0.2312,0.1617,0.2316,0.1519,0,208150000,208300000
"Sample.1","chr1",208500000,248923211,324,-0.3142,0.1238,-0.3162,0.1243,NA,NA,NA
"Sample.1","chr10",55000,74400000,533,0.0504,0.1157,0.0537,0.1093,0,74200000,74675000
"Sample.1","chr10",74675000,133645233,515,-0.3295,0.1317,-0.3273,0.1276,NA,NA,NA
"Sample.1","chr11",130000,135013311,1124,0.069,0.1075,0.0714,0.0976,NA,NA,NA
"Sample.1","chr12",55000,7300000,98,0.0509,0.0982,0.0634,0.0842,2.02338247264737e-07,7092325,7300000
"Sample.1","chr12",7575000,7975000,5,-0.2133,0.1064,-0.1704,0.0889,8.56465242220634e-10,7975000,8025000
"Sample.1","chr12",8025000,31325000,162,0.1337,0.1132,0.1204,0.1191,1.20979498880612e-10,31150000,31575000
"Sample.1","chr12",31375000,31875000,8,-0.1641,0.1795,-0.1896,0.1693,1.76747155365912e-09,31625000,32700000
"Sample.1","chr12",32025000,133207655,787,0.0582,0.1193,0.0595,0.1105,NA,NA,NA
"Sample.1","chr13",18629053,47200000,227,0.0902,0.1159,0.0984,0.1154,7.67082314182833e-137,46900000,47200000
"Sample.1","chr13",47725000,61850000,58,-0.3366,0.1147,-0.3245,0.118,2.36354731306485e-219,61850000,61850000
"Sample.1","chr13",63100000,114327164,235,0.1362,0.0982,0.1369,0.1018,NA,NA,NA
"Sample.1","chr14",19106322,71050000,357,0.0659,0.1148,0.0598,0.1185,9.61655073517406e-276,70925000,71175000
"Sample.1","chr14",71175000,90275000,138,-0.3637,0.1337,-0.3611,0.1327,3.25235112100373e-266,90275000,90275000
"Sample.1","chr14",90325000,106841859,219,0.0514,0.0905,0.0617,0.0889,NA,NA,NA
"Sample.1","chr15",20012627,22279121,8,-0.3826,0.1252,-0.3762,0.0617,4.79938241953197e-27,22039251,22279121
"Sample.1","chr15",22554121,101890595,713,0.0457,0.1068,0.0463,0.1049,NA,NA,NA
"Sample.1","chr16",55000,48125000,376,-0.0204,0.1103,-0.0088,0.1111,1.96340739455157e-93,47975000,48175000
"Sample.1","chr16",48175000,54975000,56,-0.3586,0.1352,-0.346,0.132,2.95583096896751e-13,54725000,55175000
"Sample.1","chr16",55175000,55825000,7,0.0566,0.146,0.0541,0.1975,5.00007654720541e-09,55575000,55900000
"Sample.1","chr16",55900000,56675000,12,-0.301,0.1088,-0.2709,0.0502,1.13917498606572e-23,56625000,56725000
"Sample.1","chr16",56725000,57925000,22,0.0149,0.0718,0.0399,0.0706,4.35105473112665e-30,57925000,57975000
"Sample.1","chr16",57975000,90139173,326,-0.3336,0.1368,-0.3243,0.132,NA,NA,NA
"Sample.1","chr17",130000,83148721,939,0.0024,0.105,0.0035,0.1015,NA,NA,NA
"Sample.1","chr18",80000,80231643,413,0.0986,0.112,0.0977,0.1098,NA,NA,NA
"Sample.1","chr19",180000,34375000,411,-0.0501,0.1103,-0.0452,0.1052,0,34300000,34500000
"Sample.1","chr19",34425000,58578808,409,-0.4247,0.146,-0.418,0.1438,NA,NA,NA
"Sample.1","chr2",105000,46825000,397,-0.3045,0.1157,-0.298,0.1101,0,46825000,46825000
"Sample.1","chr2",46875000,49125000,22,-1.4592,0.2302,-1.4178,0.1445,0,49125000,49125000
"Sample.1","chr2",49800000,242116765,1245,-0.3048,0.1286,-0.2919,0.1177,NA,NA,NA
"Sample.1","chr20",158168,64292084,568,0.0344,0.1112,0.0366,0.1028,NA,NA,NA
"Sample.1","chr21",5055000,46674992,256,0.0825,0.1084,0.082,0.0966,NA,NA,NA
"Sample.1","chr22",15716995,50779234,445,0.0086,0.0988,0.0146,0.0941,NA,NA,NA
"Sample.1","chr3",180000,198167780,1254,0.0697,0.1185,0.0691,0.1119,NA,NA,NA
"Sample.1","chr4",55000,190061561,950,0.1069,0.1144,0.1054,0.111,NA,NA,NA
"Sample.1","chr5",55000,181364130,1117,0.0932,0.1146,0.1006,0.108,NA,NA,NA
"Sample.1","chr6",155000,170647990,1189,0.0366,0.1281,0.0414,0.1169,NA,NA,NA
"Sample.1","chr7",55000,159242987,1099,-0.3701,0.1435,-0.3552,0.1355,NA,NA,NA
"Sample.1","chr8",180000,145039318,951,0.0611,0.1123,0.0608,0.1089,NA,NA,NA
"Sample.1","chr9",130000,138217359,697,0.0385,0.1119,0.0385,0.1081,NA,NA,NA
"Sample.1","chrX",2518744,155640448,504,0.5444,0.153,0.5397,0.1437,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-3.3025,0.927,-3.544,0.4277,NA,NA,NA
