"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","205125590067_R07C01","chr1",93709,775000,4,10.7488446140428,7.23501867300811e-26,-0.108,-0.155
"2","205125590067_R07C01","chr1",825000,1375000,12,23.5477599429732,3.39011045541438e-120,-0.813,-0.81
"3","205125590067_R07C01","chr1",1425000,19500000,278,45.8240012947882,0,-0.203,-0.209
"4","205125590067_R07C01","chr1",19575000,249220311,2155,NA,NA,0.118,0.116
"5","205125590067_R07C01","chr10",80000,135462374,1342,NA,NA,-0.01,-0.009
"6","205125590067_R07C01","chr11",130000,1525000,28,10.1925412049816,5.58858898539584e-22,-0.228,-0.261
"7","205125590067_R07C01","chr11",1575000,125775000,1248,24.7085420772494,6.46163948121421e-132,-0.063,-0.068
"8","205125590067_R07C01","chr11",125825000,134898258,101,NA,NA,-0.358,-0.351
"9","205125590067_R07C01","chr12",172870,8775000,138,32.7528700706219,2.55899015273189e-232,-0.365,-0.358
"10","205125590067_R07C01","chr12",8825000,133075000,1176,10.6114101542542,7.11353609112943e-24,-0.045,-0.049
"11","205125590067_R07C01","chr12",133125000,133795948,14,NA,NA,-0.252,-0.255
"12","205125590067_R07C01","chr13",19110000,23000000,49,22.7894610131239,7.93209651824478e-113,0.014,0.023
"13","205125590067_R07C01","chr13",23350000,30975000,95,9.30185712438678,1.14661417872229e-18,0.339,0.352
"14","205125590067_R07C01","chr13",31025000,34025000,34,13.1114069326975,1.46318018596654e-37,0.183,0.189
"15","205125590067_R07C01","chr13",34175000,37625000,24,29.2310203960258,1.69157153674809e-185,0.438,0.439
"16","205125590067_R07C01","chr13",37825000,67200000,202,63.6862248574984,0,-0.301,-0.314
"17","205125590067_R07C01","chr13",67500000,113925000,290,11.5913020667979,7.66048071640305e-29,0.372,0.371
"18","205125590067_R07C01","chr13",113975000,115079939,16,NA,NA,0.097,0.086
"19","205125590067_R07C01","chr14",19300000,20325000,5,8.11265268495018,3.94957685504448e-14,-0.189,-0.194
"20","205125590067_R07C01","chr14",20475000,36075000,138,15.6786540750805,4.25082454060548e-53,0.138,0.136
"21","205125590067_R07C01","chr14",36275000,57575000,139,26.9355650460597,4.66080365743544e-157,-0.032,-0.024
"22","205125590067_R07C01","chr14",57725000,107269770,595,NA,NA,-0.296,-0.286
"23","205125590067_R07C01","chr15",20225000,102435696,925,NA,NA,-0.076,-0.073
"24","205125590067_R07C01","chr16",80000,31875000,395,40.6962308755193,0,-0.386,-0.388
"25","205125590067_R07C01","chr16",32000000,51175000,81,38.9663058778892,0,0.094,0.087
"26","205125590067_R07C01","chr16",51375000,90222377,458,NA,NA,-0.415,-0.421
"27","205125590067_R07C01","chr17",25000,675000,12,13.0485535273426,8.36167062044888e-37,0.03,0.021
"28","205125590067_R07C01","chr17",725000,10275000,162,59.2383229516167,0,-0.367,-0.383
"29","205125590067_R07C01","chr17",10350000,16425000,59,11.8277052980323,3.00694374116758e-30,0.624,0.628
"30","205125590067_R07C01","chr17",16500000,22156503,87,31.2604511591165,6.70778271461309e-212,0.402,0.395
"31","205125590067_R07C01","chr17",25306503,52450000,375,6.21364480515459,4.8464179025031e-08,0.049,0.055
"32","205125590067_R07C01","chr17",52975000,54225000,12,6.62036213166188,1.60075695000513e-09,0.208,0.226
"33","205125590067_R07C01","chr17",54325000,58900000,61,7.02844812166479,1.09478235157876e-10,-0.022,-0.008
"34","205125590067_R07C01","chr17",59100000,61325000,26,12.2465723888812,9.76289035591962e-33,0.169,0.173
"35","205125590067_R07C01","chr17",61475000,64275000,38,7.06227148870041,6.7331022010393e-11,-0.111,-0.116
"36","205125590067_R07C01","chr17",64350000,65650000,22,5.23961698828516,6.58247524088494e-06,0.124,0.061
"37","205125590067_R07C01","chr17",65725000,72225000,69,16.5826233947511,1.74810994535594e-59,0.248,0.251
"38","205125590067_R07C01","chr17",72275000,81122605,171,NA,NA,0.055,0.055
"39","205125590067_R07C01","chr18",30000,77075000,533,7.79869428512183,8.83586809417954e-13,0.159,0.159
"40","205125590067_R07C01","chr18",77125000,77825000,15,5.57239943698198,3.50880434460539e-07,-0.02,-0.028
"41","205125590067_R07C01","chr18",77875000,78008624,4,NA,NA,0.134,0.144
"42","205125590067_R07C01","chr19",180000,19775000,358,14.2418120833439,1.17609080821784e-43,-0.026,-0.028
"43","205125590067_R07C01","chr19",19825000,28275000,38,10.7587715849642,7.65366370832045e-25,0.156,0.156
"44","205125590067_R07C01","chr19",28400000,44400000,218,6.05689278292629,1.02975103189987e-07,-0.01,-0.019
"45","205125590067_R07C01","chr19",44475000,45025000,12,7.17607281962599,7.00812607442143e-11,0.176,0.15
"46","205125590067_R07C01","chr19",45075000,59084492,264,NA,NA,-0.046,-0.049
"47","205125590067_R07C01","chr2",30000,1275000,22,11.1663181500661,1.07799584028476e-26,-0.399,-0.44
"48","205125590067_R07C01","chr2",1350000,36775000,355,36.3662085034452,1.46090176376743e-286,-0.181,-0.177
"49","205125590067_R07C01","chr2",36825000,156200000,979,46.2456025810984,0,0.001,0.007
"50","205125590067_R07C01","chr2",156975000,174750000,149,30.4839218693026,2.66869561516078e-201,-0.317,-0.322
"51","205125590067_R07C01","chr2",174825000,243051238,641,NA,NA,-0.045,-0.044
"52","205125590067_R07C01","chr20",130000,62932760,699,NA,NA,0.199,0.201
"53","205125590067_R07C01","chr21",10798948,45625000,270,21.0342230210709,8.34191535381113e-96,-0.316,-0.314
"54","205125590067_R07C01","chr21",45675000,48084948,46,NA,NA,-0.677,-0.653
"55","205125590067_R07C01","chr22",16373925,51222283,517,NA,NA,-0.094,-0.099
"56","205125590067_R07C01","chr3",155000,186525000,1537,30.2004608382425,2.25701696915952e-197,0.163,0.171
"57","205125590067_R07C01","chr3",186575000,188875000,32,15.4868751063186,5.20060452314452e-52,-0.289,-0.336
"58","205125590067_R07C01","chr3",188975000,197881215,112,NA,NA,-0.044,-0.051
"59","205125590067_R07C01","chr4",55000,3525000,62,16.6363768685383,1.34251002674723e-59,-0.105,-0.138
"60","205125590067_R07C01","chr4",3575000,93225000,590,42.3447183783888,0,0.073,0.074
"61","205125590067_R07C01","chr4",93675000,187525000,574,12.9991648762212,3.29673467398184e-36,-0.188,-0.193
