"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",747994,248923211,2254,-0.026349663368676
"2","Sample.1","chr10",125000,133625233,1141,-0.014049663368676
"3","Sample.1","chr11",145000,134993311,1344,-0.020749663368676
"4","Sample.1","chr12",70000,133222655,1234,-0.000549663368675962
"5","Sample.1","chr13",18679053,114332164,578,0.016250336631324
"6","Sample.1","chr14",19770857,100925000,671,-0.018349663368676
"7","Sample.1","chr14",100950000,101005000,5,-0.246049663368676
"8","Sample.1","chr14",101025000,106751859,131,-0.00764966336867596
"9","Sample.1","chr15",20232279,25135000,22,-0.045249663368676
"10","Sample.1","chr15",25175000,25255000,8,-0.305949663368676
"11","Sample.1","chr15",25350000,101850595,740,-0.020049663368676
"12","Sample.1","chr16",40000,90149173,1014,-0.017249663368676
"13","Sample.1","chr17",130000,83168721,1213,-0.033649663368676
"14","Sample.1","chr18",135000,80206643,405,0.026550336631324
"15","Sample.1","chr19",175000,58588808,1069,-0.034849663368676
"16","Sample.1","chr2",110000,242111765,1764,-0.000349663368675962
"17","Sample.1","chr20",178168,64292084,638,-0.014249663368676
"18","Sample.1","chr21",10569444,46679992,257,0.015050336631324
"19","Sample.1","chr22",16567005,50769234,496,-0.032749663368676
"20","Sample.1","chr3",115000,198097780,1356,-0.00384966336867596
"21","Sample.1","chr4",110000,190066561,1017,0.016050336631324
"22","Sample.1","chr5",50000,181369130,1233,-0.00154966336867596
"23","Sample.1","chr6",140000,32425000,437,-0.062649663368676
"24","Sample.1","chr6",32480000,32700000,5,-1.02574966336868
"25","Sample.1","chr6",32750000,170662990,949,-0.022249663368676
"26","Sample.1","chr7",50000,159247987,1257,-0.022849663368676
"27","Sample.1","chr8",195000,145039318,1034,-0.011849663368676
"28","Sample.1","chr9",215000,138187359,710,-0.024449663368676
"29","Sample.1","chrX",2528744,155645448,534,0.441050336631324
"30","Sample.1","chrY",4728744,21244771,11,-3.87184966336868
