"","GDC_Aliquot","Chromosome","Start","End","Num_Probes","Segment_Mean"
"1","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",62920,86341,11,-0.5709
"2","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",98588,3744856,947,-0.2152
"3","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",3749303,3779972,19,-0.8641
"4","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",3780042,15823420,7354,-0.2418
"5","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",15827002,15827430,6,-1.7569
"6","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",15827706,16868660,361,-0.2299
"7","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",16877002,16949746,53,0.1175
"8","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",16951445,56396482,22688,-0.2384
"9","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",56396966,64377044,5949,0.1639
"10","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",64380467,64382485,2,-1.1002
"11","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",64385862,72318471,5374,0.1832
"12","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",72318487,72351338,35,0.5785
"13","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",72352916,88505114,10607,0.196
"14","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",88505737,101824797,8355,0.1697
"15","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",101826081,102485947,502,0.212
"16","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",102487529,102492584,2,-1.2738
"17","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",102492903,109684893,4108,0.1971
"18","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",109690352,109697556,13,1.4481
"19","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",109702376,121593055,7125,0.1576
"20","db9a3940-19be-4c9e-bc2f-1daf319b024d","1",121593930,121705338,5,-0.217
