"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",747994,248923211,2254,-0.00684257819495103
"2","Sample.1","chr10",125000,133625233,1141,0.00135742180504897
"3","Sample.1","chr11",145000,134993311,1344,0.00255742180504897
"4","Sample.1","chr12",70000,133222655,1234,0.00745742180504897
"5","Sample.1","chr13",18679053,114332164,578,0.020257421805049
"6","Sample.1","chr14",19770857,100900000,670,-0.010942578194951
"7","Sample.1","chr14",100925000,101005000,6,-0.225542578194951
"8","Sample.1","chr14",101025000,106751859,131,0.031957421805049
"9","Sample.1","chr15",20232279,101850595,770,-0.00804257819495103
"10","Sample.1","chr16",40000,90149173,1014,0.00705742180504897
"11","Sample.1","chr17",130000,82790000,1192,-0.000542578194951026
"12","Sample.1","chr17",82805000,83168721,21,0.145957421805049
"13","Sample.1","chr18",135000,80206643,405,0.019857421805049
"14","Sample.1","chr19",175000,58588808,1069,-0.00774257819495103
"15","Sample.1","chr2",110000,242111765,1764,0.010057421805049
"16","Sample.1","chr20",178168,64292084,638,0.000357421805048972
"17","Sample.1","chr21",10569444,46679992,257,0.034557421805049
"18","Sample.1","chr22",16567005,50769234,496,0.017157421805049
"19","Sample.1","chr3",115000,198097780,1356,-0.00244257819495103
"20","Sample.1","chr4",110000,190066561,1017,0.019657421805049
"21","Sample.1","chr5",50000,181369130,1233,0.00745742180504897
"22","Sample.1","chr6",140000,32405000,436,-0.035242578194951
"23","Sample.1","chr6",32425000,32620000,5,-0.667442578194951
"24","Sample.1","chr6",32700000,170662990,950,-0.00944257819495103
"25","Sample.1","chr7",50000,159247987,1257,-0.000742578194951028
"26","Sample.1","chr8",195000,145039318,1034,-0.00304257819495103
"27","Sample.1","chr9",215000,138187359,710,0.00605742180504897
"28","Sample.1","chrX",2528744,155645448,534,0.504857421805049
"29","Sample.1","chrY",4728744,21244771,11,-3.82974257819495
