"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","2317031d-2222-4848-9363-dd6475ca3005_noid","chr1",560684,249195311,1508,NA,NA,-0.044,-0.039
"2","2317031d-2222-4848-9363-dd6475ca3005_noid","chr10",105000,135462374,796,NA,NA,-0.385,-0.36
"3","2317031d-2222-4848-9363-dd6475ca3005_noid","chr11",130000,48025000,305,5.63805691944291,1.33027497271631e-06,-0.371,-0.323
"4","2317031d-2222-4848-9363-dd6475ca3005_noid","chr11",48125000,56425000,16,17.1871607067405,1.12661249713036e-63,-0.723,-0.687
"5","2317031d-2222-4848-9363-dd6475ca3005_noid","chr11",56800000,134873258,560,NA,NA,-0.017,0.004
"6","2317031d-2222-4848-9363-dd6475ca3005_noid","chr12",172870,6425000,60,15.0367138227875,1.50598541529238e-48,-0.434,-0.389
"7","2317031d-2222-4848-9363-dd6475ca3005_noid","chr12",6475000,133770948,758,NA,NA,-0.056,-0.011
"8","2317031d-2222-4848-9363-dd6475ca3005_noid","chr13",19110000,24675000,43,12.0208826550392,4.1947483079788e-31,-0.126,-0.123
"9","2317031d-2222-4848-9363-dd6475ca3005_noid","chr13",24800000,71550000,201,8.24370585887111,1.74231623767533e-14,-0.665,-0.636
"10","2317031d-2222-4848-9363-dd6475ca3005_noid","chr13",72850000,80925000,27,4.9257183821308,1.9533641083617e-05,-0.202,-0.129
"11","2317031d-2222-4848-9363-dd6475ca3005_noid","chr13",82700000,94700000,12,7.46182159537973,6.35513925465689e-12,-0.547,-0.654
"12","2317031d-2222-4848-9363-dd6475ca3005_noid","chr13",95075000,115079939,133,NA,NA,-0.144,-0.107
"13","2317031d-2222-4848-9363-dd6475ca3005_noid","chr14",19325000,107119770,512,NA,NA,-0.114,-0.085
"14","2317031d-2222-4848-9363-dd6475ca3005_noid","chr15",20275000,102410696,549,NA,NA,-0.037,-0.017
"15","2317031d-2222-4848-9363-dd6475ca3005_noid","chr16",105000,31825000,266,32.8437479665378,6.53203452393203e-234,0.093,0.096
"16","2317031d-2222-4848-9363-dd6475ca3005_noid","chr16",32075000,85225000,253,18.3385191781522,1.04940298961456e-72,-0.325,-0.296
"17","2317031d-2222-4848-9363-dd6475ca3005_noid","chr16",85275000,90222377,90,NA,NA,0.031,0.026
"18","2317031d-2222-4848-9363-dd6475ca3005_noid","chr17",25000,81122605,799,NA,NA,0.041,0.065
"19","2317031d-2222-4848-9363-dd6475ca3005_noid","chr18",80000,77983624,227,NA,NA,-0.09,-0.07
"20","2317031d-2222-4848-9363-dd6475ca3005_noid","chr19",180000,35225000,359,37.3396987699014,2.34128380015406e-302,0.118,0.136
"21","2317031d-2222-4848-9363-dd6475ca3005_noid","chr19",35300000,59084492,345,NA,NA,-0.208,-0.192
"22","2317031d-2222-4848-9363-dd6475ca3005_noid","chr2",130000,92288086,482,31.2995622532779,4.00730664260929e-212,-0.428,-0.388
"23","2317031d-2222-4848-9363-dd6475ca3005_noid","chr2",95438086,243026238,719,NA,NA,-0.073,-0.048
"24","2317031d-2222-4848-9363-dd6475ca3005_noid","chr20",155000,62907760,351,NA,NA,0.216,0.218
"25","2317031d-2222-4848-9363-dd6475ca3005_noid","chr21",10848948,48084948,153,NA,NA,-0.046,-0.019
"26","2317031d-2222-4848-9363-dd6475ca3005_noid","chr22",16373925,51197283,291,NA,NA,0.184,0.181
"27","2317031d-2222-4848-9363-dd6475ca3005_noid","chr3",155000,187875000,846,8.63718399954532,1.07194715552414e-15,-0.044,-0.019
"28","2317031d-2222-4848-9363-dd6475ca3005_noid","chr3",187925000,191375000,13,7.95876483107221,8.46873339516779e-14,-0.301,-0.326
"29","2317031d-2222-4848-9363-dd6475ca3005_noid","chr3",191925000,197831215,55,NA,NA,-0.027,-0.014
