Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	950677	19921747	18971071	0.323471758115384	Unbalanced	S-tag107574	S-tag285266	485	1	485
chr1	1	19931367	27251003	7319637	0.329591172172668	Unbalanced	S-tag135781	S-tag036923	673	486	188
chr1	1	27983008	248897288	220914281	0.5	Hetero	S-tag019648	S-tag093750	5295	674	4622
chr2	2	21494	3766261	3744768	0.316537417192165	Unbalanced	S-tag008358	S-tag226527	5368	5296	73
chr2	2	3877874	50705586	46827713	0.327103776970046	Unbalanced	S-tag201170	S-tag297781	6257	5369	889
chr2	2	50736207	51935903	1199697	0.288681120480482	Unbalanced	S-tag155995	S-tag054974	6283	6258	26
chr2	2	52747830	54583590	1835761	0.345086608718081	Unbalanced	S-tag278491	S-tag073274	6324	6284	41
chr2	2	54630902	61184651	6553750	0.320039573032534	Unbalanced	S-tag073757	S-tag070536	6502	6325	178
chr2	2	61304271	62027085	722815	0.409445116917292	Unbalanced	S-tag198698	S-tag106941	6508	6503	6
chr2	2	62193438	95676438	33483001	0.5	Hetero	S-tag264273	S-tag100112	6902	6509	394
chr2	2	97611396	101997540	4386145	0.322855142373887	Unbalanced	S-tag209224	S-tag296937	7028	6903	126
chr2	2	102134834	102444042	309209	0.429709262318081	Unbalanced	S-tag303394	S-tag227316	7037	7029	9
chr2	2	102467321	106136911	3669591	0.5	Hetero	S-tag188008	S-tag295312	7125	7038	88
chr2	2	106160182	106649971	489790	0.438340976834297	Unbalanced	S-tag315396	S-tag116281	7137	7126	12
chr2	2	106722953	111810281	5087329	0.314416703218544	Unbalanced	S-tag207583	S-tag055251	7211	7138	74
chr2	2	112375450	114148449	1773000	0.5	Hetero	S-tag209159	S-tag147123	7287	7212	76
chr2	2	114455006	123503566	9048561	0.32511587418312	Unbalanced	S-tag003922	S-tag137122	7493	7288	206
chr2	2	123506815	139856788	16349974	0.305579603664459	Unbalanced	S-tag055896	S-tag173011	7745	7494	252
chr2	2	139877948	146504682	6626735	0.328147128093764	Unbalanced	S-tag120543	S-tag291121	7928	7746	183
chr2	2	155663723	242165701	86501979	0.5	Hetero	S-tag200130	S-tag063012	9757	7929	1829
chr3	3	63411	197557635	197494225	0.5	Hetero	S-tag123447	S-tag327277	14321	9758	4564
chr4	4	94481	6874834	6780354	0.5	Hetero	S-tag218451	S-tag038956	14469	14322	148
chr4	4	6883514	7984110	1100597	0.464066527099445	Unbalanced	S-tag121830	S-tag181702	14498	14470	29
chr4	4	8021151	79865281	71844131	0.5	Hetero	S-tag271226	S-tag232646	16029	14499	1531
chr4	4	80258973	81986784	1727812	0.325671149125871	Unbalanced	S-tag176315	S-tag153804	16080	16030	51
chr4	4	82035067	190057166	108022100	0.5	Hetero	S-tag086737	S-tag254649	18394	16081	2314
chr5	5	374532	11310423	10935892	0.316337656492079	Unbalanced	S-tag228534	S-tag310652	18678	18395	284
chr5	5	11358192	12970770	1612579	0.280969368107617	Unbalanced	S-tag257802	S-tag099782	18702	18679	24
chr5	5	12998006	19247098	6249093	0.337709492221475	Unbalanced	S-tag159847	S-tag112562	18822	18703	120
chr5	5	19547577	20616838	1069262	0.409846065938473	Unbalanced	S-tag124564	S-tag253288	18846	18823	24
chr5	5	22035550	37019354	14983805	0.317863743570457	Unbalanced	S-tag287426	S-tag080555	19137	18847	291
chr5	5	37088627	83234200	46145574	0.5	Hetero	S-tag085872	S-tag273775	20089	19138	952
chr5	5	83249950	84600630	1350681	0.44559094114436	Unbalanced	S-tag320319	S-tag028345	20134	20090	45
chr5	5	84644937	180643732	95998796	0.5	Hetero	S-tag169393	S-tag007775	22362	20135	2228
chr6	6	253861	170735458	170481598	0.5	Hetero	S-tag015845	S-tag055386	26065	22363	3703
chr7	7	50257	158930629	158880373	0.5	Hetero	S-tag117640	S-tag152885	29822	26066	3757
chr8	8	189030	144860877	144671848	0.5	Hetero	S-tag187347	S-tag042093	33318	29823	3496
chr8	8	144905741	145069678	163938	0.472530350440078	Unbalanced	S-tag322887	S-tag223315	33336	33319	18
chr9	9	347683	138314100	137966418	0.5	Hetero	S-tag148504	S-tag123660	35982	33337	2646
chr10	10	135708	61060828	60925121	0.5	Hetero	S-tag187872	S-tag208766	36521	35983	539
chr10	10	61392660	64257828	2865169	0.313473556128944	Unbalanced	S-tag142158	S-tag292873	36603	36522	82
chr10	10	64396042	70290829	5894788	0.5	Hetero	S-tag128262	S-tag074774	36785	36604	182
chr10	10	70351337	73148815	2797479	0.329089895379212	Unbalanced	S-tag253511	S-tag239581	36821	36786	36
chr10	10	73241440	73536189	294750	0.442748069763184	Unbalanced	S-tag058514	S-tag223828	36829	36822	8
chr10	10	73642902	104546183	30903282	0.5	Hetero	S-tag148411	S-tag266802	37614	36830	785
