"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",792994,119500000,122,-0.0436,0.0417,-0.045,0.0309,8.99487169834155e-06,116500000,144500000
"Sample.1","chr1",120500000,148500000,8,0.0344,0.0583,0.0433,0.0636,3.08728743494565e-10,144500000,149500000
"Sample.1","chr1",149500000,185500000,37,-0.0474,0.0223,-0.0488,0.0179,1.09036620364936e-19,185500000,185500000
"Sample.1","chr1",186500000,190500000,5,-0.1599,0.0438,-0.1639,0.0645,2.94897361091591e-14,190500000,190500000
"Sample.1","chr1",191500000,248473211,60,-0.0386,0.0316,-0.0358,0.029,NA,NA,NA
"Sample.1","chr10",505000,133345233,133,-0.0409,0.0389,-0.0433,0.0328,NA,NA,NA
"Sample.1","chr11",530000,134538311,128,-0.0396,0.0467,-0.0354,0.0343,NA,NA,NA
"Sample.1","chr12",505000,133132655,133,-0.0354,0.0415,-0.0301,0.0321,NA,NA,NA
"Sample.1","chr13",18704053,114177164,98,-0.0444,0.0598,-0.046,0.0397,NA,NA,NA
"Sample.1","chr14",19187179,19805857,2,0.1379,0.0435,0.1379,0.0456,1.87725996436232e-07,19805857,19805857
"Sample.1","chr14",20500000,106441859,87,-0.0511,0.0452,-0.0513,0.036,NA,NA,NA
"Sample.1","chr15",20232279,101490595,86,-0.0457,0.0577,-0.0418,0.034,NA,NA,NA
"Sample.1","chr16",505000,90114173,82,-0.0317,0.0518,-0.0298,0.0415,NA,NA,NA
"Sample.1","chr17",254094,83123721,83,-0.024,0.041,-0.0267,0.0373,NA,NA,NA
"Sample.1","chr18",505000,80131643,76,-0.0334,0.0453,-0.0317,0.0322,NA,NA,NA
"Sample.1","chr19",530000,58303808,57,-0.0145,0.0306,-0.0121,0.0187,NA,NA,NA
"Sample.1","chr2",505000,242091765,241,-0.0368,0.0441,-0.035,0.0321,NA,NA,NA
"Sample.1","chr20",533168,64167084,62,-0.0276,0.0334,-0.0327,0.0252,NA,NA,NA
"Sample.1","chr21",5088123,42500000,37,-0.0267,0.0512,-0.0276,0.0426,0.00020518729993262,39500000,42500000
"Sample.1","chr21",43106231,46349992,5,0.0751,0.0139,0.074,0.0201,NA,NA,NA
"Sample.1","chr22",15716995,50391917,38,-0.0047,0.049,-0.0067,0.0282,NA,NA,NA
"Sample.1","chr3",505000,198117780,194,-0.045,0.0374,-0.0424,0.0334,NA,NA,NA
"Sample.1","chr4",505000,8398739,10,0.0226,0.0399,0.025,0.0472,0.000437281817442926,5500000,17500000
"Sample.1","chr4",9661458,190061561,180,-0.0514,0.052,-0.0531,0.0463,NA,NA,NA
"Sample.1","chr5",505000,181239130,179,-0.0438,0.0418,-0.0422,0.035,NA,NA,NA
"Sample.1","chr6",530000,170372990,167,-0.0673,0.0467,-0.0631,0.0401,NA,NA,NA
"Sample.1","chr7",123923,5500000,7,0.0129,0.0407,0.0243,0.0401,1.64518932963993e-05,3500000,9500000
"Sample.1","chr7",6500000,159167987,149,-0.061,0.0397,-0.0585,0.0361,NA,NA,NA
"Sample.1","chr8",530000,145039318,147,-0.0588,0.0435,-0.0556,0.0389,NA,NA,NA
"Sample.1","chr9",505000,138167359,114,-0.0361,0.0377,-0.0357,0.0371,NA,NA,NA
"Sample.1","chrX",2568744,155515448,137,0.4537,0.0657,0.4543,0.0517,NA,NA,NA
"Sample.1","chrY",2568744,24239248,16,-3.3506,1.3874,-3.659,0.9555,NA,NA,NA
