"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",560684,23775000,272,16.1812978616471,1.46599283432701e-56,-0.299,-0.295
"2","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",23875000,26025000,24,14.0546124775606,4.40704033102228e-43,0.07,0.072
"3","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",26125000,29150000,44,12.9689863135784,4.79017980507438e-36,-0.269,-0.252
"4","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",29225000,147775000,540,9.31076177361748,2.22654752882188e-18,-0.006,0.002
"5","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",147825000,149875000,14,16.7069452458488,2.45829979151323e-60,-0.235,-0.29
"6","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",149950000,186625000,266,10.3045304527688,9.72048213010796e-23,0.224,0.215
"7","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",187025000,199425000,19,9.26300349479007,2.84258936973978e-18,-0.039,-0.067
"8","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr1",200025000,249195311,329,NA,NA,0.21,0.21
"9","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr10",105000,51975000,282,22.6318016497648,5.89962964850445e-111,-0.037,-0.033
"10","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr10",52250000,69950000,48,7.15427817991117,6.53117876603774e-11,-0.61,-0.623
"11","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr10",70075000,89625000,122,5.88275944062775,2.28416766585637e-07,-0.382,-0.357
"12","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr10",89975000,92100000,14,6.63122431723442,3.23731904649088e-09,-0.658,-0.644
"13","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr10",92625000,135462374,330,NA,NA,-0.407,-0.393
"14","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr11",130000,48125000,306,6.28487750879063,2.90853341817913e-08,-0.45,-0.421
"15","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr11",48550000,56425000,15,19.0384647921985,2.27861073053675e-78,-0.833,-0.788
"16","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr11",56800000,108075000,356,30.4915543296708,1.6294658460043e-201,-0.047,-0.015
"17","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr11",108225000,134873258,204,NA,NA,-0.434,-0.413
"18","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr12",172870,133770948,818,NA,NA,-0.049,-0.018
"19","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr13",19110000,21175000,17,8.03237799992089,9.59068010244094e-14,-0.123,-0.112
"20","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr13",21275000,54225000,207,8.83682250315945,1.17766730943493e-16,-0.523,-0.497
"21","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr13",54800000,94700000,59,5.31091324026222,4.77613022046826e-06,-0.93,-0.8
"22","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr13",95075000,102325000,42,19.0091260523304,1.74813939224523e-78,-0.506,-0.492
"23","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr13",102775000,115079939,91,NA,NA,-0.062,-0.05
"24","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr14",19325000,107119770,512,NA,NA,-0.479,-0.428
"25","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr15",20275000,56275000,214,36.2195511992816,1.51267485104197e-284,-0.482,-0.438
"26","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr15",56525000,102410696,335,NA,NA,-0.004,0.008
"27","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr16",105000,6375000,96,27.5143004378558,2.94401378762508e-164,0.043,0.031
"28","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr16",7000000,31825000,170,7.5419448300604,3.91649897219418e-12,-0.334,-0.324
"29","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr16",32075000,34425000,11,6.71202437689184,1.8348934183636e-09,-0.627,-0.61
"30","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr16",34600000,88775000,306,12.8991798974039,8.80262158774372e-36,-0.362,-0.338
"31","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr16",88825000,90222377,26,NA,NA,0.016,0.021
"32","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr17",25000,11725000,145,10.0296208068505,1.10119455864482e-21,-0.337,-0.295
"33","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr17",11925000,12925000,6,5.95919613995363,2.65938683689163e-07,0.324,0.326
"34","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr17",13225000,81122605,648,NA,NA,0.015,0.024
"35","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr18",80000,77983624,227,NA,NA,-0.042,-0.022
"36","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr19",180000,59084492,704,NA,NA,0.05,0.052
"37","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr2",130000,29000000,193,30.6262927856127,4.56060748165427e-203,-0.444,-0.401
"38","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr2",29100000,243026238,1008,NA,NA,-0.057,-0.03
"39","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr20",155000,62907760,351,NA,NA,0.007,0.018
"40","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr21",10848948,18000000,11,8.41364790048562,3.36865882527755e-15,-0.375,-0.301
"41","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr21",19000000,48084948,142,NA,NA,-0.025,-0.014
"42","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr22",16373925,51197283,291,NA,NA,0.032,0.034
"43","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr3",155000,73900000,396,16.8025946153127,6.52970520518998e-61,-0.025,-0.012
"44","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr3",74750000,97950000,31,13.2942334307978,4.61876440366847e-38,-0.474,-0.367
"45","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr3",98225000,150125000,263,27.5988699035442,4.76081882227431e-165,-0.052,-0.025
"46","d5ca90d2-672d-465c-943b-6ee9c3834b00_noid","chr3",150225000,197831215,224,NA,NA,-0.553,-0.504
