Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
205122170045_R04C01,1,792994,54500000,58,NA,0.0458264243972612,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,792994,38500000,42,NA,-0.500725361979415,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,1,792994,28500000,31,NA,-0.157722648669087,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,792994,18500000,21,NA,-0.249508482760745,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,1,792994,248473211,230,NA,0.173743497270537,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,792994,9500000,11,NA,-0.563589549781602,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,792994,74500000,78,NA,0.141737124251925,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,792994,38500000,42,NA,-0.432932902561527,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,1,792994,114500000,117,NA,-0.305368091816549,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,792994,47500000,51,NA,-0.082001247794907,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,1,792994,69500000,73,NA,-0.127038137763294,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,1,792994,47500000,51,NA,-0.233319099830389,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,792994,38500000,42,NA,-0.429734428096561,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,1,10500000,54500000,47,NA,-0.133189549781602,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,19500000,54500000,37,NA,-0.011908482760745,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,1,29276117,61500000,34,NA,0.0828773513309126,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,39500000,91500000,53,NA,0.290074638020585,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,1,39500000,54500000,16,NA,0.0943670974384732,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,39500000,54500000,16,NA,0.139365571903439,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,1,48500000,248473211,179,NA,0.144698752205093,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,1,48500000,248473211,179,NA,0.00088090016961051,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,1,55500000,234500000,158,NA,0.326126424397261,NA,0.05,3,tumor,custom,NA
205125590067_R07C01,1,55500000,248473211,172,NA,0.180091517239255,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,55500000,156500000,78,NA,0.0400104502183977,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,55500000,91500000,37,NA,0.264767097438473,NA,0.05,3,tumor,custom,NA
205289430139_R07C01,1,55500000,91500000,37,NA,0.307465571903439,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,62500000,65500000,4,NA,-0.148622648669087,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,1,66500000,75500000,10,NA,0.243577351330913,NA,0.05,3,tumor,custom,NA
205243940065_R07C01,1,70500000,83500000,14,NA,0.160861862236706,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,75500000,85500000,11,NA,0.629537124251925,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,76500000,85500000,10,NA,0.473577351330913,NA,0.05,3,tumor,custom,NA
205243940065_R07C01,1,84500000,248473211,143,NA,-0.0106381377632944,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,1,86500000,108500000,22,NA,0.188277351330913,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,86500000,108500000,22,NA,0.294437124251925,NA,0.05,3,tumor,custom,NA
205122170071_R01C01,1,92500000,160500000,45,NA,0.0632746380205854,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,92500000,156500000,41,NA,0.0142670974384732,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,92500000,156500000,41,NA,0.0346655719034393,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,1,109500000,248473211,119,NA,-0.00832264866908744,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,109500000,248473211,119,NA,-0.00556287574807451,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,1,115500000,207500000,70,NA,-0.00726809181654924,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,157500000,248473211,94,NA,0.200010450218398,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,1,157500000,199500000,43,NA,0.246467097438473,NA,0.05,3,tumor,custom,NA
205289430139_R07C01,1,157500000,199500000,43,NA,0.282465571903439,NA,0.05,3,tumor,custom,NA
205122170071_R01C01,1,161500000,208500000,48,NA,0.292674638020585,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,1,200500000,208500000,9,NA,0.102167097438473,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,200500000,208500000,9,NA,0.117865571903439,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,1,208500000,248473211,43,NA,0.126631908183451,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,209500000,248473211,42,NA,-0.522625361979415,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,1,209500000,248473211,42,NA,-0.350032902561527,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,209500000,248473211,42,NA,-0.396534428096561,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,1,235500000,248473211,14,NA,0.00882642439726119,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,2,505000,3500000,4,NA,-0.274873575602739,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,505000,45500000,47,NA,-0.519825361979415,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,2,505000,76500000,78,NA,0.00157735133091256,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,505000,35500000,37,NA,-0.177108482760745,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,2,505000,155500000,152,NA,0.00734349727053743,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,505000,17500000,19,NA,-0.309989549781602,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,505000,113500000,111,NA,0.0366371242519255,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,2,505000,44500000,46,NA,-0.350232902561527,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,2,505000,242091765,238,NA,-0.00016809181654924,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,2,505000,155500000,152,NA,0.056098752205093,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,2,505000,155500000,152,NA,-0.250938137763294,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,2,505000,155500000,152,NA,-0.224919099830389,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,505000,44500000,46,NA,-0.393234428096561,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,2,4500000,155500000,148,NA,0.109726424397261,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,18500000,155500000,133,NA,-0.0124895497816023,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,36500000,155500000,115,NA,0.027191517239255,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,2,45500000,49500000,5,NA,-0.888632902561527,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,45500000,49500000,5,NA,-1.02343442809656,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,46500000,50500000,5,NA,-1.68252536197941,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,2,50500000,242091765,187,NA,-0.341132902561527,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,50500000,242091765,187,NA,-0.381834428096561,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,51500000,242091765,186,NA,-0.511625361979415,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,2,77500000,113500000,33,NA,0.205977351330913,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,2,114500000,226500000,110,NA,-0.0223226486690874,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,114500000,223500000,107,NA,-0.240362875748075,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,2,156500000,173500000,18,NA,-0.280773575602739,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,2,156500000,173500000,18,NA,-0.307808482760745,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,2,156500000,173500000,18,NA,-0.303156502729463,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,2,156500000,173500000,18,NA,-0.283289549781602,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,2,156500000,173500000,18,NA,-0.291201247794907,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,2,156500000,173500000,18,NA,-0.558138137763294,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,2,156500000,173500000,18,NA,-0.557319099830389,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,2,174500000,242091765,68,NA,0.0129264243972612,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,174500000,242091765,68,NA,-0.012508482760745,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,2,174500000,242091765,68,NA,0.00784349727053743,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,174500000,242091765,68,NA,-0.00358954978160228,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,2,174500000,229500000,54,NA,0.032698752205093,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,2,174500000,242091765,68,NA,-0.213238137763294,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,2,174500000,242091765,68,NA,-0.239219099830389,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,224500000,242091765,20,NA,-0.598162875748074,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,2,227500000,234500000,8,NA,-0.752322648669087,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,2,230500000,242091765,14,NA,-0.136201247794907,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,2,235500000,242091765,9,NA,-0.533722648669087,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,3,505000,198117780,194,NA,0.231526424397261,NA,0.05,3,tumor,custom,NA
205122170071_R01C01,3,505000,89775051,89,NA,0.0211746380205854,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,3,505000,83000000,83,NA,-0.0294226486690874,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,3,505000,182500000,178,NA,0.218791517239255,NA,0.05,3,tumor,custom,NA
205125590068_R01C01,3,505000,198117780,194,NA,0.223643497270537,NA,0.05,3,tumor,custom,NA
205128000076_R07C01,3,505000,45500000,46,NA,0.190310450218398,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,3,505000,198117780,194,NA,0.104637124251925,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,3,505000,198117780,194,NA,0.0134670974384732,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,3,505000,85500000,85,NA,-0.409068091816549,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,3,505000,46500000,47,NA,0.207798752205093,NA,0.05,3,tumor,custom,NA
205243940065_R07C01,3,505000,107500000,103,NA,0.00746186223670559,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,3,505000,175500000,171,NA,-0.0182190998303895,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,3,505000,198117780,194,NA,0.0120655719034393,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,3,46500000,53500000,8,NA,-0.00588954978160228,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,3,47500000,58500000,12,NA,0.062498752205093,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,3,54500000,97500000,39,NA,0.258310450218398,NA,0.05,3,tumor,custom,NA
205243940058_R04C01,3,59500000,198117780,135,NA,0.193698752205093,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,3,84500000,198117780,111,NA,0.164377351330913,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,3,86500000,198117780,109,NA,0.0451319081834508,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,3,93852787,198117780,105,NA,-0.194425361979415,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,3,98500000,198117780,101,NA,-0.00558954978160228,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,3,108500000,162500000,55,NA,-0.218438137763294,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,3,163500000,198117780,36,NA,-0.0454381377632944,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,3,176500000,198117780,23,NA,-0.188819099830389,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,3,183500000,198117780,16,NA,-0.023308482760745,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,4,505000,9661458,11,NA,0.0302264243972612,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,4,505000,159500000,155,NA,0.0288746380205854,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,4,505000,190061561,186,NA,0.0788773513309126,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,4,505000,14500000,16,NA,-0.011808482760745,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,4,505000,9661458,11,NA,-0.0611565027294626,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,4,505000,9661458,11,NA,0.0130104502183977,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,4,505000,190061561,186,NA,-0.00126287574807452,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,4,505000,9661458,11,NA,-0.0845329025615268,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,4,505000,22500000,24,NA,-0.0272680918165492,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,4,505000,10500000,12,NA,-0.037101247794907,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,4,505000,92500000,88,NA,0.000661862236705613,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,4,505000,9661458,11,NA,-0.251519099830389,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,4,505000,190061561,186,NA,0.0504655719034393,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,4,10500000,97500000,82,NA,0.266226424397261,NA,0.05,3,tumor,custom,NA
205125590068_R01C01,4,10500000,92500000,77,NA,0.0721434972705374,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,4,10500000,48668462,37,NA,0.270010450218398,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,4,10500000,190061561,175,NA,0.0556670974384732,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,4,10500000,97500000,82,NA,0.0179809001696105,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,4,11500000,91500000,75,NA,0.251098752205093,NA,0.05,3,tumor,custom,NA
205125590067_R07C01,4,15500000,92500000,72,NA,0.130091517239255,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,4,23500000,48668462,24,NA,0.328231908183451,NA,0.05,3,tumor,custom,NA
205128000076_R07C01,4,51896976,92500000,40,NA,0.0449104502183977,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,4,51896976,190061561,138,NA,0.0247319081834508,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,4,92500000,190061561,99,NA,0.014998752205093,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,4,93500000,190061561,98,NA,-0.186008482760745,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,4,93500000,188500000,96,NA,-0.213656502729463,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,4,93500000,190061561,98,NA,-0.266089549781602,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,4,93500000,190061561,98,NA,-0.186038137763294,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,4,98500000,190061561,93,NA,0.0662264243972612,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,4,98500000,190061561,93,NA,-0.211619099830389,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,4,160500000,190061561,31,NA,-0.170225361979415,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,4,189500000,190061561,2,NA,0.0176434972705374,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,5,505000,1500000,2,NA,-0.0680735756027388,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,5,505000,27500000,29,NA,-0.439625361979415,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,5,505000,28500000,30,NA,0.0295773513309126,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,5,505000,84500000,81,NA,0.224191517239255,NA,0.05,3,tumor,custom,NA
205125590068_R01C01,5,505000,1500000,2,NA,0.0720434972705374,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,5,505000,14500000,15,NA,0.00761045021839772,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,5,505000,27500000,29,NA,-0.123362875748075,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,5,505000,171500000,169,NA,0.0443670974384732,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,5,505000,2500000,3,NA,-0.0689680918165492,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,5,505000,3500000,4,NA,-0.062401247794907,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,5,505000,107500000,104,NA,0.0560618622367056,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,5,505000,1500000,2,NA,-0.253619099830389,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,5,505000,181239130,179,NA,0.0379655719034393,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,5,2500000,51500000,47,NA,0.280726424397261,NA,0.05,3,tumor,custom,NA
205125590068_R01C01,5,2500000,169500000,165,NA,0.228943497270537,NA,0.05,3,tumor,custom,NA
205243940107_R05C01,5,2500000,162500000,158,NA,0.00588090016961051,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,5,3500000,18500000,17,NA,0.161131908183451,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,5,4500000,44500000,42,NA,0.352198752205093,NA,0.05,3,tumor,custom,NA
205128000076_R07C01,5,15500000,45717950,32,NA,0.260710450218398,NA,0.05,3,tumor,custom,NA
205243940046_R04C01,5,19500000,181239130,159,NA,0.0265319081834508,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,5,28500000,89500000,57,NA,-0.124725361979415,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,5,28500000,61500000,30,NA,0.345637124251925,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,5,29500000,61500000,29,NA,0.310877351330913,NA,0.05,3,tumor,custom,NA
205243940058_R04C01,5,45717950,181239130,133,NA,0.142598752205093,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,5,50554904,91500000,41,NA,0.0493104502183977,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,5,52500000,174500000,123,NA,0.0596264243972612,NA,0.05,2,tumor,custom,NA
205125590021_R02C01,5,62500000,181239130,120,NA,0.0332773513309126,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,5,62500000,181239130,120,NA,0.0132371242519255,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,5,85500000,174500000,91,NA,0.00489151723925501,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,5,90500000,154500000,66,NA,0.0567746380205854,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,5,92500000,144500000,54,NA,-0.284989549781602,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,5,108500000,181239130,75,NA,-0.259438137763294,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,5,145500000,181239130,37,NA,-0.0265895497816023,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,5,155380162,168500000,14,NA,-0.575625361979414,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,5,163500000,169500000,7,NA,-0.223819099830389,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,5,169500000,181239130,13,NA,-0.0923253619794146,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,5,170500000,181239130,12,NA,0.101343497270537,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,5,170500000,181239130,12,NA,-0.448419099830389,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,5,172500000,181239130,10,NA,-0.0904329025615268,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,5,175500000,181239130,7,NA,-0.149873575602739,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,5,175500000,181239130,7,NA,-0.231508482760745,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,6,530000,14500000,15,NA,-1.01687357560274,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,6,530000,8500000,9,NA,-0.506925361979415,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,6,530000,170372990,165,NA,0.00587735133091256,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,6,530000,14500000,15,NA,-0.772308482760745,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,6,530000,14500000,15,NA,-0.923456502729463,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,6,530000,14500000,15,NA,-0.939589549781602,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,6,530000,57726944,58,NA,0.256437124251925,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,6,530000,170372990,165,NA,-0.0123329025615268,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,6,530000,57726944,58,NA,-0.436468091816549,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,6,530000,14500000,15,NA,-1.04860124779491,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,6,530000,14500000,15,NA,-1.43943813776329,NA,0.05,1,tumor,custom,NA
