Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	10042253	9288062	0.5	Hetero	S-tag133716	S-tag100530	799	1	799
chr1	1	10071301	33134774	23063474	0.6379	Unbalanced	S-tag022245	S-tag133609	2772	800	1973
chr1	1	33152342	145117984	111965643	0.6414	Unbalanced	S-tag077084	S-tag223937	9767	2773	6995
chr1	1	145205788	249212878	104007091	0.5	Hetero	S-tag166066	S-tag279722	17813	9768	8046
chr2	2	21494	18142133	18120640	0.8481	Unbalanced	S-tag008358	S-tag065578	19199	17814	1386
chr2	2	18160215	24063243	5903029	0.6988	Unbalanced	S-tag106630	S-tag157325	19596	19200	397
chr2	2	24085606	25911304	1825699	0.7152	Unbalanced	S-tag036663	S-tag085703	19758	19597	162
chr2	2	25923407	44905265	18981859	0.6954	Unbalanced	S-tag327135	S-tag120585	21395	19759	1637
chr2	2	44918903	76338501	31419599	0.6409	Unbalanced	S-tag074820	S-tag222406	23719	21396	2324
chr2	2	76356908	76943863	586956	0.6473	Unbalanced	S-tag252479	S-tag076292	23763	23720	44
chr2	2	76961427	156382414	79420988	0.6435	Unbalanced	S-tag277099	S-tag188917	29508	23764	5745
chr2	2	156404460	174775562	18371103	0.5	Hetero	S-tag238319	S-tag201709	30863	29509	1355
chr2	2	174793940	175300997	507058	0.5624	Unbalanced	S-tag321912	S-tag268460	30898	30864	35
chr2	2	175311629	242095698	66784070	0.643	Unbalanced	S-tag010509	S-tag321007	35823	30899	4925
chr2	2	242110786	243052331	941546	0.6483	Unbalanced	S-tag267479	S-tag082861	35915	35824	92
chr3	3	63411	423018	359608	0.5	Hetero	S-tag123447	S-tag284043	35969	35916	54
chr3	3	430682	1382358	951677	0.5503	Unbalanced	S-tag263399	S-tag182914	36038	35970	69
chr3	3	1397069	1986399	589331	0.5	Hetero	S-tag060186	S-tag023950	36080	36039	42
chr3	3	2001047	3712236	1711190	0.6433	Unbalanced	S-tag137487	S-tag147827	36196	36081	116
chr3	3	3728697	59762033	56033337	0.5	Hetero	S-tag270131	S-tag298337	40616	36197	4420
chr3	3	59778003	59989782	211780	0.5436	Unbalanced	S-tag093336	S-tag171063	40652	40617	36
chr3	3	59991608	97920984	37929377	0.5	Hetero	S-tag126345	S-tag121009	43620	40653	2968
chr3	3	97937374	98697729	760356	0.5504	Unbalanced	S-tag297409	S-tag209758	43671	43621	51
chr3	3	98710002	103843536	5133535	0.6424	Unbalanced	S-tag055924	S-tag235450	44027	43672	356
chr3	3	103857868	129762859	25904992	0.6301	Unbalanced	S-tag115484	S-tag273782	45942	44028	1915
chr3	3	129784388	139037175	9252788	0.6426	Unbalanced	S-tag110695	S-tag085020	46697	45943	755
chr3	3	139049804	160376851	21327048	0.6299	Unbalanced	S-tag193927	S-tag147070	48188	46698	1491
chr3	3	160391659	175606759	15215101	0.641	Unbalanced	S-tag059646	S-tag061632	49267	48189	1079
chr3	3	175628862	177633633	2004772	0.5	Hetero	S-tag327651	S-tag113000	49402	49268	135
chr3	3	177647728	185544309	7896582	0.6333	Unbalanced	S-tag121089	S-tag273366	49990	49403	588
chr3	3	185562292	192066962	6504671	0.6445	Unbalanced	S-tag326096	S-tag050983	50680	49991	690
chr3	3	192082082	193730758	1648677	0.5	Hetero	S-tag139344	S-tag302997	50791	50681	111
chr3	3	193752079	194358054	605976	0.5418	Unbalanced	S-tag196765	S-tag194679	50830	50792	39
chr3	3	194375303	197852564	3477262	0.644	Unbalanced	S-tag154257	S-tag251937	51111	50831	281
chr4	4	69404	49092454	49023051	0.5	Hetero	S-tag272826	S-tag068636	54454	51112	3343
chr4	4	52684891	62854513	10169623	0.6419	Unbalanced	S-tag165730	S-tag034503	55321	54455	867
chr4	4	62859511	83912597	21053087	0.6377	Unbalanced	S-tag263679	S-tag287496	56789	55322	1468
chr4	4	83929394	85703188	1773795	0.6236	Unbalanced	S-tag127246	S-tag037613	56908	56790	119
chr4	4	85714274	86826053	1111780	0.6441	Unbalanced	S-tag184020	S-tag080199	56982	56909	74
chr4	4	86843504	88362904	1519401	0.6255	Unbalanced	S-tag292376	S-tag131943	57114	56983	132
chr4	4	88382475	93833561	5451087	0.6418	Unbalanced	S-tag201343	S-tag302527	57513	57115	399
chr4	4	93845589	190915650	97070062	0.5	Hetero	S-tag241673	S-tag011735	64556	57514	7043
chr5	5	38139	15689838	15651700	0.628	Unbalanced	S-tag083571	S-tag162559	65642	64557	1086
chr5	5	15707132	46401271	30694140	0.5	Hetero	S-tag041996	S-tag318030	67791	65643	2149
chr5	5	49441966	79637799	30195834	0.6285	Unbalanced	S-tag275353	S-tag100529	69785	67792	1994
chr5	5	79653141	90505517	10852377	0.6349	Unbalanced	S-tag225751	S-tag198467	70537	69786	752
chr5	5	90524105	91294315	770211	0.5332	Unbalanced	S-tag190974	S-tag071320	70589	70538	52
chr5	5	91316398	145058055	53741658	0.5	Hetero	S-tag201603	S-tag175125	74329	70590	3740
chr5	5	145068327	149532107	4463781	0.6502	Unbalanced	S-tag203874	S-tag045582	74670	74330	341
chr5	5	149533848	153509596	3975749	0.6319	Unbalanced	S-tag211678	S-tag204726	74957	74671	287
chr5	5	153518766	180698312	27179547	0.6437	Unbalanced	S-tag062122	S-tag320993	76910	74958	1953
chr6	6	204909	28059020	27854112	0.8967	Unbalanced	S-tag032787	S-tag246024	78949	76911	2039
chr6	6	28076270	58770502	30694233	0.8402	Unbalanced	S-tag224586	S-tag276242	81422	78950	2473
chr6	6	61886393	87395567	25509175	0.5	Hetero	S-tag174241	S-tag326409	83214	81423	1792
chr6	6	87422197	116263181	28840985	0.8503	Unbalanced	S-tag076751	S-tag072896	85439	83215	2225
chr6	6	116278725	160332813	44054089	0.5	Hetero	S-tag194124	S-tag038870	88695	85440	3256
chr6	6	160353822	161229578	875757	0.5305	Unbalanced	S-tag192313	S-tag060247	88756	88696	61
chr6	6	161244359	170913051	9668693	0.5	Hetero	S-tag325697	S-tag281247	89630	88757	874
chr7	7	41421	10907748	10866328	0.6405	Unbalanced	S-tag316675	S-tag282824	90499	89631	869
chr7	7	10910808	47250231	36339424	0.6426	Unbalanced	S-tag054128	S-tag296783	93197	90500	2698
chr7	7	47267092	58025423	10758332	0.6446	Unbalanced	S-tag307597	S-tag261171	94118	93198	921
chr7	7	61064518	159118443	98053926	0.5	Hetero	S-tag327346	S-tag164900	101597	94119	7479
chr8	8	172417	39105444	38933028	0.6411	Unbalanced	S-tag057861	S-tag233181	105094	101598	3497
chr8	8	39114949	40123870	1008922	0.6469	Unbalanced	S-tag095973	S-tag207002	105162	105095	68
chr8	8	40143306	43136601	2993296	0.6485	Unbalanced	S-tag000565	S-tag242482	105426	105163	264
chr8	8	43144041	47472609	4328569	0.6484	Unbalanced	S-tag219597	S-tag211780	105508	105427	82
chr8	8	47485570	80642010	33156441	0.6433	Unbalanced	S-tag278926	S-tag201296	108020	105509	2512
chr8	8	80663308	81789921	1126614	0.6209	Unbalanced	S-tag239290	S-tag005424	108096	108021	76
chr8	8	81801539	104255932	22454394	0.644	Unbalanced	S-tag061067	S-tag023127	109700	108097	1604
chr8	8	104271104	107022586	2751483	0.6288	Unbalanced	S-tag051692	S-tag016657	109884	109701	184
chr8	8	107035120	144631474	37596355	0.6433	Unbalanced	S-tag265538	S-tag062253	113409	109885	3525
chr8	8	144636949	145069678	432730	0.6405	Unbalanced	S-tag153639	S-tag223315	113471	113410	62
chr8	8	145084493	146292734	1208242	0.6226	Unbalanced	S-tag206350	S-tag181025	113551	113472	80
chr9	9	204738	93557698	93352961	0.6409	Unbalanced	S-tag285604	S-tag299071	118440	113552	4889
chr9	9	93559351	98923268	5363918	0.6481	Unbalanced	S-tag162961	S-tag309267	118898	118441	458
chr9	9	98941086	132688843	33747758	0.639	Unbalanced	S-tag191809	S-tag073976	121358	118899	2460
chr9	9	132690613	141054761	8364149	0.5	Hetero	S-tag304397	S-tag292642	122083	121359	725
chr10	10	126070	87897272	87771203	0.5	Hetero	S-tag288298	S-tag299864	128211	122084	6128
chr10	10	87906836	88418683	511848	0.5292	Unbalanced	S-tag186872	S-tag235347	128245	128212	34
chr10	10	88436490	88649176	212687	0.5885	Unbalanced	S-tag193083	S-tag121684	128307	128246	62
chr10	10	88651067	88906925	255859	0.5323	Unbalanced	S-tag000796	S-tag283473	128338	128308	31
chr10	10	88908038	135434303	46526266	0.5	Hetero	S-tag008543	S-tag259257	131774	128339	3436
chr11	11	192764	1534852	1342089	0.6468	Unbalanced	S-tag179986	S-tag164256	131885	131775	111
chr11	11	1554595	16173986	14619392	0.6247	Unbalanced	S-tag022497	S-tag072364	132980	131886	1095
chr11	11	16195941	19906795	3710855	0.6348	Unbalanced	S-tag148618	S-tag267431	133268	132981	288
chr11	11	19923487	49667389	29743903	0.624	Unbalanced	S-tag169228	S-tag292410	135342	133269	2074
chr11	11	49688837	55009362	5320526	0.6431	Unbalanced	S-tag276249	S-tag134122	135449	135343	107
chr11	11	55032020	56229310	1197291	0.6371	Unbalanced	S-tag016338	S-tag287911	135527	135450	78
chr11	11	56241490	66228951	9987462	0.6114	Unbalanced	S-tag018379	S-tag292182	136283	135528	756
chr11	11	66239147	81106871	14867725	0.6242	Unbalanced	S-tag196144	S-tag184127	137528	136284	1245
chr11	11	81110347	83772566	2662220	0.602	Unbalanced	S-tag213813	S-tag133122	137706	137529	178
chr11	11	83787395	86825194	3037800	0.5	Hetero	S-tag319112	S-tag230485	137926	137707	220
chr11	11	86838100	100775521	13937422	0.6175	Unbalanced	S-tag006834	S-tag232847	138936	137927	1010
chr11	11	100786611	117711232	16924622	0.5	Hetero	S-tag253082	S-tag189129	140281	138937	1345
chr11	11	117737359	121308525	3571167	0.6163	Unbalanced	S-tag087913	S-tag073109	140641	140282	360
chr11	11	121315155	134938847	13623693	0.629	Unbalanced	S-tag097758	S-tag183870	141718	140642	1077
chr12	12	189400	8057859	7868460	0.5	Hetero	S-tag092992	S-tag114165	142482	141719	764
chr12	12	8075685	9113002	1037318	0.6185	Unbalanced	S-tag085806	S-tag097282	142547	142483	65
chr12	12	9130807	21685108	12554302	0.6455	Unbalanced	S-tag317333	S-tag249271	143593	142548	1046
chr12	12	21691891	30015289	8323399	0.6371	Unbalanced	S-tag265181	S-tag197812	144231	143594	638
chr12	12	30030709	41885680	11854972	0.6467	Unbalanced	S-tag145032	S-tag246435	144848	144232	617
chr12	12	41903274	121273247	79369974	0.6402	Unbalanced	S-tag144030	S-tag052160	151209	144849	6361
chr12	12	121298644	121970346	671703	0.7422	Unbalanced	S-tag157697	S-tag071424	151280	151210	71
chr12	12	121988899	129507348	7518450	0.6408	Unbalanced	S-tag028791	S-tag196944	151832	151281	552
chr12	12	129520927	133818115	4297189	0.6536	Unbalanced	S-tag129412	S-tag062823	152071	151833	239
chr13	13	19084823	23166732	4081910	0.5	Hetero	S-tag129068	S-tag307791	152359	152072	288
chr13	13	23189476	30271528	7082053	0.6356	Unbalanced	S-tag278328	S-tag073158	152966	152360	607
chr13	13	30276819	31022829	746011	0.5572	Unbalanced	S-tag294073	S-tag161706	153023	152967	57
chr13	13	31043475	34114773	3071299	0.5	Hetero	S-tag260982	S-tag075980	153327	153024	304
chr13	13	34125284	38549290	4424007	0.6248	Unbalanced	S-tag312983	S-tag227724	153659	153328	332
chr13	13	38556245	66825973	28269729	0.8359	Unbalanced	S-tag187053	S-tag194070	155872	153660	2213
chr13	13	66843296	71125127	4281832	0.623	Unbalanced	S-tag261878	S-tag029408	156167	155873	295
chr13	13	71155658	104044275	32888618	0.6365	Unbalanced	S-tag183965	S-tag070182	158864	156168	2697
chr13	13	104054828	105175696	1120869	0.655	Unbalanced	S-tag265717	S-tag064276	158976	158865	112
