Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	866893	29503214	28636322	0.5	Hetero	S-tag240208	S-tag076472	719	1	719
chr1	1	29533080	31293880	1760801	0.37119430028729	Unbalanced	S-tag300175	S-tag121076	760	720	41
chr1	1	31354813	33475426	2120614	0.473584105343491	Unbalanced	S-tag087032	S-tag199218	816	761	56
chr1	1	33508527	36818066	3309540	0.426610299866887	Unbalanced	S-tag035983	S-tag248000	847	817	31
chr1	1	36855694	41641327	4785634	0.408479149480468	Unbalanced	S-tag194943	S-tag005189	950	848	103
chr1	1	42410100	43300663	890564	0.475423480500001	Unbalanced	S-tag243883	S-tag312812	974	951	24
chr1	1	43325682	43771090	445409	0.464454901112942	Unbalanced	S-tag211166	S-tag110484	990	975	16
chr1	1	43779564	62102307	18322744	0.414436177476078	Unbalanced	S-tag108098	S-tag068458	1554	991	564
chr1	1	62106396	65318584	3212189	0.413570425368426	Unbalanced	S-tag071072	S-tag041590	1634	1555	80
chr1	1	65638930	75356858	9717929	0.295269032477245	Unbalanced	S-tag125420	S-tag283796	1819	1635	185
chr1	1	75564734	86263970	10699237	0.237949668510241	Unbalanced	S-tag090907	S-tag238439	2039	1820	220
chr1	1	86278754	109406103	23127350	0.298974908528888	Unbalanced	S-tag045702	S-tag166623	2578	2040	539
chr1	1	109527108	112120953	2593846	0.410606979748993	Unbalanced	S-tag228611	S-tag080348	2659	2579	81
chr1	1	112127718	115797624	3669907	0.424224840592494	Unbalanced	S-tag031841	S-tag291932	2772	2660	113
chr1	1	115798619	120166681	4368063	0.410961777618465	Unbalanced	S-tag008542	S-tag267638	2844	2773	72
chr1	1	120282342	121333234	1050893	0.291722763913218	Unbalanced	S-tag295717	S-tag270975	2860	2845	16
chr1	1	144990437	248551636	103561200	0.114950827783761	Unbalanced	S-tag208139	S-tag068547	3028	2861	168
chr2	2	418433	76578575	76160143	0.114890309629367	Unbalanced	S-tag232727	S-tag117128	3125	3029	97
chr2	2	78451939	81663140	3211202	0.368847904248238	Unbalanced	S-tag093002	S-tag000442	3200	3126	75
chr2	2	81751507	86842174	5090668	0.5	Hetero	S-tag021072	S-tag281761	3300	3201	100
chr2	2	88428834	97654678	9225845	0.359969921955248	Unbalanced	S-tag036667	S-tag066488	3341	3301	41
chr2	2	99154508	114488405	15333898	0.402161997291121	Unbalanced	S-tag113044	S-tag091057	3745	3342	404
chr2	2	114500131	145220163	30720033	0.434619679984198	Unbalanced	S-tag073898	S-tag284547	4335	3746	590
chr2	2	145291729	145595571	303843	0.5	Hetero	S-tag036819	S-tag269726	4350	4336	15
chr2	2	145599194	159761682	14162489	0.431914145919191	Unbalanced	S-tag087524	S-tag040429	4697	4351	347
chr2	2	159762078	161923520	2161443	0.471869713111357	Unbalanced	S-tag062656	S-tag288633	4719	4698	22
chr2	2	161936322	165406519	3470198	0.42246805261856	Unbalanced	S-tag212140	S-tag025595	4761	4720	42
chr2	2	165566877	167168632	1601756	0.5	Hetero	S-tag319940	S-tag130325	4794	4762	33
