"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",677994,248923211,2347,-0.0304,0.0715,-0.0306,0.0664,NA,NA,NA
"Sample.1","chr10",70000,133625233,1175,-0.0182,0.0751,-0.0165,0.0723,NA,NA,NA
"Sample.1","chr11",130000,135013311,1369,-0.0284,0.0694,-0.0315,0.0655,NA,NA,NA
"Sample.1","chr12",55000,133222655,1267,-0.0122,0.0726,-0.0162,0.071,NA,NA,NA
"Sample.1","chr13",18639053,114332164,598,0.0016,0.0694,0.0017,0.0681,NA,NA,NA
"Sample.1","chr14",19187179,106796859,830,-0.0258,0.0716,-0.0289,0.0682,NA,NA,NA
"Sample.1","chr15",20062627,25135000,30,-0.0627,0.086,-0.0521,0.0627,3.72029475203193e-09,25075000,25135000
"Sample.1","chr15",25175000,25255000,8,-0.2712,0.0673,-0.2659,0.085,8.3445164111458e-20,25255000,25350000
"Sample.1","chr15",25350000,101875595,770,-0.0254,0.0716,-0.0287,0.07,NA,NA,NA
"Sample.1","chr16",40000,90159173,1066,-0.0455,0.0708,-0.0457,0.0703,NA,NA,NA
"Sample.1","chr17",120000,83168721,1265,-0.0419,0.0713,-0.0461,0.0703,NA,NA,NA
"Sample.1","chr18",80000,80206643,417,-3e-04,0.0704,-9e-04,0.0729,NA,NA,NA
"Sample.1","chr19",175000,58588808,1106,-0.0642,0.0732,-0.0634,0.0701,NA,NA,NA
"Sample.1","chr2",110000,242111765,1818,-0.0055,0.0704,-0.007,0.069,NA,NA,NA
"Sample.1","chr20",178168,64292084,643,-0.0409,0.0672,-0.0426,0.0684,NA,NA,NA
"Sample.1","chr21",5055000,46679992,284,-0.0054,0.0747,-0.0049,0.0716,NA,NA,NA
"Sample.1","chr22",15422159,50769234,524,-0.0483,0.0648,-0.0505,0.0609,NA,NA,NA
"Sample.1","chr3",115000,198172780,1391,-0.0051,0.0744,-0.0062,0.0768,NA,NA,NA
"Sample.1","chr4",65000,190066561,1054,0.0149,0.0715,0.0156,0.0711,NA,NA,NA
"Sample.1","chr5",50000,181369130,1269,-0.0037,0.0794,-0.0046,0.0661,NA,NA,NA
"Sample.1","chr6",140000,170662990,1435,-0.0208,0.0763,-0.0215,0.0738,NA,NA,NA
"Sample.1","chr7",50000,1235000,54,-0.0147,0.0715,-0.0187,0.0651,1.33451682727339e-08,1140000,1235000
"Sample.1","chr7",1250000,1460000,9,-0.1663,0.0321,-0.1649,0.026,8.78254776194121e-07,1460000,1515000
"Sample.1","chr7",1475000,159247987,1271,-0.0218,0.0749,-0.0212,0.0721,NA,NA,NA
"Sample.1","chr8",160000,145039318,1072,-0.0186,0.0744,-0.017,0.07,NA,NA,NA
"Sample.1","chr9",110000,138227359,730,-0.0307,0.0712,-0.0315,0.0704,NA,NA,NA
"Sample.1","chrX",2528744,152680000,514,0.5888,0.1038,0.5931,0.1004,1.45565143624961e-23,152180000,152780000
"Sample.1","chrX",152780000,154000000,25,0.3672,0.0839,0.3633,0.0766,1.18022172690273e-08,153960000,154350000
"Sample.1","chrX",154055000,155645448,20,0.5429,0.1067,0.546,0.0631,NA,NA,NA
"Sample.1","chrY",3568744,24239248,16,-3.3157,1.198,-3.54,0.655,NA,NA,NA
