"","GDC_Aliquot","Chromosome","Start","End","Num_Probes","Segment_Mean"
"1","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",62920,86341,11,1.0342
"2","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",98588,20657370,11286,-0.6239
"3","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",20658061,25292549,2652,0.3022
"4","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",25301974,25320455,7,1.1548
"5","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",25336819,34626073,4936,0.2955
"6","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",34637053,34638890,20,-0.307
"7","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",34648667,38117186,1811,0.3043
"8","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",38118360,38119077,2,-1.1596
"9","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",38119209,54225615,8969,0.2964
"10","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",54226155,60816667,4979,0.3312
"11","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",60818782,68772408,5861,0.3055
"12","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",68773759,69018254,127,-0.4804
"13","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",69020375,72284670,1932,0.3151
"14","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",72290430,72297687,9,-0.7567
"15","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",72302735,72345465,48,0.5711
"16","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",72346221,86695954,9328,0.3031
"17","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",86697550,86699910,3,-1.1248
"18","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",86706044,87093041,189,0.2515
"19","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",87094602,88549260,1107,0.3253
"20","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",88549308,89009572,279,0.2503
"21","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",89012275,89012522,2,1.2822
"22","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",89015841,89518959,296,0.2663
"23","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",89525955,105476583,9654,-0.5809
"24","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",105476614,105479753,16,-1.6324
"25","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",105481433,108845864,2212,-0.5794
"26","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",108849540,108955523,74,-0.0881
"27","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",108961034,109690949,336,-0.6102
"28","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",109691609,109691788,2,-2.7271
"29","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",109691933,112147704,1940,-0.5989
"30","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",112153343,112154591,22,-0.0487
"31","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",112154619,114289343,1315,-0.5926
"32","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",114291004,114291088,2,-2.1063
"33","1557ec60-bb88-4941-8c61-a00bc1bec7c6","1",114291180,116721484,1600,-0.5847
