"log2ratio","type","CNVStatus","Gene","case","bin"
-0.070781815916601,"Gene_MMasteR","Normal","PTEN",9202,10000
0,"Gene_SNP","Normal","PTEN",9202,10000
-0.047,"Gene_Conumee","Normal","PTEN",9202,10000
-0.0107,"Gene_SeSAMe","Normal","PTEN",9202,10000
-0.0587563670984508,"Gene_MMasteR","Normal","PTEN",9203,10000
0,"Gene_SNP","Normal","PTEN",9203,10000
-0.054,"Gene_Conumee","Normal","PTEN",9203,10000
0.0044,"Gene_SeSAMe","Normal","PTEN",9203,10000
-0.395674049250166,"Gene_MMasteR","Deletion","PTEN",9327,10000
-0.748,"Gene_SNP","Deletion","PTEN",9327,10000
-0.407,"Gene_Conumee","Deletion","PTEN",9327,10000
-0.3948,"Gene_SeSAMe","Deletion","PTEN",9327,10000
-0.375137574058321,"Gene_MMasteR","Deletion","PTEN",9328,10000
-0.952,"Gene_SNP","Deletion","PTEN",9328,10000
-2.214,"Gene_SNP","Deletion","PTEN",9328,10000
-0.125,"Gene_Conumee","Normal","PTEN",9328,10000
-0.3111,"Gene_SeSAMe","Deletion","PTEN",9328,10000
0.362516112827761,"Gene_MMasteR","Amplification","PTEN",9337,10000
-2.519,"Gene_SNP","Deletion","PTEN",9337,10000
0.655,"Gene_SNP","Amplification","PTEN",9337,10000
0.355,"Gene_Conumee","Amplification","PTEN",9337,10000
0.3754,"Gene_SeSAMe","Amplification","PTEN",9337,10000
0.211248306981621,"Gene_MMasteR","Amplification","PTEN",9338,10000
-2.002,"Gene_SNP","Deletion","PTEN",9338,10000
0.156,"Gene_SNP","Normal","PTEN",9338,10000
0.236,"Gene_Conumee","Amplification","PTEN",9338,10000
0.1909,"Gene_SeSAMe","Normal","PTEN",9338,10000
-0.035475736511507,"Gene_MMasteR","Normal","PTEN",9350,10000
-0.626,"Gene_SNP","Deletion","PTEN",9350,10000
-0.005,"Gene_Conumee","Normal","PTEN",9350,10000
0.0614,"Gene_SeSAMe","Normal","PTEN",9350,10000
-0.310980345551957,"Gene_MMasteR","Deletion","PTEN",9353,10000
-0.777,"Gene_SNP","Deletion","PTEN",9353,10000
-0.39,"Gene_Conumee","Deletion","PTEN",9353,10000
-0.3555,"Gene_SeSAMe","Deletion","PTEN",9353,10000
-0.411606742755972,"Gene_MMasteR","Deletion","PTEN",9354,10000
-0.777,"Gene_SNP","Deletion","PTEN",9354,10000
-0.446,"Gene_Conumee","Deletion","PTEN",9354,10000
-0.4508,"Gene_SeSAMe","Deletion","PTEN",9354,10000
-0.401735888266756,"Gene_MMasteR","Deletion","PTEN",9355,10000
-0.815,"Gene_SNP","Deletion","PTEN",9355,10000
-0.502,"Gene_Conumee","Deletion","PTEN",9355,10000
-0.5115,"Gene_SeSAMe","Deletion","PTEN",9355,10000
-0.517700194278994,"Gene_MMasteR","Deletion","PTEN",9356,10000
-0.828,"Gene_SNP","Deletion","PTEN",9356,10000
-0.509,"Gene_Conumee","Deletion","PTEN",9356,10000
-0.549,"Gene_SeSAMe","Deletion","PTEN",9356,10000
-0.507529518903983,"Gene_MMasteR","Deletion","PTEN",9357,10000
-0.741,"Gene_SNP","Deletion","PTEN",9357,10000
-0.474,"Gene_Conumee","Deletion","PTEN",9357,10000
-0.4956,"Gene_SeSAMe","Deletion","PTEN",9357,10000
-0.348572334473837,"Gene_MMasteR","Deletion","PTEN",9358,10000
-0.751,"Gene_SNP","Deletion","PTEN",9358,10000
-0.361,"Gene_Conumee","Deletion","PTEN",9358,10000
-0.3548,"Gene_SeSAMe","Deletion","PTEN",9358,10000
-0.0727518935575485,"Gene_MMasteR","Normal","PTEN",9202,50000
0,"Gene_SNP","Normal","PTEN",9202,50000
-0.056,"Gene_Conumee","Normal","PTEN",9202,50000
-0.0017,"Gene_SeSAMe","Normal","PTEN",9202,50000
-0.0590946934424186,"Gene_MMasteR","Normal","PTEN",9203,50000
0,"Gene_SNP","Normal","PTEN",9203,50000
-0.057,"Gene_Conumee","Normal","PTEN",9203,50000
0.0024,"Gene_SeSAMe","Normal","PTEN",9203,50000
-0.391924087613987,"Gene_MMasteR","Deletion","PTEN",9327,50000
-0.748,"Gene_SNP","Deletion","PTEN",9327,50000
-0.395,"Gene_Conumee","Deletion","PTEN",9327,50000
-0.3754,"Gene_SeSAMe","Deletion","PTEN",9327,50000
-0.380861947653721,"Gene_MMasteR","Deletion","PTEN",9328,50000
-0.952,"Gene_SNP","Deletion","PTEN",9328,50000
-2.214,"Gene_SNP","Deletion","PTEN",9328,50000
-0.337,"Gene_Conumee","Deletion","PTEN",9328,50000
-0.3018,"Gene_SeSAMe","Deletion","PTEN",9328,50000
0.366071521310827,"Gene_MMasteR","Amplification","PTEN",9337,50000
-2.519,"Gene_SNP","Deletion","PTEN",9337,50000
0.655,"Gene_SNP","Amplification","PTEN",9337,50000
0.384,"Gene_Conumee","Amplification","PTEN",9337,50000
0.3906,"Gene_SeSAMe","Amplification","PTEN",9337,50000
0.25103021856728,"Gene_MMasteR","Amplification","PTEN",9338,50000
-2.002,"Gene_SNP","Deletion","PTEN",9338,50000
0.156,"Gene_SNP","Normal","PTEN",9338,50000
0.261,"Gene_Conumee","Amplification","PTEN",9338,50000
0.2188,"Gene_SeSAMe","Normal","PTEN",9338,50000
-0.041122543268734,"Gene_MMasteR","Normal","PTEN",9350,50000
-0.626,"Gene_SNP","Deletion","PTEN",9350,50000
-0.022,"Gene_Conumee","Normal","PTEN",9350,50000
0.0572,"Gene_SeSAMe","Normal","PTEN",9350,50000
-0.353612311116581,"Gene_MMasteR","Deletion","PTEN",9353,50000
-0.777,"Gene_SNP","Deletion","PTEN",9353,50000
-0.391,"Gene_Conumee","Deletion","PTEN",9353,50000
-0.3592,"Gene_SeSAMe","Deletion","PTEN",9353,50000
-0.443296378718347,"Gene_MMasteR","Deletion","PTEN",9354,50000
-0.777,"Gene_SNP","Deletion","PTEN",9354,50000
-0.49,"Gene_Conumee","Deletion","PTEN",9354,50000
-0.4946,"Gene_SeSAMe","Deletion","PTEN",9354,50000
-0.437771833243482,"Gene_MMasteR","Deletion","PTEN",9355,50000
-0.815,"Gene_SNP","Deletion","PTEN",9355,50000
-0.505,"Gene_Conumee","Deletion","PTEN",9355,50000
-0.5013,"Gene_SeSAMe","Deletion","PTEN",9355,50000
-0.517609333052162,"Gene_MMasteR","Deletion","PTEN",9356,50000
-0.828,"Gene_SNP","Deletion","PTEN",9356,50000
-0.522,"Gene_Conumee","Deletion","PTEN",9356,50000
-0.5421,"Gene_SeSAMe","Deletion","PTEN",9356,50000
-0.573740256925178,"Gene_MMasteR","Deletion","PTEN",9357,50000
-0.741,"Gene_SNP","Deletion","PTEN",9357,50000
-0.466,"Gene_Conumee","Deletion","PTEN",9357,50000
-0.4707,"Gene_SeSAMe","Deletion","PTEN",9357,50000
-0.363517349427686,"Gene_MMasteR","Deletion","PTEN",9358,50000
-0.751,"Gene_SNP","Deletion","PTEN",9358,50000
-0.367,"Gene_Conumee","Deletion","PTEN",9358,50000
-0.3681,"Gene_SeSAMe","Deletion","PTEN",9358,50000
-0.0791307583738366,"Gene_MMasteR","Normal","PTEN",9202,1e+05
0,"Gene_SNP","Normal","PTEN",9202,1e+05
-0.06,"Gene_Conumee","Normal","PTEN",9202,1e+05
