Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	1499298	227212024	225712727	0.5	Hetero	S-tag224203	S-tag257218	4880	1	4880
chr1	1	227213968	227494436	280469	0.444195220384747	Unbalanced	S-tag326066	S-tag322746	4904	4881	24
chr1	1	227513033	248897288	21384256	0.5	Hetero	S-tag263888	S-tag093750	5481	4905	577
chr2	2	69431	29083850	29014420	0.348612349026087	Unbalanced	S-tag034365	S-tag154579	6137	5482	656
chr2	2	29109631	29809861	700231	0.380062894752392	Unbalanced	S-tag079112	S-tag259467	6189	6138	52
chr2	2	29812429	40748216	10935788	0.350764595080113	Unbalanced	S-tag001439	S-tag268406	6465	6190	276
chr2	2	40763574	46132860	5369287	0.336319789561358	Unbalanced	S-tag001732	S-tag221917	6575	6466	110
chr2	2	46137869	48078838	1940970	0.373203802949343	Unbalanced	S-tag123701	S-tag079504	6653	6576	78
chr2	2	48098652	69738093	21639442	0.349484559335236	Unbalanced	S-tag003274	S-tag093356	7077	6654	424
chr2	2	69909977	72758653	2848677	0.374616947025061	Unbalanced	S-tag247438	S-tag172386	7141	7078	64
chr2	2	72905438	142222842	69317405	0.348038847296016	Unbalanced	S-tag199119	S-tag068817	8363	7142	1222
chr2	2	142226434	143149884	923451	0.31829047203064	Unbalanced	S-tag225594	S-tag129850	8398	8364	35
chr2	2	143157016	156314691	13157676	0.356081102057999	Unbalanced	S-tag104241	S-tag003121	8653	8399	255
chr2	2	156346494	174763936	18417443	0.5	Hetero	S-tag056465	S-tag178001	8923	8654	270
chr2	2	174793940	175336837	542898	0.40876379609108	Unbalanced	S-tag321912	S-tag063264	8938	8924	15
chr2	2	175570297	212575671	37005375	0.350254223124795	Unbalanced	S-tag287030	S-tag282041	9747	8939	809
chr2	2	212582246	213675363	1093118	0.326172116459632	Unbalanced	S-tag172013	S-tag120482	9796	9748	49
chr2	2	213689498	223938748	10249251	0.351492995599739	Unbalanced	S-tag078877	S-tag031502	10034	9797	238
chr2	2	223964797	228474873	4510077	0.36900738697007	Unbalanced	S-tag134513	S-tag252346	10140	10035	106
chr2	2	228477310	242110786	13633477	0.35449997814341	Unbalanced	S-tag270734	S-tag267479	10498	10141	358
chr3	3	136399	438253	301855	0.337787941882485	Unbalanced	S-tag005120	S-tag187684	10517	10499	19
chr3	3	963381	1252668	289288	0.42616777949863	Unbalanced	S-tag146704	S-tag005846	10526	10518	9
chr3	3	1331135	1953413	622279	0.459750174881683	Unbalanced	S-tag126550	S-tag199387	10544	10527	18
chr3	3	2036052	3614887	1578836	0.351770973821697	Unbalanced	S-tag327005	S-tag139186	10590	10545	46
chr3	3	3745964	3925769	179806	0.44668976465861	Unbalanced	S-tag172712	S-tag200703	10599	10591	9
chr3	3	3943186	107105685	103162500	0.5	Hetero	S-tag319935	S-tag161161	13021	10600	2422
chr3	3	107133974	155726800	48592827	0.348067971764318	Unbalanced	S-tag073831	S-tag207808	14167	13022	1146
chr3	3	155802193	158864418	3062226	0.322234298469319	Unbalanced	S-tag097506	S-tag289186	14229	14168	62
chr3	3	158914401	162496237	3581837	0.356069482645942	Unbalanced	S-tag199885	S-tag148903	14332	14230	103
chr3	3	162500864	163337161	836298	0.439400081833204	Unbalanced	S-tag290938	S-tag126685	14338	14333	6
chr3	3	163582713	175563633	11980921	0.5	Hetero	S-tag255098	S-tag104846	14618	14339	280
chr3	3	175681864	175939204	257341	0.435637481510639	Unbalanced	S-tag265279	S-tag279782	14626	14619	8
chr3	3	176014233	177603596	1589364	0.345638208779129	Unbalanced	S-tag284662	S-tag105980	14663	14627	37
chr3	3	177647728	192263633	14615906	0.5	Hetero	S-tag121089	S-tag238561	14986	14664	323
chr3	3	192614308	194004402	1390095	0.340864684526498	Unbalanced	S-tag249741	S-tag166265	15034	14987	48
chr3	3	194104619	197834365	3729747	0.5	Hetero	S-tag044031	S-tag314701	15131	15035	97
chr4	4	122323	30258499	30136177	0.5	Hetero	S-tag006642	S-tag255199	15728	15132	597
chr4	4	30286607	30970763	684157	0.445239110360412	Unbalanced	S-tag177881	S-tag157573	15747	15729	19
chr4	4	31044237	45837661	14793425	0.5	Hetero	S-tag089411	S-tag295235	16121	15748	374
chr4	4	45850821	46303800	452980	0.447907217617693	Unbalanced	S-tag111223	S-tag206968	16150	16122	29
chr4	4	46309764	89039082	42729319	0.5	Hetero	S-tag279962	S-tag151944	17078	16151	928
chr4	4	89061910	89751858	689949	0.434464936828749	Unbalanced	S-tag222233	S-tag312137	17089	17079	11
chr4	4	89904124	93633683	3729560	0.5	Hetero	S-tag046175	S-tag001572	17169	17090	80
chr4	4	94290979	104716114	10425136	0.368627237761936	Unbalanced	S-tag142834	S-tag083948	17392	17170	223
chr4	4	104722062	109057404	4335343	0.388304773718119	Unbalanced	S-tag272809	S-tag255461	17448	17393	56
chr4	4	109066158	131901850	22835693	0.361209122603198	Unbalanced	S-tag254542	S-tag084975	17863	17449	415
chr4	4	131916429	135454396	3537968	0.380271516740322	Unbalanced	S-tag098142	S-tag139831	17923	17864	60
chr4	4	135470003	176840816	41370814	0.365181959146731	Unbalanced	S-tag258845	S-tag279869	18668	17924	745
chr4	4	176867624	190122470	13254847	0.37262598980743	Unbalanced	S-tag088208	S-tag219781	18959	18669	291
chr5	5	38139	107402938	107364800	0.5	Hetero	S-tag083571	S-tag075232	21282	18960	2323
chr5	5	107442047	107899940	457894	0.448244144296646	Unbalanced	S-tag000369	S-tag220439	21292	21283	10
chr5	5	108071916	109410426	1338511	0.340225536260849	Unbalanced	S-tag252594	S-tag085456	21331	21293	39
chr5	5	109435588	118891682	9456095	0.366446435289645	Unbalanced	S-tag295003	S-tag059200	21549	21332	218
chr5	5	118986107	148659664	29673558	0.34399934742061	Unbalanced	S-tag098949	S-tag249353	22228	21550	679
chr5	5	148783767	152590591	3806825	0.373295829817653	Unbalanced	S-tag298071	S-tag217857	22308	22229	80
chr5	5	152603307	156868224	4264918	0.335157005066342	Unbalanced	S-tag299286	S-tag194008	22398	22309	90
chr5	5	156891353	158655841	1764489	0.374471224303246	Unbalanced	S-tag209278	S-tag208976	22448	22399	50
chr5	5	158668067	177401509	18733443	0.347490707816981	Unbalanced	S-tag301478	S-tag275969	22943	22449	495
chr5	5	177487613	180643732	3156120	0.360099472800388	Unbalanced	S-tag234959	S-tag007775	23022	22944	79
chr6	6	408079	953650	545572	0.159762581189473	Unbalanced	S-tag251635	S-tag310221	23028	23023	6
chr6	6	967985	14741128	13773144	0.0673009307339787	Unbalanced	S-tag199330	S-tag309873	23068	23029	40
chr6	6	15041943	58762373	43720431	0.112577766140834	Unbalanced	S-tag193450	S-tag253294	23110	23069	42
chr6	6	62851709	85972492	23120784	0.5	Hetero	S-tag223269	S-tag102320	23443	23111	333
chr6	6	88864653	115917632	27052980	0.120576185799934	Unbalanced	S-tag102068	S-tag318556	23480	23444	37
chr6	6	116796722	170572998	53776277	0.5	Hetero	S-tag206384	S-tag276460	24882	23481	1402
chr7	7	57660	4780514	4722855	0.349197815550436	Unbalanced	S-tag254625	S-tag099187	24983	24883	101
chr7	7	4814242	9849527	5035286	0.354841883849388	Unbalanced	S-tag308900	S-tag230481	25088	24984	105
chr7	7	9913652	17103753	7190102	0.33709573985841	Unbalanced	S-tag251281	S-tag158826	25299	25089	211
chr7	7	17142276	27107433	9965158	0.351921076597349	Unbalanced	S-tag113333	S-tag121215	25556	25300	257
chr7	7	27241473	29024011	1782539	0.327497353462073	Unbalanced	S-tag086014	S-tag128525	25621	25557	65
chr7	7	29026257	32923371	3897115	0.368659687756732	Unbalanced	S-tag087256	S-tag145995	25719	25622	98
chr7	7	32949001	34047534	1098534	0.5	Hetero	S-tag038466	S-tag198480	25755	25720	36
