,205125590013_R05C01,205128000013_R03C01,205128000076_R04C01,205240110044_R02C01,205240110063_R03C01
chr1:742994-248923211,2,2,2,2,2
chr1:742994-2651391,2,2,3,2,2
chr1:2823145-248923211,2,2,2,2,2
chr2:55000-242091765,2,2,2,2,2
chr3:155000-198117780,2,2,2,2,2
chr4:55000-190061561,2,2,2,2,2
chr4:55000-3950000,2,2,2,2,2
chr4:4150000-190061561,2,2,2,2,2
chr5:55000-181339130,2,2,2,2,2
chr5:55000-1550000,2,2,2,2,2
chr5:1650000-181339130,2,2,2,2,2
chr6:180000-170622990,2,2,2,2,2
chr7:55000-159217987,2,2,2,2,2
chr8:180000-145039318,2,2,2,2,2
chr8:180000-143150000,2,2,2,2,2
chr8:180000-141250000,2,2,2,2,2
chr8:141350000-142250000,2,2,2,2,2
chr8:142350000-145039318,2,2,2,2,2
chr8:143250000-145039318,2,2,2,2,2
chr9:205000-138167359,2,2,2,2,2
chr9:205000-135850000,2,2,2,2,2
chr9:135950000-138167359,2,2,2,2,2
chr10:105000-133595233,2,2,2,2,2
chr11:180000-134988311,2,2,2,2,2
chr11:180000-3250000,2,2,2,2,2
chr11:3450000-134988311,2,2,2,2,2
chr12:105000-133182655,2,2,2,2,2
chr13:18704053-114327164,2,2,2,2,2
chr14:19855857-106841859,2,2,2,2,2
chr15:20232279-101840595,2,2,2,2,2
chr16:55000-90114173,2,2,2,2,2
chr17:130000-83123721,2,2,2,2,2
chr18:105000-80231643,2,2,2,2,2
chr19:180000-58553808,2,2,2,2,2
chr20:133168-64267084,2,2,2,2,2
chr21:10569444-46649992,2,2,2,2,2
chr21:10569444-29800000,2,2,2,2,2
chr21:30050000-30950000,2,2,2,2,1
chr21:31150000-46649992,2,2,2,2,2
chr22:16657005-50754234,2,2,2,2,2
chrX:2518744-155615448,3,3,3,3,3
chrY:4518744-21219771,1,1,1,1,1
