Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	114972833	114218642	0.7108	Unbalanced	S-tag133716	S-tag147573	9192	1	9192
chr1	1	114979553	208908057	93928505	0.5	Hetero	S-tag188663	S-tag308831	14664	9193	5472
chr1	1	208937403	210020971	1083569	0.5766	Unbalanced	S-tag319406	S-tag100644	14750	14665	86
chr1	1	210036699	220406291	10369593	0.5	Hetero	S-tag126849	S-tag147767	15539	14751	789
chr1	1	220444925	223374252	2929328	0.5663	Unbalanced	S-tag183612	S-tag069644	15763	15540	224
chr1	1	223393870	225380088	1986219	0.5	Hetero	S-tag188037	S-tag119620	15885	15764	122
chr1	1	225394146	229995746	4601601	0.5615	Unbalanced	S-tag171726	S-tag051521	16314	15886	429
chr1	1	230018473	233338691	3320219	0.5	Hetero	S-tag007768	S-tag089759	16544	16315	230
chr1	1	233356884	235077996	1721113	0.5789	Unbalanced	S-tag175884	S-tag262590	16684	16545	140
chr1	1	235097172	238547926	3450755	0.5	Hetero	S-tag179506	S-tag138645	16921	16685	237
chr1	1	238573244	240497265	1924022	0.5688	Unbalanced	S-tag288691	S-tag299560	17056	16922	135
chr1	1	240516361	241651018	1134658	0.5	Hetero	S-tag086726	S-tag054387	17146	17057	90
chr1	1	241654211	243647354	1993144	0.5744	Unbalanced	S-tag260819	S-tag276788	17278	17147	132
chr1	1	243651806	243944376	292571	0.5	Hetero	S-tag158073	S-tag025207	17397	17279	119
chr1	1	243946072	249212878	5266807	0.5808	Unbalanced	S-tag100543	S-tag279722	17813	17398	416
chr2	2	21494	243052331	243030838	0.5	Hetero	S-tag008358	S-tag082861	35915	17814	18102
chr3	3	63411	78964661	78901251	0.811	Unbalanced	S-tag123447	S-tag104254	42507	35916	6592
chr3	3	78968841	85876799	6907959	0.8045	Unbalanced	S-tag113936	S-tag186163	42983	42508	476
chr3	3	85903031	197852564	111949534	0.5	Hetero	S-tag286132	S-tag251937	51111	42984	8128
chr4	4	69404	23040881	22971478	0.5	Hetero	S-tag272826	S-tag265212	52625	51112	1514
chr4	4	23057538	23424204	366667	0.5934	Unbalanced	S-tag266133	S-tag144136	52652	52626	27
chr4	4	23462730	41842712	18379983	0.6275	Unbalanced	S-tag245892	S-tag055527	53913	52653	1261
chr4	4	41855573	49092454	7236882	0.693	Unbalanced	S-tag036127	S-tag068636	54454	53914	541
chr4	4	52684891	190915650	138230760	0.5	Hetero	S-tag165730	S-tag011735	64556	54455	10102
chr5	5	38139	11358192	11320054	0.5	Hetero	S-tag083571	S-tag257802	65355	64557	799
chr5	5	11368864	12797866	1429003	0.5735	Unbalanced	S-tag092343	S-tag189104	65449	65356	94
chr5	5	12812172	14922430	2110259	0.5	Hetero	S-tag234362	S-tag016882	65591	65450	142
chr5	5	14935018	15305349	370332	0.5692	Unbalanced	S-tag060286	S-tag286114	65616	65592	25
chr5	5	15312553	180698312	165385760	0.5	Hetero	S-tag318965	S-tag320993	76910	65617	11294
chr6	6	204909	7143246	6938338	0.8171	Unbalanced	S-tag032787	S-tag238154	77423	76911	513
chr6	6	7171407	9245670	2074264	0.7823	Unbalanced	S-tag032278	S-tag257084	77577	77424	154
chr6	6	9264990	39074535	29809546	0.8184	Unbalanced	S-tag120294	S-tag133525	79981	77578	2404
chr6	6	39091803	57495215	18403413	0.8103	Unbalanced	S-tag190342	S-tag327097	81350	79982	1369
chr6	6	57583814	116042762	58458949	0.5	Hetero	S-tag166642	S-tag285331	85424	81351	4074
chr6	6	116055741	116854366	798626	0.5499	Unbalanced	S-tag005865	S-tag257515	85478	85425	54
chr6	6	116875493	170913051	54037559	0.5	Hetero	S-tag030450	S-tag281247	89630	85479	4152
chr7	7	41421	54633002	54591582	0.8046	Unbalanced	S-tag316675	S-tag113353	93733	89631	4103
chr7	7	54657119	141947082	87289964	0.5	Hetero	S-tag299116	S-tag316115	100294	93734	6561
chr7	7	141959050	148643005	6683956	0.6546	Unbalanced	S-tag294913	S-tag006845	100791	100295	497
chr7	7	148673365	149771549	1098185	0.6161	Unbalanced	S-tag121986	S-tag019798	100867	100792	76
chr7	7	149785416	151005056	1219641	0.6874	Unbalanced	S-tag299266	S-tag314633	100953	100868	86
chr7	7	151014615	157168469	6153855	0.6545	Unbalanced	S-tag241962	S-tag133597	101461	100954	508
chr7	7	157192943	159118443	1925501	0.6533	Unbalanced	S-tag194867	S-tag164900	101597	101462	136
chr8	8	172417	46988337	46815921	0.5	Hetero	S-tag057861	S-tag160453	105475	101598	3878
chr8	8	47006152	47908569	902418	0.5891	Unbalanced	S-tag248728	S-tag090109	105534	105476	59
chr8	8	47929226	110221604	62292379	0.6257	Unbalanced	S-tag203750	S-tag242331	110098	105535	4564
chr8	8	110241475	116130309	5888835	0.6312	Unbalanced	S-tag276782	S-tag011454	111080	110099	982
