SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
57	1	754192	249212878	17800	TotalCN	2	-0.005	0.485	homogeneous	2	STT10090.OSCHP
58	2	21494	243052331	18102	TotalCN	2	-0.004	0.485	homogeneous	2	STT10090.OSCHP
59	3	63411	197852564	15037	TotalCN	2	0.004	0.486	homogeneous	2	STT10090.OSCHP
60	4	69404	128686279	8817	TotalCN	2	0.008	0.485	homogeneous	2	STT10090.OSCHP
61	4	128692703	129034373	36	TotalCN	3	0.292	NaN	homogeneous	2	STT10090.OSCHP
62	4	129063150	190915650	4534	TotalCN	2	0.023	0.486	homogeneous	2	STT10090.OSCHP
63	5	38139	180698312	12360	TotalCN	2	-0.006	0.485	homogeneous	2	STT10090.OSCHP
64	6	204909	170913051	12704	TotalCN	2	0.035	0.485	homogeneous	2	STT10090.OSCHP
65	7	41421	159118443	11975	TotalCN	2	-0.012	0.485	homogeneous	2	STT10090.OSCHP
66	8	172417	77899752	6223	TotalCN	2	0.003	0.486	homogeneous	2	STT10090.OSCHP
67	8	77922517	78181070	18	TotalCN	3	0.259	NaN	homogeneous	2	STT10090.OSCHP
68	8	78186862	146292734	5708	TotalCN	2	0.004	0.485	homogeneous	2	STT10090.OSCHP
69	9	204738	141054761	8531	TotalCN	2	0.013	0.486	homogeneous	2	STT10090.OSCHP
70	10	126070	46088557	3100	TotalCN	2	0.027	0.485	homogeneous	2	STT10090.OSCHP
71	10	46100101	47126409	40	TotalCN	3	0.404	NaN	homogeneous	2	STT10090.OSCHP
72	10	47127279	135434303	6555	TotalCN	2	0.015	0.486	homogeneous	2	STT10090.OSCHP
73	11	192764	134938847	9947	TotalCN	2	-0.038	0.484	homogeneous	2	STT10090.OSCHP
74	12	189400	34545307	2830	TotalCN	2	0.007	0.485	homogeneous	2	STT10090.OSCHP
75	12	34559082	34828211	21	TotalCN	1.5	-0.316	NaN	homogeneous	2	STT10090.OSCHP
76	12	37902988	133818115	7494	TotalCN	2	0.014	0.486	homogeneous	2	STT10090.OSCHP
77	13	19084823	115103150	7934	TotalCN	2	-0.003	0.485	homogeneous	2	STT10090.OSCHP
78	14	20219083	32732781	974	TotalCN	2	0.028	0.487	homogeneous	2	STT10090.OSCHP
79	14	32756107	32898974	25	TotalCN	3	0.259	NaN	homogeneous	2	STT10090.OSCHP
80	14	32903616	106705055	5651	TotalCN	2	0.027	0.486	homogeneous	2	STT10090.OSCHP
81	14	106712725	106806050	20	TotalCN	3	0.345	NaN	homogeneous	2	STT10090.OSCHP
82	14	106826683	107282024	86	TotalCN	2	-0.013	NaN	homogeneous	2	STT10090.OSCHP
83	15	20161372	67292740	3222	TotalCN	2	0.033	0.486	homogeneous	2	STT10090.OSCHP
84	15	67302803	67575545	19	TotalCN	3	0.294	NaN	homogeneous	2	STT10090.OSCHP
85	15	67585461	102397317	2771	TotalCN	2	0.052	0.485	homogeneous	2	STT10090.OSCHP
86	16	83887	90158005	5834	TotalCN	2	0.041	0.486	homogeneous	2	STT10090.OSCHP
87	17	400959	20221842	1636	TotalCN	2	0.058	0.486	homogeneous	2	STT10090.OSCHP
88	17	20260186	20805784	24	TotalCN	3	0.268	NaN	homogeneous	2	STT10090.OSCHP
89	17	20810647	42330171	1704	TotalCN	2	0.034	0.485	homogeneous	2	STT10090.OSCHP
90	17	42351761	42845694	34	TotalCN	2.5	0.244	0.485	homogeneous	2	STT10090.OSCHP
91	17	42853694	80263427	3015	TotalCN	2	0.011	0.485	homogeneous	2	STT10090.OSCHP
92	18	12842	78007784	5595	TotalCN	2	-0.02	0.484	homogeneous	2	STT10090.OSCHP
93	19	247232	59093239	4835	TotalCN	2	-0.001	0.487	homogeneous	2	STT10090.OSCHP
94	20	69094	62912463	5091	TotalCN	2	-0.001	0.486	homogeneous	2	STT10090.OSCHP
95	21	9648315	48097610	2349	TotalCN	2	0.024	0.483	homogeneous	2	STT10090.OSCHP
96	22	16054713	51213826	2796	TotalCN	2	0.004	0.485	homogeneous	2	STT10090.OSCHP
97	24	177942	1021359	23	TotalCN	2	-0.033	NaN	homogeneous	2	STT10090.OSCHP
98	24	1033296	1417986	19	TotalCN	3	0.265	NaN	homogeneous	2	STT10090.OSCHP
99	24	1431715	84095405	6006	TotalCN	2	-0.007	0.484	homogeneous	2	STT10090.OSCHP
100	24	84102110	84554140	35	TotalCN	3	0.26	NaN	homogeneous	2	STT10090.OSCHP
101	24	84569456	109285322	1695	TotalCN	2	0.021	0.484	homogeneous	2	STT10090.OSCHP
102	24	109292188	109419477	18	TotalCN	3	0.299	NaN	homogeneous	2	STT10090.OSCHP
103	24	109424029	155219364	3394	TotalCN	2	0.008	0.485	homogeneous	2	STT10090.OSCHP
104	25	2660163	28799935	614	TotalCN	0	-3.811	0.297	homogeneous	2	STT10090.OSCHP
1	1	754192	121350934	9085	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
2	1	144009053	147830492	223	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
3	1	149044448	249212878	7779	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
4	2	21494	90245035	6247	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
5	2	91866487	91866487	1	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
6	2	95429197	100171382	411	LOH	1	-	-	homogeneous	2	STT10090.OSCHP
7	2	100172081	243052331	10335	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
8	3	63411	90473621	7267	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
9	3	93517443	197852564	7703	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
10	4	71566	49092454	3083	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
11	4	52684891	190915650	9184	LOH	0	-	-	homogeneous	2	STT10090.OSCHP
