"","ID","chrom","loc.start","loc.end","num.mark","bstat","pval","seg.mean","seg.median"
"1","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr1",560684,17850000,212,32.6558530289841,5.63170401785599e-231,-0.307,-0.303
"2","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr1",17925000,185525000,945,12.3985466119303,8.17024479731491e-33,-0.013,-0.006
"3","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr1",186025000,200500000,27,11.1036715995437,2.08805936049582e-26,-0.279,-0.307
"4","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr1",200700000,249195311,324,NA,NA,-0.021,-0.014
"5","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr10",105000,38550000,222,18.650760223435,2.80986090294934e-75,-0.066,-0.056
"6","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr10",38759418,51975000,60,5.8871978290338,1.95032725042746e-07,-0.434,-0.414
"7","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr10",52250000,69550000,45,9.18577906027296,6.84648610051597e-18,-0.666,-0.648
"8","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr10",69625000,135462374,469,NA,NA,-0.418,-0.397
"9","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr11",130000,134873258,881,NA,NA,-0.068,-0.034
"10","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr12",172870,34703347,211,16.5976258163225,1.38310126568526e-59,-0.105,-0.082
"11","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr12",38178347,48125000,34,7.14125175973137,7.23102883972047e-11,-0.685,-0.58
"12","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr12",48175000,61625000,139,20.966766557063,5.23648068714334e-95,-0.372,-0.34
"13","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr12",62575000,133770948,434,NA,NA,-0.051,-0.028
"14","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr13",19110000,19725000,4,5.79768040180302,3.87696808615075e-07,-0.447,-0.457
"15","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr13",19950000,42550000,142,19.9100666466948,6.37292700855414e-86,-0.088,-0.069
"16","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr13",42625000,54225000,78,6.95465855693139,2.38472373573357e-10,-0.532,-0.496
"17","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr13",54800000,94700000,59,8.99768585555123,2.36441895624375e-17,-0.873,-0.841
"18","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr13",95075000,115079939,133,NA,NA,-0.5,-0.474
"19","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr14",19325000,107119770,512,NA,NA,-0.053,-0.03
"20","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr15",20275000,102410696,549,NA,NA,0.095,0.119
"21","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr16",105000,975000,18,12.5844096757136,4.27725963862819e-34,-0.25,-0.249
"22","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr16",1025000,31825000,248,37.3057887685829,7.16841730227389e-302,0.035,0.038
"23","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr16",32075000,90222377,343,NA,NA,-0.371,-0.349
"24","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr17",25000,10700000,141,22.3581381217929,2.09822416572974e-108,0.019,0.033
"25","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr17",10950000,22000000,91,28.1734773746065,6.50094463639763e-172,0.365,0.376
"26","25ca5bf7-8ace-4e41-a65e-c4082e66b536_noid","chr17",22156503,81122605,567,NA,NA,0.02,0.028
