Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
203219650162_R08C01,1,742994,248923211,1463,NA,-0.00039221814742077,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,1,742994,248923211,1463,NA,-0.0187275607401952,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,1,742994,248923211,1463,NA,-0.0371872619160049,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,1,742994,248923211,1463,NA,3.42549845796514e-05,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,1,742994,248923211,1463,NA,-0.000420758587051862,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,1,742994,248923211,1463,NA,-0.000215681644292587,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,1,742994,12650000,107,NA,-0.150294745450828,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,1,742994,248923211,1463,NA,-0.014300002392674,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,1,742994,248923211,1463,NA,-0.0344847829520447,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,1,12827192,14850000,10,NA,-0.563394745450828,NA,0.05,1,tumor,custom,NA
203225140266_R03C01,1,14950000,248923211,1346,NA,-0.0355947454508281,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,2,55000,242091765,1323,NA,0.0145077818525792,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,2,55000,242091765,1323,NA,-0.00052756074019524,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,2,55000,242091765,1323,NA,0.00321273808399511,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,2,55000,242091765,1323,NA,0.0281342549845797,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,2,55000,242091765,1323,NA,0.0203792414129481,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,2,55000,242091765,1323,NA,0.0148843183557074,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,2,55000,242091765,1323,NA,-0.140094745450828,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,2,55000,242091765,1323,NA,0.000399997607326015,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,2,55000,242091765,1323,NA,0.000415217047955321,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,155000,93852787,454,NA,0.0113077818525792,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,3,155000,198117780,1033,NA,0.00067243925980476,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,3,155000,198117780,1033,NA,-0.00288726191600489,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,3,155000,198117780,1033,NA,0.0329342549845797,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,155000,102250000,489,NA,0.0183792414129481,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,3,155000,198117780,1033,NA,0.00648431835570741,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,3,155000,198117780,1033,NA,5.25454917192983e-06,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,3,155000,198117780,1033,NA,0.00579999760732601,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,3,155000,198117780,1033,NA,0.00291521704795532,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,94050000,176850000,423,NA,-0.579592218147421,NA,0.05,1,tumor,custom,NA
203219760009_R08C01,3,102550000,105650000,6,NA,0.184279241412948,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,3,105950000,198117780,538,NA,0.0299792414129481,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,3,177150000,198117780,156,NA,0.0273077818525792,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,4,55000,190061561,804,NA,0.0552077818525792,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,4,55000,190061561,804,NA,0.0117724392598048,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,4,55000,4900000,47,NA,0.0917127380839951,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,4,55000,190061561,804,NA,0.0635342549845797,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,4,55000,190061561,804,NA,0.0428792414129481,NA,0.05,2,tumor,custom,NA
203220070150_R02C01,4,55000,190061561,804,NA,0.0226843183557074,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,4,55000,68350000,280,NA,0.00170525454917193,NA,0.05,2,tumor,custom,NA
203257030015_R06C01,4,55000,190061561,804,NA,0.035599997607326,NA,0.05,2,tumor,custom,NA
203257030060_R08C01,4,55000,190061561,804,NA,0.0310152170479553,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,4,5200000,6750000,14,NA,-0.573287261916005,NA,0.05,1,tumor,custom,NA
203219750019_R05C01,4,6850000,190061561,743,NA,0.0571127380839951,NA,0.05,2,tumor,custom,NA
203225140266_R03C01,4,68500000,70400000,6,NA,0.481305254549172,NA,0.05,3,tumor,custom,NA
203225140266_R03C01,4,70550000,190061561,518,NA,-0.00199474545082807,NA,0.05,2,tumor,custom,NA
203219650162_R08C01,5,55000,181339130,915,NA,0.000507781852579228,NA,0.05,2,tumor,custom,NA
203219650188_R08C01,5,55000,181339130,915,NA,-0.00232756074019524,NA,0.05,2,tumor,custom,NA
203219750019_R05C01,5,55000,181339130,915,NA,-0.00528726191600488,NA,0.05,2,tumor,custom,NA
203219750053_R05C01,5,55000,181339130,915,NA,0.0148342549845797,NA,0.05,2,tumor,custom,NA
203219760009_R08C01,5,55000,181339130,915,NA,0.0190792414129481,NA,0.05,2,tumor,custom,NA
