"","value"
"chr1-001",0.0536389281321333
"chr1-002",0.0613181817584413
"chr1-003",-0.0042739446699573
"chr1-004",-0.0909773500257205
"chr1-005",-0.0748519686745498
"chr1-006",-0.0782834140445717
"chr1-007",-0.0234353085401423
"chr1-008",-0.0593442562844499
"chr1-009",-0.0651797098893659
"chr1-010",0.0170565640930156
"chr1-011",-0.0494140533710115
"chr1-012",-0.0206371603214438
"chr1-013",-0.0792593629008938
"chr1-014",-0.0399899398393921
"chr1-015",-0.00654504314004982
"chr1-016",-0.0302483151690351
"chr1-017",-0.031004816505581
"chr1-018",-0.0327779530727579
"chr1-019",0.108511818952975
"chr1-020",-0.100933198267188
"chr1-021",-0.121211656809393
"chr1-022",-0.00126768684224441
"chr1-023",-0.0528223548557708
"chr1-024",-0.0497565370320316
"chr1-025",-0.0786417849027317
"chr1-026",-0.0630102374366202
"chr1-027",-0.0275032770932296
"chr1-028",-0.0739287048030367
"chr1-029",-0.0971835698662233
"chr1-030",-0.068346332717498
"chr1-031",-0.0716738064905821
"chr1-032",-0.0636018754210694
"chr1-033",-0.144162852325248
"chr1-034",-0.0915538277700195
"chr1-035",-0.0604312612269894
"chr1-036",-0.0929661785938774
"chr1-037",-0.0329043049646735
"chr1-038",-0.0884044098408158
"chr1-039",-0.0036844328452309
"chr1-040",-0.0996344559199144
"chr1-041",-0.0947130492237081
"chr1-042",-0.075833962307136
"chr1-043",-0.0182458388307193
"chr1-044",-0.0279611426307632
"chr1-045",-0.0814063295766098
"chr1-046",-0.0452120726939856
"chr1-047",-0.0730684082164485
"chr1-048",-0.0750597466928506
"chr1-049",-0.0595022879892806
"chr1-050",-0.0844541652715473
"chr1-051",-0.0934497516450952
"chr1-052",0.0127912603360206
"chr1-053",-0.111282462346081
"chr1-054",-0.0404851092434252
"chr1-055",-0.0278620678452986
"chr1-056",-0.0718448522019476
"chr1-057",-0.0387088207408197
"chr1-058",-0.0958289541733267
"chr1-059",0.00532730641614186
"chr1-060",0.0165251627658151
"chr1-061",0.0279931375245372
"chr1-062",-0.00699294860168286
"chr1-063",0.0187483204418063
"chr1-064",0.0511007193326748
"chr1-065",0.00847093236984078
"chr1-066",-0.0390779229161421
"chr1-067",-0.0135545523332323
