"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",-0.052,0.036,0.5,0.195,0.106,0.002,-0.179,0.217,0.118
"chr1-0002","chr1",521369,700000,"chr1-0002",0.135,-0.031,0.453,0.165,0.083,-0.067,-0.204,0.201,0.216
"chr1-0003","chr1",700001,800000,"chr1-0003",0.088,-0.015,0.086,0.043,-0.019,-0.07,-0.097,0.051,0
"chr1-0004","chr1",800001,900000,"chr1-0004",0.362,-0.043,0.234,0.118,0.008,0.056,0.069,0.193,0.07
"chr1-0005","chr1",900001,1000000,"chr1-0005",0.28,0.038,0.344,0.228,0.073,0.085,0.075,0.26,0.117
"chr1-0006","chr1",1000001,1100000,"chr1-0006",0.272,0.042,0.463,0.244,0.037,0.095,0.074,0.266,0.14
"chr1-0007","chr1",1100001,1200000,"chr1-0007",0.226,0.046,0.385,0.2,0.044,0.077,0.022,0.252,0.128
"chr1-0008","chr1",1200001,1300000,"chr1-0008",0.303,0.038,0.372,0.266,0.049,0.083,0.096,0.262,0.11
"chr1-0009","chr1",1300001,1400000,"chr1-0009",0.297,0.033,0.244,0.159,0.066,0.096,0.047,0.245,0.076
"chr1-0010","chr1",1400001,1500000,"chr1-0010",0.295,0.12,0.496,0.292,0.101,0.083,0.066,0.328,0.137
"chr1-0011","chr1",1500001,1600000,"chr1-0011",0.307,0.093,0.434,0.237,0.085,0.091,0.066,0.28,0.173
"chr1-0012","chr1",1600001,1700000,"chr1-0012",0.292,0.152,0.592,0.379,0.161,0.165,0.146,0.317,0.215
"chr1-0013","chr1",1700001,1800000,"chr1-0013",0.233,0.147,0.196,0.103,0.094,0.086,-0.142,0.172,0.035
"chr1-0014","chr1",1800001,1900000,"chr1-0014",0.141,-0.056,0.122,0.051,-0.029,0.087,0.008,0.139,0.069
"chr1-0015","chr1",1900001,2000000,"chr1-0015",0.159,0.121,0.393,0.163,0.098,0.135,0.015,0.24,0.096
"chr1-0016","chr1",2000001,2100000,"chr1-0016",0.143,0.047,0.292,0.149,0.06,0.097,0.005,0.171,0.075
"chr1-0017","chr1",2100001,2200000,"chr1-0017",0.274,0.052,0.23,0.147,0.026,0.106,0.084,0.174,0.039
"chr1-0018","chr1",2200001,2300000,"chr1-0018",0.224,-0.027,0.276,0.145,0.029,0.097,0.044,0.175,0.092
"chr1-0019","chr1",2300001,2400000,"chr1-0019",0.202,-0.033,0.224,0.11,0.006,0.062,0.02,0.151,0.061
"chr1-0020","chr1",2400001,2500000,"chr1-0020",0.155,-0.103,0.157,0.054,-0.054,0.016,-0.013,0.152,0.015
"chr1-0021","chr1",2500001,2634220,"chr1-0021",0.189,-0.103,0.158,0.085,0.015,0.077,0.014,0.184,0.037
"chr1-0022","chr1",2684221,2800000,"chr1-0022",0.089,-0.037,0.126,0.019,-0.008,0.076,-0.052,0.066,0.053
"chr1-0023","chr1",2800001,2900000,"chr1-0023",0.055,-0.04,0.202,0.054,-0.053,0.082,-0.052,0.101,0.063
"chr1-0024","chr1",2900001,3000000,"chr1-0024",0.073,-0.043,0.216,0.069,-0.011,0.024,-0.042,0.122,0.038
"chr1-0025","chr1",3000001,3100000,"chr1-0025",0.059,-0.062,0.177,0.031,-0.013,0.057,-0.039,0.106,0.005
"chr1-0026","chr1",3100001,3200000,"chr1-0026",0.082,-0.064,0.171,0.041,-0.014,0.023,-0.036,0.021,-0.02
"chr1-0027","chr1",3200001,3300000,"chr1-0027",0.087,-0.072,0.134,0.087,-0.034,0.01,-0.023,0.062,-0.017
"chr1-0028","chr1",3300001,3400000,"chr1-0028",0.115,-0.04,0.218,0.11,0.012,0.048,-0.046,0.117,0.082
"chr1-0029","chr1",3400001,3500000,"chr1-0029",0.077,-0.108,0.17,0.064,-0.039,0.032,-0.062,0.134,0.024
"chr1-0030","chr1",3500001,3600000,"chr1-0030",0.247,0.02,0.314,0.197,0.028,0.086,0.036,0.21,0.097
"chr1-0031","chr1",3600001,3700000,"chr1-0031",0.165,-0.068,0.204,0.025,-0.032,0.058,-0.037,0.111,0.056
"chr1-0032","chr1",3700001,3800000,"chr1-0032",0.131,0.041,0.219,0.124,0.038,0.081,-0.09,0.159,0.024
"chr1-0033","chr1",3800001,3845268,"chr1-0033",0.095,-0.055,0.111,0.088,0.009,0.087,-0.018,0.059,0.049
"chr1-0034","chr1",3995269,4100000,"chr1-0034",-0.097,-0.012,0.056,-0.004,-0.015,0.039,-0.165,-0.101,-0.027
"chr1-0035","chr1",4100001,4200000,"chr1-0035",0.034,0,-0.018,0.034,-0.046,0.02,-0.186,0.011,-0.021
"chr1-0036","chr1",4200001,4300000,"chr1-0036",-0.143,0.044,-0.089,-0.027,-0.024,0.017,-0.191,-0.103,0.061
"chr1-0037","chr1",4300001,4500000,"chr1-0037",-0.233,-0.038,-0.044,-0.193,-0.132,-0.074,-0.448,-0.187,-0.123
"chr1-0038","chr1",4500001,4600000,"chr1-0038",-0.071,-0.044,0.093,0.013,0.001,-0.16,-0.132,0.027,0.035
"chr1-0039","chr1",4600001,4700000,"chr1-0039",-0.309,-0.027,0.06,-0.152,-0.112,-0.031,-0.515,-0.158,-0.15
"chr1-0040","chr1",4700001,4800000,"chr1-0040",0.084,-0.012,0.081,0.102,-0.061,0.059,-0.071,0.074,0.012
"chr1-0041","chr1",4800001,4900000,"chr1-0041",-0.005,-0.026,0.059,-0.048,-0.07,-0.07,-0.251,-0.106,-0.049
"chr1-0042","chr1",4900001,5300000,"chr1-0042",-0.272,-0.015,-0.039,-0.278,-0.045,-0.141,-0.617,-0.263,-0.078
"chr1-0043","chr1",5300001,5500000,"chr1-0043",-0.141,-0.012,-0.162,-0.179,-0.012,-0.013,-0.359,-0.103,0.014
"chr1-0044","chr1",5500001,5700000,"chr1-0044",-0.053,-0.037,0.071,-0.016,-0.066,-0.079,-0.278,-0.083,-0.069
"chr1-0045","chr1",5700001,5800000,"chr1-0045",-0.015,0.025,0.035,-0.018,-0.009,-0.021,-0.271,-0.021,0.011
"chr1-0046","chr1",5800001,5900000,"chr1-0046",-0.179,-0.068,0.043,-0.068,-0.103,-0.001,-0.265,-0.06,-0.121
"chr1-0047","chr1",5900001,6000000,"chr1-0047",0.115,0.011,0.303,0.131,-0.028,0.09,-0.032,0.1,0.068
"chr1-0048","chr1",6000001,6100000,"chr1-0048",0.08,-0.011,0.172,0.04,-0.02,0.065,-0.129,0.083,0.027
"chr1-0049","chr1",6100001,6200000,"chr1-0049",0.052,-0.005,0.277,0.056,-0.005,0.024,-0.066,0.083,0.01
"chr1-0050","chr1",6200001,6300000,"chr1-0050",0.144,0.052,0.14,0.12,0.011,0.056,-0.06,0.171,0.023
"chr1-0051","chr1",6300001,6400000,"chr1-0051",0.277,0.047,0.196,0.101,0.045,0.115,0.045,0.167,0.055
"chr1-0052","chr1",6400001,6500000,"chr1-0052",0.2,0.065,0.177,0.099,0.046,0.065,-0.001,0.169,0.091
"chr1-0053","chr1",6500001,6600000,"chr1-0053",0.165,0.01,0.24,0.112,0.005,0.029,0.006,0.151,0.065
"chr1-0054","chr1",6600001,6700000,"chr1-0054",0.275,0.05,0.128,0.14,0.09,0.094,0.017,0.162,0.073
"chr1-0055","chr1",6700001,6800000,"chr1-0055",0.149,0.162,0.284,0.173,0.099,0.084,-0.208,0.173,0.091
"chr1-0056","chr1",6800001,6900000,"chr1-0056",0.18,0.171,-0.055,0.197,0.178,0.149,-0.234,0.194,0.226
"chr1-0057","chr1",6900001,7000000,"chr1-0057",0.017,0.105,0.02,0.08,0.051,0.052,-0.34,0.031,0.035
"chr1-0058","chr1",7000001,7100000,"chr1-0058",-0.153,-0.016,-0.058,-0.09,-0.046,0.026,-0.289,-0.052,-0.108
"chr1-0059","chr1",7100001,7200000,"chr1-0059",-0.128,-0.03,-0.033,-0.036,-0.021,-0.069,-0.303,-0.038,-0.064
"chr1-0060","chr1",7200001,7300000,"chr1-0060",-0.018,-0.06,0.06,-0.066,0.014,0.025,-0.362,-0.065,0.036
"chr1-0061","chr1",7300001,7400000,"chr1-0061",-0.195,-0.101,-0.149,-0.166,-0.055,-0.067,-0.372,-0.21,-0.123
"chr1-0062","chr1",7400001,7500000,"chr1-0062",0.056,-0.066,-0.032,-0.042,-0.068,0.016,-0.059,-0.016,-0.027
"chr1-0063","chr1",7500001,7600000,"chr1-0063",0.064,-0.017,-0.084,-0.067,0.006,0.021,-0.045,-0.017,-0.023
"chr1-0064","chr1",7600001,7700000,"chr1-0064",-0.124,-0.088,-0.046,-0.125,-0.059,-0.033,-0.188,-0.114,-0.108
"chr1-0065","chr1",7700001,7800000,"chr1-0065",0.149,0.033,0.145,0.071,0.015,0.074,-0.016,0.14,0.055
"chr1-0066","chr1",7800001,7900000,"chr1-0066",0.12,0.121,0.093,0.131,0.112,0.09,-0.08,0.222,0.085
"chr1-0067","chr1",7900001,8000000,"chr1-0067",-0.206,0.191,0.234,0.031,0.046,0.011,-0.486,0.119,0.013
"chr1-0068","chr1",8000001,8100000,"chr1-0068",0.067,0.079,0.139,0.207,0.083,0.087,-0.161,0.147,0.065
"chr1-0069","chr1",8100001,8200000,"chr1-0069",-0.207,0.04,-0.024,0.045,0.105,0,-0.415,-0.074,0.015
"chr1-0070","chr1",8200001,8300000,"chr1-0070",-0.022,0.172,0.284,0.124,0.08,0.051,-0.148,0.141,0.109
"chr1-0071","chr1",8300001,8400000,"chr1-0071",0.119,0.117,0.276,0.124,0.052,0.083,0.009,0.151,0.094
"chr1-0072","chr1",8400001,8500000,"chr1-0072",0.208,-0.007,-0.005,0.015,0.032,0.024,-0.003,-0.007,0.038
"chr1-0073","chr1",8500001,8600000,"chr1-0073",0.021,0.127,0.055,0.155,0.106,0.058,-0.238,-0.056,0.124
"chr1-0074","chr1",8600001,8700000,"chr1-0074",0.069,0.22,0.089,0.154,0.158,0.111,-0.268,0.069,0.151
