"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,1475000,14,-0.743317349427686
"2","Sample.1","chr1",1525000,18975000,245,-0.196317349427686
"3","Sample.1","chr1",19025000,55025000,457,-0.00121734942768617
"4","Sample.1","chr1",55125000,248923211,1224,0.194982650572314
"5","Sample.1","chr10",105000,133620233,1029,0.0149826505723138
"6","Sample.1","chr11",155000,125625000,1013,-0.0545173494276862
"7","Sample.1","chr11",125700000,134988311,84,-0.353917349427686
"8","Sample.1","chr12",80000,8625000,106,-0.371817349427686
"9","Sample.1","chr12",8725000,133207655,931,-0.0149173494276862
"10","Sample.1","chr13",18729053,22100000,33,0.0565826505723138
"11","Sample.1","chr13",22500000,37100000,112,0.397982650572314
"12","Sample.1","chr13",37350000,66625000,137,-0.297317349427686
"13","Sample.1","chr13",67075000,110425000,165,0.470082650572314
"14","Sample.1","chr13",110475000,114327164,64,0.297482650572314
"15","Sample.1","chr14",19855857,57150000,213,0.0623826505723138
"16","Sample.1","chr14",57300000,106841859,478,-0.286317349427686
"17","Sample.1","chr15",20232279,101550000,691,-0.0603173494276862
"18","Sample.1","chr15",101625000,101840595,3,-0.310717349427686
"19","Sample.1","chr16",55000,33865870,329,-0.385417349427686
"20","Sample.1","chr16",34892311,51275000,54,0.118482650572314
"21","Sample.1","chr16",51500000,90139173,384,-0.416417349427686
"22","Sample.1","chr17",130000,725000,10,0.115582650572314
"23","Sample.1","chr17",775000,10425000,145,-0.363517349427686
"24","Sample.1","chr17",10550000,16125000,33,0.709282650572314
"25","Sample.1","chr17",16225000,22631840,66,0.476282650572314
"26","Sample.1","chr17",27092990,49825000,289,0.0820826505723138
"27","Sample.1","chr17",49875000,54425000,30,-0.0895173494276862
"28","Sample.1","chr17",54925000,55200000,3,0.0918826505723138
"29","Sample.1","chr17",55275000,56225000,9,0.343982650572314
"30","Sample.1","chr17",56425000,60800000,51,-0.0220173494276862
"31","Sample.1","chr17",61025000,63075000,17,0.233482650572314
"32","Sample.1","chr17",63275000,65600000,27,-0.129817349427686
"33","Sample.1","chr17",65775000,67625000,15,0.107182650572314
"34","Sample.1","chr17",67775000,68325000,7,0.231582650572314
"35","Sample.1","chr17",68400000,72050000,16,0.408282650572314
"36","Sample.1","chr17",72225000,83148721,187,0.114882650572314
"37","Sample.1","chr18",130000,80231643,404,0.209182650572314
"38","Sample.1","chr19",180000,19725000,332,0.0179826505723138
"39","Sample.1","chr19",19800000,22550000,13,0.200682650572314
"40","Sample.1","chr19",22725000,51800000,344,-0.0141173494276862
"41","Sample.1","chr19",51875000,52125000,5,0.175482650572314
"42","Sample.1","chr19",52200000,58578808,102,-0.0308173494276862
"43","Sample.1","chr2",105000,1325000,20,-0.415217349427686
"44","Sample.1","chr2",1425000,36525000,280,-0.155717349427686
"45","Sample.1","chr2",36675000,155250000,712,0.0346826505723138
"46","Sample.1","chr2",156050000,173800000,107,-0.298617349427686
"47","Sample.1","chr2",173975000,242116765,505,-0.0160173494276862
"48","Sample.1","chr20",158168,64292084,559,0.235782650572314
"49","Sample.1","chr21",10569444,44150000,195,-0.293217349427686
"50","Sample.1","chr21",44275000,46125000,34,-0.586817349427686
"51","Sample.1","chr21",46175000,46674992,11,-0.783717349427686
"52","Sample.1","chr22",16557005,50754234,432,-0.0737173494276862
"53","Sample.1","chr3",230000,186850000,1116,0.205282650572314
"54","Sample.1","chr3",186925000,189150000,22,-0.259717349427686
"55","Sample.1","chr3",189275000,198142780,87,0.00248265057231383
"56","Sample.1","chr4",55000,92550000,499,0.0878826505723138
"57","Sample.1","chr4",93300000,187800000,412,-0.163717349427686
"58","Sample.1","chr4",187975000,190061561,15,-0.447217349427686
"59","Sample.1","chr5",55000,90500000,477,0.209682650572314
"60","Sample.1","chr5",90650000,171525000,490,-0.00151734942768617
"61","Sample.1","chr5",171675000,172625000,13,-0.185117349427686
"62","Sample.1","chr5",172675000,175325000,30,-0.0172173494276862
"63","Sample.1","chr5",175550000,180975000,73,-0.262017349427686
"64","Sample.1","chr5",181025000,181364130,6,-0.0494173494276862
"65","Sample.1","chr6",155000,15125000,146,-0.741917349427686
"66","Sample.1","chr6",15225000,32450000,177,-0.334117349427686
"67","Sample.1","chr6",32525000,32725000,5,-1.36151734942769
"68","Sample.1","chr6",32775000,57876944,240,-0.331017349427686
"69","Sample.1","chr6",60793482,72825000,29,0.192482650572314
"70","Sample.1","chr6",73100000,73475000,5,-0.0298173494276862
"71","Sample.1","chr6",73525000,84925000,40,0.206582650572314
"72","Sample.1","chr6",85250000,116400000,141,-0.325317349427686
"73","Sample.1","chr6",116475000,170647990,384,0.176982650572314
"74","Sample.1","chr7",55000,6925000,106,-0.158617349427686
"75","Sample.1","chr7",7150000,38500000,183,0.0202826505723138
"76","Sample.1","chr7",38625000,62803390,122,-0.225117349427686
"77","Sample.1","chr7",63500000,69475000,30,-0.0485173494276862
"78","Sample.1","chr7",69600000,70775000,8,0.151482650572314
"79","Sample.1","chr7",70950000,159242987,600,-0.0623173494276862
"80","Sample.1","chr8",205000,123450000,730,0.00118265057231383
"81","Sample.1","chr8",123525000,134625000,94,0.170282650572314
"82","Sample.1","chr8",134675000,145039318,107,-0.0823173494276862
"83","Sample.1","chr9",130000,975000,7,-1.44401734942769
"84","Sample.1","chr9",1025000,6850000,27,-0.644417349427686
"85","Sample.1","chr9",7075000,8775000,4,-0.179117349427686
"86","Sample.1","chr9",9725000,17325000,23,0.0698826505723138
"87","Sample.1","chr9",17900000,25975000,23,-0.258217349427686
"88","Sample.1","chr9",26600000,138192359,589,-0.0552173494276862
"89","Sample.1","chrX",2518744,42425000,135,-0.454717349427686
"90","Sample.1","chrX",43300000,63106271,74,1.02668265057231
"91","Sample.1","chrX",63975000,138125000,206,-0.461117349427686
"92","Sample.1","chrX",138950000,152875000,34,1.18338265057231
"93","Sample.1","chrX",152925000,154775000,25,0.822282650572314
"94","Sample.1","chrX",154900000,155640448,4,1.24248265057231
"95","Sample.1","chrY",4518744,21244771,13,-3.83541734942769
