"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,248923211,1463,-0.00122861677770217
"2","Sample.1","chr10",105000,133595233,829,0.00447138322229783
"3","Sample.1","chr11",180000,134988311,810,0.000971383222297832
"4","Sample.1","chr12",105000,133182655,808,0.0225713832222978
"5","Sample.1","chr13",18704053,114327164,426,0.00397138322229783
"6","Sample.1","chr14",19855857,106841859,533,-0.00352861677770216
"7","Sample.1","chr15",20232279,101840595,551,0.00287138322229783
"8","Sample.1","chr16",55000,90114173,513,0.0229713832222978
"9","Sample.1","chr17",130000,83123721,613,0.00697138322229783
"10","Sample.1","chr18",105000,80231643,342,0.0262713832222978
"11","Sample.1","chr19",180000,58553808,484,0.0150713832222978
"12","Sample.1","chr2",55000,242091765,1323,0.00497138322229783
"13","Sample.1","chr20",133168,64267084,418,0.0200713832222978
"14","Sample.1","chr21",10569444,46649992,181,0.0295713832222978
"15","Sample.1","chr22",16657005,50754234,290,0.0189713832222978
"16","Sample.1","chr3",155000,198117780,1033,0.000671383222297831
"17","Sample.1","chr4",55000,190061561,804,-0.00272861677770217
"18","Sample.1","chr5",55000,181339130,915,-0.00472861677770216
"19","Sample.1","chr6",180000,170622990,941,-0.0335286167777022
"20","Sample.1","chr7",55000,159217987,862,-0.0240286167777022
"21","Sample.1","chr8",180000,145039318,759,-0.00742861677770217
"22","Sample.1","chr9",205000,138167359,548,-0.000128616777702168
"23","Sample.1","chrX",2518744,155615448,446,0.444371383222298
"24","Sample.1","chrY",4518744,21219771,13,-3.8818286167777
