"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",747994,152755000,1399,0.00277112855958535
"2","Sample.1","chr1",152850000,153390000,8,-0.507528871440415
"3","Sample.1","chr1",153470000,248923211,847,-0.0346288714404147
"4","Sample.1","chr10",125000,133625233,1141,-0.00322887144041465
"5","Sample.1","chr11",145000,84445000,925,0.0245711285595853
"6","Sample.1","chr11",85100000,126915000,339,-0.675928871440415
"7","Sample.1","chr11",127010000,134993311,80,-0.0779288714404146
"8","Sample.1","chr12",70000,133222655,1234,0.00977112855958535
"9","Sample.1","chr13",18679053,114332164,578,0.0138711285595854
"10","Sample.1","chr14",19770857,106751859,807,-0.0194288714404146
"11","Sample.1","chr15",20232279,101850595,770,-0.0301288714404147
"12","Sample.1","chr16",40000,82245000,808,0.00837112855958535
"13","Sample.1","chr16",82470000,83760000,8,-0.397328871440415
"14","Sample.1","chr16",83805000,90149173,198,0.0924711285595853
"15","Sample.1","chr17",130000,5540000,141,0.0967711285595853
"16","Sample.1","chr17",5620000,6260000,5,-0.446728871440415
"17","Sample.1","chr17",6380000,33395000,273,0.0177711285595854
"18","Sample.1","chr17",33580000,34495000,8,-0.514828871440415
"19","Sample.1","chr17",34605000,35780000,15,-0.0495288714404147
"20","Sample.1","chr17",35870000,36290000,5,-0.474328871440415
"21","Sample.1","chr17",36505000,83168721,766,0.0383711285595853
"22","Sample.1","chr18",135000,80206643,405,-0.0326288714404147
"23","Sample.1","chr19",175000,58588808,1069,0.0794711285595854
"24","Sample.1","chr2",110000,242111765,1764,0.00167112855958535
"25","Sample.1","chr20",178168,64292084,638,-0.0523288714404146
"26","Sample.1","chr21",10569444,46679992,257,0.0320711285595853
"27","Sample.1","chr22",16567005,50769234,496,0.0221711285595853
"28","Sample.1","chr3",115000,93882787,622,-0.0194288714404146
"29","Sample.1","chr3",94095000,176965000,516,-0.602228871440415
"30","Sample.1","chr3",177155000,198097780,218,-0.00552887144041465
"31","Sample.1","chr4",110000,190066561,1017,0.0474711285595854
"32","Sample.1","chr5",50000,181369130,1233,-0.00332887144041465
"33","Sample.1","chr6",140000,170662990,1391,0.0192711285595853
"34","Sample.1","chr7",50000,159247987,1257,0.0279711285595853
"35","Sample.1","chr8",195000,145039318,1034,-0.0132288714404147
"36","Sample.1","chr9",215000,138187359,710,-0.00982887144041465
"37","Sample.1","chrX",2528744,155645448,534,0.968371128559585
"38","Sample.1","chrY",4728744,21244771,11,-2.87082887144041
