"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",717994,65475000,791,-0.0293701133640526
"2","Sample.1","chr1",65900000,108775000,200,0.274229886635947
"3","Sample.1","chr1",108925000,248923211,949,-0.0095701133640526
"4","Sample.1","chr10",105000,2000000,33,0.152829886635947
"5","Sample.1","chr10",2175000,3775000,16,0.422629886635947
"6","Sample.1","chr10",3825000,5075000,11,0.639029886635947
"7","Sample.1","chr10",5200000,31325000,198,0.356929886635947
"8","Sample.1","chr10",31500000,37475000,39,0.613729886635947
"9","Sample.1","chr10",37700000,133620233,732,0.0751298866359474
"10","Sample.1","chr11",155000,18225000,206,-0.284470113364053
"11","Sample.1","chr11",18275000,70927848,402,0.105429886635947
"12","Sample.1","chr11",71127848,134988311,489,-0.389070113364053
"13","Sample.1","chr12",80000,27375000,229,-0.265170113364053
"14","Sample.1","chr12",27475000,44625000,70,0.311429886635947
"15","Sample.1","chr12",44950000,133207655,738,-0.0887701133640526
"16","Sample.1","chr13",18729053,68350000,285,0.133729886635947
"17","Sample.1","chr13",69525000,110525000,164,0.443129886635947
"18","Sample.1","chr13",110575000,114327164,62,0.207329886635947
"19","Sample.1","chr14",19855857,24525000,59,0.306229886635947
"20","Sample.1","chr14",24750000,28175000,9,0.594029886635947
"21","Sample.1","chr14",28825000,70725000,272,0.131229886635947
"22","Sample.1","chr14",70775000,72800000,17,0.466329886635947
"23","Sample.1","chr14",72875000,75875000,49,0.180929886635947
"24","Sample.1","chr14",76025000,106841859,285,-0.151970113364053
"25","Sample.1","chr15",20232279,101840595,694,0.0320298866359474
"26","Sample.1","chr16",55000,34892311,330,-0.109870113364053
"27","Sample.1","chr16",35275000,50175000,38,0.571029886635947
"28","Sample.1","chr16",50225000,58675000,88,-0.432170113364053
"29","Sample.1","chr16",58950000,90139173,311,0.0049298866359474
"30","Sample.1","chr17",130000,29450000,287,0.251029886635947
"31","Sample.1","chr17",29575000,83148721,618,-0.141170113364053
"32","Sample.1","chr18",130000,80231643,404,0.0784298866359474
"33","Sample.1","chr19",180000,58578808,796,-0.0316701133640526
"34","Sample.1","chr2",105000,226875000,1426,0.0322298866359474
"35","Sample.1","chr2",227050000,227550000,6,-0.359070113364053
"36","Sample.1","chr2",227650000,235725000,84,-0.760870113364053
"37","Sample.1","chr2",235775000,242116765,108,-0.483270113364053
"38","Sample.1","chr20",158168,6300000,74,-0.0870701133640526
"39","Sample.1","chr20",6600000,16450000,38,0.447829886635947
"40","Sample.1","chr20",16625000,52175000,314,0.149529886635947
"41","Sample.1","chr20",52425000,54100000,12,0.521929886635947
"42","Sample.1","chr20",54175000,64292084,121,0.181029886635947
"43","Sample.1","chr21",10569444,46674992,240,-0.0598701133640526
"44","Sample.1","chr22",16557005,50754234,432,-0.0293701133640526
"45","Sample.1","chr3",230000,198142780,1225,0.0572298866359474
"46","Sample.1","chr4",55000,78575000,426,0.0856298866359474
"47","Sample.1","chr4",78625000,79725000,6,0.374529886635947
"48","Sample.1","chr4",80100000,190061561,494,0.0649298866359474
"49","Sample.1","chr5",55000,23925000,152,-0.0236701133640526
"50","Sample.1","chr5",24475000,54100000,122,0.318729886635947
"51","Sample.1","chr5",54400000,55250000,9,0.0414298866359474
"52","Sample.1","chr5",55350000,61750000,43,0.398729886635947
"53","Sample.1","chr5",62075000,65750000,15,0.000929886635947404
"54","Sample.1","chr5",65875000,68175000,14,0.361229886635947
"55","Sample.1","chr5",68225000,181364130,734,0.0103298866359474
"56","Sample.1","chr6",155000,13575000,132,0.0102298866359474
"57","Sample.1","chr6",13650000,15600000,22,0.310529886635947
"58","Sample.1","chr6",15700000,132875000,708,0.0049298866359474
"59","Sample.1","chr6",133075000,135975000,21,0.372829886635947
"60","Sample.1","chr6",136150000,170647990,284,-0.0334701133640526
"61","Sample.1","chr7",55000,153450000,974,-0.0022701133640526
"62","Sample.1","chr7",153950000,159242987,75,-0.561670113364053
"63","Sample.1","chr8",205000,2375000,37,-0.322570113364053
"64","Sample.1","chr8",2625000,5225000,8,-0.0621701133640526
"65","Sample.1","chr8",5950000,12092173,60,0.244929886635947
"66","Sample.1","chr8",12517173,21200000,47,0.649729886635947
"67","Sample.1","chr8",21575000,23225000,25,0.251129886635947
"68","Sample.1","chr8",23275000,40675000,127,0.590229886635947
"69","Sample.1","chr8",40900000,42950000,25,0.325429886635947
"70","Sample.1","chr8",43075000,53525000,44,0.0789298866359474
"71","Sample.1","chr8",53750000,128150000,406,0.460029886635947
"72","Sample.1","chr8",128250000,129600000,10,0.764029886635947
"73","Sample.1","chr8",129675000,141025000,72,0.473429886635947
"74","Sample.1","chr8",141075000,145039318,70,0.202929886635947
"75","Sample.1","chr9",130000,1025000,8,0.117329886635947
"76","Sample.1","chr9",1525000,39589735,141,-0.165470113364053
"77","Sample.1","chr9",68385276,112800000,232,0.134629886635947
"78","Sample.1","chr9",112950000,138192359,292,-0.299670113364053
"79","Sample.1","chrX",2518744,18375000,60,-0.0305701133640526
"80","Sample.1","chrX",18525000,76200000,198,0.451729886635947
"81","Sample.1","chrX",77250000,125450000,109,-0.289070113364053
"82","Sample.1","chrX",127775000,155640448,111,0.505929886635947
"83","Sample.1","chrY",4518744,21244771,13,-4.28757011336405
