Sample_ID,chrom,loc.start,loc.end,num.mark,bstat,seg.mean,seg.median,pval,state,treatment,method,sub.method
205122170045_R04C01,1,717994,1475000,14,NA,-0.561671833243482,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,1,717994,38625000,528,NA,-0.489222543268734,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,1,717994,65475000,791,NA,-0.0293697814327196,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,717994,1475000,14,NA,-0.743317349427686,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,1,717994,1475000,14,NA,-0.445312311116581,NA,0.05,1,tumor,custom,NA
205128000076_R07C01,1,717994,1475000,14,NA,-0.994424087613987,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,717994,65350000,790,NA,-0.00312847868917304,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,717994,38625000,528,NA,-0.413651893557549,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,1,717994,114350000,1056,NA,-0.312361947653721,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,717994,1475000,14,NA,-0.928840256925178,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,1,717994,1475000,14,NA,-0.247096378718347,NA,0.05,1,tumor,custom,NA
205243940107_R05C01,1,717994,1475000,14,NA,-0.672109333052162,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,717994,38625000,528,NA,-0.419994693442419,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,1,1525000,55025000,702,NA,0.104828166756518,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,1525000,18975000,245,NA,-0.196317349427686,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,1,1525000,6525000,72,NA,0.0163876888834193,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,1525000,10475000,135,NA,-0.414124087613987,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,1525000,3775000,42,NA,-0.332140256925178,NA,0.05,1,tumor,custom,NA
205243940065_R07C01,1,1525000,248923211,1926,NA,0.220503621281653,NA,0.05,3,tumor,custom,NA
205243940107_R05C01,1,1525000,3775000,42,NA,-0.120909333052162,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,1,3825000,227625000,1706,NA,0.00645974307482236,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,1,3825000,248923211,1884,NA,0.191290666947838,NA,0.05,2,tumor,custom,NA
205125590068_R01C01,1,6575000,248923211,1854,NA,0.183887688883419,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,10550000,55025000,567,NA,-0.0907240876139872,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,1,19025000,55025000,457,NA,-0.00121734942768617,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,38750000,208300000,1094,NA,0.218977456731266,NA,0.05,3,tumor,custom,NA
205243940036_R02C01,1,38750000,186400000,937,NA,0.156448106442451,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,38750000,108775000,463,NA,0.218105306557581,NA,0.05,3,tumor,custom,NA
205122170045_R04C01,1,55125000,235225000,1126,NA,0.347328166756518,NA,0.05,3,tumor,custom,NA
205125590067_R07C01,1,55125000,248923211,1224,NA,0.194982650572314,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,1,55125000,248923211,1224,NA,0.153675912386013,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,65475000,108925000,202,NA,0.274171521310827,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,65900000,108775000,200,NA,0.27423021856728,NA,0.05,3,tumor,custom,NA
205125590021_R02C01,1,108925000,248923211,949,NA,-0.00956978143271962,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,1,108925000,109175000,5,NA,-0.209594693442419,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,109025000,119500000,106,NA,-0.260428478689173,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,109225000,186400000,469,NA,0.155105306557581,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,1,114600000,248923211,884,NA,0.0289380523462786,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,119650000,121063230,5,NA,0.306471521310827,NA,0.05,3,tumor,custom,NA
205240110063_R01C01,1,143442294,152225000,56,NA,-0.037628478689173,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,1,152325000,153450000,15,NA,-0.444428478689173,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,153525000,247350000,750,NA,-0.097528478689173,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,186550000,200625000,45,NA,0.360148106442451,NA,0.05,3,tumor,custom,NA
205289430139_R07C01,1,186550000,199550000,38,NA,0.437905306557581,NA,0.05,3,tumor,custom,NA
205289430139_R07C01,1,199850000,208300000,119,NA,0.164605306557581,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,1,200675000,208300000,112,NA,0.143848106442451,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,208500000,247350000,302,NA,-0.489822543268734,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,1,208500000,248923211,318,NA,-0.329151893557549,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,1,208500000,248923211,318,NA,-0.373394693442419,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,227725000,228654182,15,NA,-0.349840256925178,NA,0.05,1,tumor,custom,NA
205243940058_R04C01,1,228725000,248923211,163,NA,0.0643597430748224,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,1,235350000,248923211,98,NA,0.0293281667565183,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,1,247425000,248525000,11,NA,-0.855922543268734,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,1,247425000,248923211,16,NA,-0.373528478689173,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,1,248675000,248923211,5,NA,-0.408922543268734,NA,0.05,1,tumor,custom,NA
205122170045_R04C01,2,105000,3675000,52,NA,-0.244371833243482,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,105000,46825000,393,NA,-0.454822543268734,NA,0.05,1,tumor,custom,NA
205125590021_R02C01,2,105000,226875000,1426,NA,0.0322302185672804,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,105000,1325000,20,NA,-0.415217349427686,NA,0.05,1,tumor,custom,NA
205125590068_R01C01,2,105000,155250000,1012,NA,0.0218876888834193,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,105000,17875000,157,NA,-0.284424087613987,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,105000,55950000,446,NA,-0.085328478689173,NA,0.05,2,tumor,custom,NA
205243940036_R02C01,2,105000,46825000,393,NA,-0.317951893557549,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,2,105000,43025000,352,NA,-0.00656194765372137,NA,0.05,2,tumor,custom,NA
205243940058_R04C01,2,105000,156050000,1013,NA,-0.0310402569251776,NA,0.05,2,tumor,custom,NA
205243940065_R07C01,2,105000,156350000,1014,NA,0.0222036212816534,NA,0.05,2,tumor,custom,NA
205243940107_R05C01,2,105000,156050000,1013,NA,0.00739066694783821,NA,0.05,2,tumor,custom,NA
205289430139_R07C01,2,105000,46825000,393,NA,-0.363294693442419,NA,0.05,1,tumor,custom,NA
205125590067_R07C01,2,1425000,36525000,280,NA,-0.155717349427686,NA,0.05,2,tumor,custom,NA
205122170045_R04C01,2,3725000,156050000,961,NA,0.118528166756518,NA,0.05,2,tumor,custom,NA
205128000076_R07C01,2,18000000,156050000,856,NA,-0.00852408761398718,NA,0.05,2,tumor,custom,NA
205125590067_R07C01,2,36675000,155250000,712,NA,0.0346826505723138,NA,0.05,2,tumor,custom,NA
205243940046_R04C01,2,43075000,43300000,5,NA,-0.287161947653721,NA,0.05,1,tumor,custom,NA
205243940046_R04C01,2,43375000,242116765,1267,NA,-0.00616194765372136,NA,0.05,2,tumor,custom,NA
205122170071_R01C01,2,46875000,49125000,22,NA,-2.46922254326873,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,2,46875000,49125000,22,NA,-1.32385189355755,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,46875000,49125000,22,NA,-1.49829469344242,NA,0.05,1,tumor,custom,NA
205122170071_R01C01,2,49800000,233550000,1078,NA,-0.470322543268734,NA,0.05,1,tumor,custom,NA
205243940036_R02C01,2,49800000,242116765,1209,NA,-0.321651893557549,NA,0.05,1,tumor,custom,NA
205289430139_R07C01,2,49800000,242116765,1209,NA,-0.365894693442419,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,56075000,60525000,13,NA,-0.353428478689173,NA,0.05,1,tumor,custom,NA
205240110063_R01C01,2,60650000,81300000,150,NA,-0.060128478689173,NA,0.05,2,tumor,custom,NA
205240110063_R01C01,2,82050000,86775000,35,NA,0.387171521310827,NA,0.05,3,tumor,custom,NA
205240110063_R01C01,2,87425000,90078252,10,NA,-0.285628478689173,NA,0.05,1,tumor,custom,NA
