Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	248895227	248141036	0.5	Hetero	S-tag133716	S-tag090469	4701	1	4701
chr2	2	21494	242143741	242122248	0.5	Hetero	S-tag008358	S-tag021033	9205	4702	4504
chr3	3	77174	90389747	90312574	0.5	Hetero	S-tag326241	S-tag023046	11033	9206	1828
chr3	3	95188749	175861931	80673183	0.117586658514755	Unbalanced	S-tag323382	S-tag308218	11378	11034	345
chr3	3	176602063	197815437	21213375	0.5	Hetero	S-tag123561	S-tag189370	11888	11379	510
chr4	4	360026	190103064	189743039	0.5	Hetero	S-tag102409	S-tag091022	15360	11889	3472
chr5	5	422752	154448404	154025653	0.5	Hetero	S-tag263662	S-tag288316	18418	15361	3058
chr5	5	154650537	155336076	685540	0.444831794500351	Unbalanced	S-tag201568	S-tag111724	18448	18419	30
chr5	5	155351357	180652241	25300885	0.5	Hetero	S-tag322396	S-tag174046	19060	18449	612
chr6	6	206092	170427731	170221640	0.5	Hetero	S-tag324424	S-tag255794	22265	19061	3205
chr7	7	80500	159118443	159037944	0.5	Hetero	S-tag296458	S-tag164900	25430	22266	3165
chr8	8	189030	145033734	144844705	0.5	Hetero	S-tag187347	S-tag063462	28720	25431	3290
chr9	9	407575	138327242	137919668	0.5	Hetero	S-tag019258	S-tag031373	31060	28721	2340
chr10	10	126070	133787629	133661560	0.5	Hetero	S-tag288298	S-tag161699	33855	31061	2795
chr11	11	252318	84454391	84202074	0.5	Hetero	S-tag071380	S-tag006163	35343	33856	1488
chr11	11	85007026	124586079	39579054	0.117903778661494	Unbalanced	S-tag118313	S-tag027489	35409	35344	66
chr11	11	126864307	134938847	8074541	0.5	Hetero	S-tag257268	S-tag183870	35629	35410	220
chr12	12	197841	133018682	132820842	0.5	Hetero	S-tag082295	S-tag257878	38322	35630	2693
chr13	13	19421095	114087261	94666167	0.5	Hetero	S-tag124012	S-tag169187	40498	38323	2176
chr14	14	20254570	106875905	86621336	0.5	Hetero	S-tag291804	S-tag310533	42467	40499	1969
chr15	15	20176300	101948340	81772041	0.5	Hetero	S-tag043504	S-tag255645	44174	42468	1707
chr16	16	115072	90074213	89959142	0.5	Hetero	S-tag227559	S-tag208970	45740	44175	1566
chr17	17	489431	80180346	79690916	0.5	Hetero	S-tag077588	S-tag167994	47330	45741	1590
chr18	18	138601	35606811	35468211	0.5	Hetero	S-tag093963	S-tag093713	48021	47331	691
chr18	18	35636827	36357880	721054	0.439148374177792	Unbalanced	S-tag127099	S-tag111179	48048	48022	27
chr18	18	36505318	77950543	41445226	0.5	Hetero	S-tag004898	S-tag021176	49038	48049	990
chr19	19	292901	58602938	58310038	0.5	Hetero	S-tag184039	S-tag046131	50145	49039	1107
chr20	20	69094	62795555	62726462	0.5	Hetero	S-tag083344	S-tag110366	51564	50146	1419
chr21	21	14780336	46605839	31825504	0.5	Hetero	S-tag326890	S-tag244650	52253	51565	689
chr22	22	16863070	26753731	9890662	0.473059233719683	Unbalanced	S-tag128271	S-tag060978	52430	52254	177
chr22	22	26794825	50780949	23986125	0.5	Hetero	S-tag002788	S-tag085400	53004	52431	574
chrX	23	909269	155184866	154275598	0.5	Hetero	S-tag223445	S-tag089277	55008	53005	2004
chrY	24	2660608	14697381	12036774	0.0485564788660091	Homo	S-tag145606	S-tag083768	55074	55009	66
chrY	24	14782044	16432366	1650323	0.255278933844783	Unbalanced	S-tag260077	S-tag207576	55096	55075	22
chrY	24	16461537	23331892	6870356	0.0949844705781766	Unbalanced	S-tag292877	S-tag279516	55152	55097	56
chrY	24	23390939	24510481	1119543	0.5	Hetero	S-tag299744	S-tag313049	55166	55153	14
