"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",792994,189500000,169,-0.0630772967007369
"2","Sample.1","chr1",190500000,196500000,7,0.293622703299263
"3","Sample.1","chr1",197500000,248473211,54,-0.0395772967007369
"4","Sample.1","chr10",505000,133345233,132,-0.0271772967007369
"5","Sample.1","chr11",530000,76500000,71,-0.0670772967007369
"6","Sample.1","chr11",77500000,118500000,41,-0.714277296700737
"7","Sample.1","chr11",119500000,134538311,16,-0.119577296700737
"8","Sample.1","chr12",505000,133132655,133,0.000422703299263107
"9","Sample.1","chr13",18704053,114177164,98,0.0280227032992631
"10","Sample.1","chr14",19805857,106441859,86,-0.0213772967007369
"11","Sample.1","chr15",20232279,101490595,84,-0.0632772967007369
"12","Sample.1","chr16",505000,90114173,80,-0.0251772967007369
"13","Sample.1","chr17",254094,83123721,82,-0.0359772967007369
"14","Sample.1","chr18",505000,80131643,75,-0.0122772967007369
"15","Sample.1","chr19",530000,58303808,57,0.0406227032992631
"16","Sample.1","chr2",505000,75500000,77,-0.0544772967007369
"17","Sample.1","chr2",76500000,83500000,8,0.338422703299263
"18","Sample.1","chr2",84500000,242091765,153,-0.000677296700736889
"19","Sample.1","chr20",533168,64167084,62,-0.121277296700737
"20","Sample.1","chr21",10569444,46349992,36,0.0485227032992631
"21","Sample.1","chr22",16657005,50391917,36,-0.0851772967007369
"22","Sample.1","chr3",505000,198117780,194,-0.00347729670073689
"23","Sample.1","chr4",505000,190061561,186,0.0424227032992631
"24","Sample.1","chr5",505000,181239130,179,-0.0152772967007369
"25","Sample.1","chr6",530000,170372990,165,0.00262270329926311
"26","Sample.1","chr7",123923,159167987,155,0.0268227032992631
"27","Sample.1","chr8",530000,145039318,144,-0.0124772967007369
"28","Sample.1","chr9",505000,138167359,107,-0.0496772967007369
"29","Sample.1","chrX",2568744,27500000,25,0.852922703299263
"30","Sample.1","chrX",29000000,36549631,8,1.34652270329926
"31","Sample.1","chrX",37642919,155515448,102,0.840422703299263
"32","Sample.1","chrY",4568744,20998668,9,-2.98447729670074
