"ID","chrom","loc.start","loc.end","num.mark","seg.mean","seg.sd","seg.median","seg.mad","pval","lcl","ucl"
"Sample.1","chr1",792994,54500000,58,0.0312,0.1385,0.0541,0.065,5.8569707471726e-39,52500000,56500000
"Sample.1","chr1",55500000,248473211,174,0.2556,0.0994,0.2609,0.0983,NA,NA,NA
"Sample.1","chr10",505000,133345233,133,0.0805,0.1147,0.0805,0.1054,NA,NA,NA
"Sample.1","chr11",530000,78500000,73,-0.0038,0.1164,0.0059,0.0924,2.99730707167681e-52,77500000,79500000
"Sample.1","chr11",79500000,116500000,37,0.3565,0.1141,0.3423,0.1251,2.44214764752186e-20,115500000,117500000
"Sample.1","chr11",117500000,134538311,18,0.0462,0.1108,0.0463,0.1091,NA,NA,NA
"Sample.1","chr12",505000,8500000,10,-0.1055,0.0885,-0.0776,0.0933,2.13744803356362e-22,8500000,9500000
"Sample.1","chr12",9500000,46500000,35,0.2223,0.0924,0.2279,0.078,1.62015095930318e-16,45500000,46500000
"Sample.1","chr12",47500000,57500000,11,-0.0296,0.053,-0.0335,0.0384,4.51342793599951e-09,57500000,59500000
"Sample.1","chr12",58500000,106500000,49,0.1708,0.1005,0.1677,0.1044,2.24637455532531e-13,104500000,109500000
"Sample.1","chr12",107500000,133132655,28,-0.0267,0.1175,-0.0349,0.1089,NA,NA,NA
"Sample.1","chr13",18704053,36500000,19,0.3777,0.1711,0.4235,0.1424,5.10529026150556e-67,35500000,36500000
"Sample.1","chr13",37500000,66500000,30,-0.3036,0.1047,-0.3028,0.0887,2.0640056923124e-275,66500000,66500000
"Sample.1","chr13",67500000,109500000,42,0.6476,0.1179,0.6524,0.1143,2.59717265934628e-11,108500000,109500000
"Sample.1","chr13",110500000,114177164,7,0.2906,0.1544,0.3268,0.1737,NA,NA,NA
"Sample.1","chr14",19187179,34500000,17,0.2434,0.1505,0.2212,0.1697,1.08995369710053e-07,31500000,36500000
"Sample.1","chr14",35500000,56500000,22,-0.0084,0.1207,-0.0086,0.1014,2.78405807033433e-32,54500000,57500000
"Sample.1","chr14",57500000,106441859,50,-0.3706,0.1156,-0.3779,0.105,NA,NA,NA
"Sample.1","chr15",20232279,101490595,86,-0.0413,0.1125,-0.0319,0.1348,NA,NA,NA
"Sample.1","chr16",505000,34144665,36,-0.4884,0.1302,-0.4912,0.1034,1.00810392733565e-25,33721206,34144665
"Sample.1","chr16",34430420,51500000,8,0.0347,0.0962,0.0791,0.0649,1.43349193087117e-23,51500000,51500000
"Sample.1","chr16",52500000,90114173,38,-0.4847,0.1358,-0.5209,0.1865,NA,NA,NA
"Sample.1","chr17",254094,10500000,12,-0.4145,0.2509,-0.5231,0.0939,4.84403609731407e-34,9500000,10500000
"Sample.1","chr17",11500000,22426545,12,0.5795,0.1396,0.5324,0.1381,8.04597565899237e-66,22426545,26967990
"Sample.1","chr17",26967990,67500000,42,-0.0135,0.094,-0.0337,0.0942,2.13526063004573e-11,66500000,68500000
"Sample.1","chr17",68500000,72500000,5,0.3057,0.1105,0.3202,0.0812,5.2457217677771e-17,72500000,72500000
"Sample.1","chr17",73500000,83123721,12,-0.147,0.0977,-0.1569,0.1052,NA,NA,NA
"Sample.1","chr18",505000,80131643,76,0.0539,0.1081,0.034,0.1085,NA,NA,NA
"Sample.1","chr19",530000,58303808,57,-0.0462,0.0869,-0.063,0.0721,NA,NA,NA
"Sample.1","chr2",505000,155500000,155,0.0273,0.1061,0.0197,0.1107,9.50446370915891e-34,154500000,155500000
"Sample.1","chr2",156500000,173500000,18,-0.2988,0.0956,-0.2909,0.0996,2.30347940784807e-29,173500000,174500000
"Sample.1","chr2",174500000,242091765,68,0.0123,0.1031,0.0215,0.1141,NA,NA,NA
"Sample.1","chr20",533168,64167084,62,0.2968,0.1477,0.311,0.1266,NA,NA,NA
"Sample.1","chr21",5088123,7804723,5,-0.2285,0.1164,-0.2468,0.1564,2.61645312069128e-05,6503720,14500000
"Sample.1","chr21",10569444,40500000,29,0.033,0.115,0.0225,0.1343,2.07608157023109e-08,37500000,40500000
"Sample.1","chr21",41292146,46349992,8,-0.228,0.0726,-0.2112,0.0786,NA,NA,NA
"Sample.1","chr22",15716995,50391917,38,-0.1597,0.0992,-0.1675,0.0801,NA,NA,NA
"Sample.1","chr3",505000,198117780,194,0.2104,0.1329,0.2199,0.1443,NA,NA,NA
"Sample.1","chr4",505000,9661458,11,0.0035,0.0738,0.0174,0.0829,6.70317759648175e-14,9661458,11500000
"Sample.1","chr4",10500000,97500000,86,0.2638,0.1047,0.2686,0.0981,3.92829408424451e-55,95500000,99500000
"Sample.1","chr4",98500000,190061561,93,0.0414,0.0817,0.0286,0.0728,NA,NA,NA
"Sample.1","chr5",505000,2500000,3,0.0643,0.0992,0.0407,0.0915,5.05538164272492e-07,1500000,30500000
"Sample.1","chr5",3500000,165500000,160,0.2509,0.1096,0.2564,0.1151,8.93512942904766e-42,164500000,166500000
"Sample.1","chr5",166500000,181239130,16,-0.1489,0.1158,-0.1546,0.1251,NA,NA,NA
"Sample.1","chr6",530000,14500000,15,-1.0729,0.0734,-1.0706,0.0787,6.88078556173392e-106,14500000,14500000
"Sample.1","chr6",15500000,55500000,41,-0.4164,0.1073,-0.4039,0.1209,7.55910603497293e-84,55500000,56500000
"Sample.1","chr6",56500000,84500000,26,0.2096,0.1645,0.2468,0.1312,1.17639956029145e-46,83500000,84500000
"Sample.1","chr6",85500000,116500000,30,-0.3355,0.1158,-0.3498,0.1189,8.86085322140439e-158,116500000,116500000
"Sample.1","chr6",117500000,170372990,55,0.2397,0.0811,0.2495,0.0806,NA,NA,NA
"Sample.1","chr7",123923,6500000,8,-0.3026,0.0981,-0.3274,0.0754,2.64826433691175e-12,5500000,8500000
"Sample.1","chr7",7500000,76500000,65,-0.0101,0.1052,0.0031,0.0911,2.97360073096662e-25,75500000,77500000
