"","value"
"chr1-0001",-0.0458106991543184
"chr1-0002",-0.0353182021510202
"chr1-0003",0.0577222672777432
"chr1-0004",0.0619215167050834
"chr1-0005",0.069407852733535
"chr1-0006",0.0703960202654694
"chr1-0007",0.0645815449433491
"chr1-0008",0.0950429506497735
"chr1-0009",0.0971852667718201
"chr1-0010",0.0594166367658805
"chr1-0011",0.102062762963484
"chr1-0012",0.0512399734552912
"chr1-0013",0.0473100830292725
"chr1-0014",-1.52378582607609
"chr1-0015",0.0500072113324011
"chr1-0016",0.0589047338276968
"chr1-0017",0.0294514888038462
"chr1-0018",0.0469148805778943
"chr1-0019",-0.0312436302053874
"chr1-0020",0.0471619647968704
"chr1-0021",0.12847060857251
"chr1-0022",0.0476168099716137
"chr1-0023",0.0869589035427673
"chr1-0024",0.0363221163738799
"chr1-0025",0.10170023721055
"chr1-0026",0.121388259997074
"chr1-0027",0.011312471019981
"chr1-0028",0.0957026170614821
"chr1-0029",0.0703073834482116
"chr1-0030",0.0914326892316412
"chr1-0031",0.0620581317457076
"chr1-0032",0.0726511485435984
"chr1-0033",0.0806908250313838
"chr1-0034",0.0695523593338139
"chr1-0035",0.112386118267844
"chr1-0036",0.123754683575505
"chr1-0037",0.0575234632397086
"chr1-0038",0.0983669248379659
"chr1-0039",0.106303838768633
"chr1-0040",0.0163991590784335
"chr1-0041",0.0349899846847811
"chr1-0042",0.054847610325849
"chr1-0043",0.0208799812981261
"chr1-0044",-0.0437668989371787
"chr1-0045",-0.254037694396136
"chr1-0046",-0.226597025057923
"chr1-0047",-0.196539086636669
"chr1-0048",-0.283301500252282
"chr1-0049",-0.264828093790756
"chr1-0050",-0.145521049064265
"chr1-0051",-0.122055954953442
"chr1-0052",-0.216460685002563
"chr1-0053",-0.264577125542796
"chr1-0054",-0.210044600469209
"chr1-0055",-0.224018733006801
"chr1-0056",-0.17284200623586
"chr1-0057",-0.311506671450794
"chr1-0058",-0.307628905355849
"chr1-0059",-0.0501117652533763
"chr1-0060",-0.0293315993097144
"chr1-0061",0.00435331108349265
"chr1-0062",0.130818712547862
"chr1-0063",0.0658796706061622
"chr1-0064",0.0703332877453017
"chr1-0065",0.0121170954189555
"chr1-0066",0.0519562901327955
"chr1-0067",0.0109996590078912
"chr1-0068",0.0247223100951779
"chr1-0069",0.0624540847445938
"chr1-0070",0.137186487390771
"chr1-0071",0.0781530432274826
"chr1-0072",0.0737156705793924
"chr1-0073",0.0906075572072501
"chr1-0074",0.0655624483135297
"chr1-0075",0.055865280279393
"chr1-0076",0.00455849228623104
"chr1-0077",0.100944637393345
"chr1-0078",0.14819631522041
"chr1-0079",0.129118311849616
"chr1-0080",0.0704524331280322
"chr1-0081",0.0737803993792452
"chr1-0082",0.111308797576213
"chr1-0083",0.0839726140790577
"chr1-0084",-0.0110241185994791
"chr1-0085",0.0015774031796645
"chr1-0086",0.149996888208689
"chr1-0087",0.112001561611851
"chr1-0088",0.152874414534983
"chr1-0089",0.0262234233720646
"chr1-0090",0.0364554088147176
"chr1-0091",0.0689109276771561
"chr1-0092",-0.0296103873493093
"chr1-0093",0.00305507442423289
"chr1-0094",0.0052572036562892
"chr1-0095",0.127433246449508
"chr1-0096",0.14592518501627
"chr1-0097",-0.0418698367221321
"chr1-0098",0.0037488000121233
"chr1-0099",0.124328389023677
"chr1-0100",0.0933913980110341
"chr1-0101",0.118590949090087
"chr1-0102",0.0676380630013118
"chr1-0103",0.201359648267098
"chr1-0104",0.0867035538223894
"chr1-0105",0.0513271370865794
"chr1-0106",-0.00794329052567523
"chr1-0107",0.0559611065004847
"chr1-0108",0.0220775676130831
"chr1-0109",0.080818441071744
"chr1-0110",0.089989257908466
"chr1-0111",0.0933006409347093
"chr1-0112",0.0738191094992362
"chr1-0113",0.0468449249619547
"chr1-0114",0.0933682684185183
"chr1-0115",0.138224735853404
"chr1-0116",0.0442970262645404
"chr1-0117",0.0807771539915215
"chr1-0118",0.0680417661841178
"chr1-0119",0.0866432393247932
"chr1-0120",0.107951998122502
"chr1-0121",0.0561949194170421
"chr1-0122",0.0566106742702168
"chr1-0123",0.00429798037958178
"chr1-0124",-0.00660494332173656
"chr1-0125",0.14111706092918
"chr1-0126",0.0679910025156189
"chr1-0127",0.109660006199569
"chr1-0128",0.0363476780752705
"chr1-0129",0.0380409275314133
"chr1-0130",0.0852641594094128
"chr1-0131",0.0274724879045663
"chr1-0132",0.115124453773682
"chr1-0133",0.0528901692258876
"chr1-0134",0.0668424821228246
"chr1-0135",0.0240362474588967
"chr1-0136",0.3214187007171
"chr1-0137",0.215332297769479
"chr1-0138",0.251123958973112
"chr1-0139",0.370285144081188
"chr1-0140",0.2659870476012
"chr1-0141",0.211421952466342
"chr1-0142",0.331589982912086
"chr1-0143",0.312728550839771
"chr1-0144",0.226977486919167
"chr1-0145",0.265965651452632
"chr1-0146",0.309151963374711
"chr1-0147",0.377304404977336
"chr1-0148",0.172072454378254
"chr1-0149",0.22554303475143
"chr1-0150",0.170910744324963
"chr1-0151",0.340553845091651
"chr1-0152",0.251036198547442
"chr1-0153",0.238970157822038
"chr1-0154",0.196971002410726
"chr1-0155",0.242861041532857
"chr1-0156",0.260739688670661
"chr1-0157",0.301946031446545
"chr1-0158",0.243050936769833
"chr1-0159",0.300382581852226
"chr1-0160",0.29420384731324
"chr1-0161",0.224807507027542
"chr1-0162",0.176172284589842
"chr1-0163",0.246060426609536
"chr1-0164",0.145785473127228
"chr1-0165",0.263159171077271
"chr1-0166",0.19471182667593
"chr1-0167",0.246442678022793
"chr1-0168",0.132414656990802
"chr1-0169",0.235625450623041
"chr1-0170",0.232248497650556
"chr1-0171",0.235913278041717
"chr1-0172",0.245367248326372
"chr1-0173",-0.0108447468104596
"chr1-0174",0.107411234328485
"chr1-0175",0.171883092003416
"chr1-0176",0.287945239272843
"chr1-0177",-0.0206748320577688
"chr1-0178",0.180698767427131
"chr1-0179",0.215505598162889
"chr1-0180",0.246598052818516
"chr1-0181",0.299169154832541
"chr1-0182",0.423782863212233
"chr1-0183",0.247574597188857
"chr1-0184",0.331134805031079
"chr1-0185",0.282182641001921
"chr1-0186",0.251562502097511
"chr1-0187",0.218593244742833
"chr1-0188",0.218773103460113
"chr1-0189",0.2416102154653
"chr1-0190",0.243172893762635
"chr1-0191",0.218374900270073
"chr1-0192",0.220499037804419
"chr1-0193",0.244281931871173
"chr1-0194",0.181152815078493
"chr1-0195",0.168785779180245
"chr1-0196",0.211296977283187
"chr1-0197",0.395876464827734
"chr1-0198",0.304707137045535
"chr1-0199",0.226237552693479
"chr1-0200",0.245542951060892
"chr1-0201",0.312795658866667
"chr1-0202",0.287640589298594
"chr1-0203",0.18803993117971
"chr1-0204",0.271203580320907
"chr1-0205",0.198726417956488
"chr1-0206",0.228560239345834
"chr1-0207",0.31531690570008
"chr1-0208",0.270393623287321
"chr1-0209",0.22635793157737
"chr1-0210",0.273489016475745
"chr1-0211",0.207469063413419
"chr1-0212",0.299299392045114
"chr1-0213",0.232824766912035
"chr1-0214",0.211294682989881
"chr1-0215",0.145950212997523
"chr1-0216",0.187654463896588
"chr1-0217",0.258544428720908
"chr1-0218",0.24132782952933
"chr1-0219",0.237809881397237
"chr1-0220",0.202953580978107
"chr1-0221",0.229777188941168
"chr1-0222",0.216522357723108
"chr1-0223",0.229583200921601
"chr1-0224",0.276823874169292
"chr1-0225",0.168589636005073
"chr1-0226",0.279871603016249
"chr1-0227",0.300402352353622
"chr1-0228",0.231968643716357
"chr1-0229",0.239499881111368
"chr1-0230",0.180648999264549
"chr1-0231",0.212769798858119
"chr1-0232",0.26388646530137
"chr1-0233",0.236159144772053
"chr1-0234",0.223646531039896
"chr1-0235",0.227705767536475
"chr1-0236",0.254589748675461
"chr1-0237",0.292243125199445
"chr1-0238",0.238868591864205
"chr1-0239",0.23432655726709
"chr1-0240",0.248156542790751
"chr1-0241",0.259971160871614
"chr1-0242",0.23743221821611
"chr1-0243",0.245928356183662
"chr1-0244",0.18426462341047
"chr1-0245",0.323582381394744
"chr1-0246",0.317102295609291
"chr1-0247",0.255486108332284
"chr1-0248",0.221275737977312
"chr1-0249",0.260607350086154
"chr1-0250",0.274720745998673
"chr1-0251",0.175838133611479
"chr1-0252",0.171701335029741
"chr1-0253",0.172305444387174
"chr1-0254",0.264500298664634
"chr1-0255",0.206040253267561
"chr1-0256",0.231922015862682
"chr1-0257",0.311125105611194
"chr1-0258",0.227573156263876
"chr1-0259",0.316196682001293
"chr1-0260",0.216846857111258
"chr1-0261",0.201789745325748
"chr1-0262",0.282410218628231
"chr1-0263",0.327378268007412
"chr1-0264",0.238846837861878
"chr1-0265",0.396054263388222
"chr1-0266",0.207403416335395
"chr1-0267",0.25658508830209
"chr1-0268",0.251844667918937
"chr1-0269",0.292955022722974
"chr1-0270",0.19363391139421
"chr1-0271",0.234454858743331
"chr1-0272",0.246856806566456
