Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr1	1	754192	145479486	144725295	0.5	Hetero	S-tag133716	S-tag134275	9794	1	9794
chr1	1	145507253	155140648	9633396	0.5878	Unbalanced	S-tag064757	S-tag217527	10446	9795	652
chr1	1	155149718	156028446	878729	0.5	Hetero	S-tag061135	S-tag193913	10541	10447	95
chr1	1	156031174	162459723	6428550	0.5788	Unbalanced	S-tag223749	S-tag240835	11146	10542	605
chr1	1	162469475	163344343	874869	0.5	Hetero	S-tag056984	S-tag294678	11210	11147	64
chr1	1	163347938	165835194	2487257	0.5962	Unbalanced	S-tag114098	S-tag066668	11427	11211	217
chr1	1	165840411	168282491	2442081	0.5	Hetero	S-tag010182	S-tag221827	11606	11428	179
chr1	1	168301911	178294872	9992962	0.5841	Unbalanced	S-tag066060	S-tag078577	12387	11607	781
chr1	1	178308249	179817654	1509406	0.5	Hetero	S-tag101094	S-tag252124	12505	12388	118
chr1	1	179841753	184948689	5106937	0.5865	Unbalanced	S-tag226155	S-tag268398	12900	12506	395
chr1	1	184964347	186692562	1728216	0.5	Hetero	S-tag173179	S-tag024896	13063	12901	163
chr1	1	186701441	188292950	1591510	0.5855	Unbalanced	S-tag122431	S-tag129113	13188	13064	125
chr1	1	188298501	189763755	1465255	0.5	Hetero	S-tag276458	S-tag300313	13280	13189	92
chr1	1	189780010	195264079	5484070	0.5855	Unbalanced	S-tag133039	S-tag007951	13682	13281	402
chr1	1	195280424	198670648	3390225	0.5	Hetero	S-tag256967	S-tag097089	13913	13683	231
chr1	1	198695167	203207520	4512354	0.5846	Unbalanced	S-tag194236	S-tag143285	14227	13914	314
chr1	1	203221973	204344953	1122981	0.5	Hetero	S-tag318604	S-tag079452	14323	14228	96
chr1	1	204353050	208671456	4318407	0.5812	Unbalanced	S-tag226374	S-tag215127	14648	14324	325
chr1	1	208681333	210216946	1535614	0.5	Hetero	S-tag175991	S-tag124456	14763	14649	115
chr1	1	210233610	216844817	6611208	0.5717	Unbalanced	S-tag080420	S-tag237151	15250	14764	487
chr1	1	216864023	223690077	6826055	0.5935	Unbalanced	S-tag154011	S-tag264290	15785	15251	535
chr1	1	223718462	224892057	1173596	0.5	Hetero	S-tag231818	S-tag068411	15856	15786	71
chr1	1	224908366	228116281	3207916	0.5823	Unbalanced	S-tag324633	S-tag196540	16124	15857	268
chr1	1	228143402	231034429	2891028	0.5565	Unbalanced	S-tag223506	S-tag052022	16385	16125	261
chr1	1	231060736	235392546	4331811	0.5862	Unbalanced	S-tag075338	S-tag179544	16702	16386	317
chr1	1	235422177	249212878	13790702	0.6451	Unbalanced	S-tag199582	S-tag279722	17813	16703	1111
chr2	2	21494	3484443	3462950	0.5	Hetero	S-tag008358	S-tag261409	18045	17814	232
chr2	2	3508131	4287408	779278	0.5987	Unbalanced	S-tag089451	S-tag232590	18093	18046	48
chr2	2	4294389	10268798	5974410	0.6502	Unbalanced	S-tag108249	S-tag135877	18519	18094	426
chr2	2	10275814	20445639	10169826	0.7074	Unbalanced	S-tag093261	S-tag212303	19351	18520	832
chr2	2	20449174	25754005	5304832	0.6764	Unbalanced	S-tag081921	S-tag088219	19747	19352	396
chr2	2	25767561	31808970	6041410	0.6474	Unbalanced	S-tag325338	S-tag237808	20376	19748	629
chr2	2	31824255	91866487	60042233	0.7119	Unbalanced	S-tag321019	S-tag097529	24593	20377	4217
chr2	2	95429197	107820073	12390877	0.6437	Unbalanced	S-tag115905	S-tag319888	25613	24594	1020
chr2	2	107844728	112651316	4806589	0.5	Hetero	S-tag136865	S-tag112190	25879	25614	266
chr2	2	112661150	131917091	19255942	0.6521	Unbalanced	S-tag184261	S-tag040441	27215	25880	1336
chr2	2	132095744	137263020	5167277	0.6268	Unbalanced	S-tag016557	S-tag019137	27507	27216	292
chr2	2	137271909	140392951	3121043	0.6729	Unbalanced	S-tag111624	S-tag053511	27716	27508	209
chr2	2	140403371	155439118	15035748	0.6482	Unbalanced	S-tag232440	S-tag128347	29445	27717	1729
chr2	2	155459046	156471416	1012371	0.5765	Unbalanced	S-tag188566	S-tag233210	29514	29446	69
chr2	2	156497944	175300997	18803054	0.5	Hetero	S-tag211055	S-tag268460	30898	29515	1384
chr2	2	175311629	212587885	37276257	0.6503	Unbalanced	S-tag010509	S-tag128946	33653	30899	2755
chr2	2	212588627	213438055	849429	0.6875	Unbalanced	S-tag248144	S-tag270181	33807	33654	154
chr2	2	213453299	242048582	28595284	0.649	Unbalanced	S-tag324758	S-tag182188	35821	33808	2014
chr2	2	242085602	243052331	966730	0.6451	Unbalanced	S-tag255234	S-tag082861	35915	35822	94
chr3	3	63411	1986399	1922989	0.5	Hetero	S-tag123447	S-tag023950	36080	35916	165
chr3	3	2001047	3712236	1711190	0.6575	Unbalanced	S-tag137487	S-tag147827	36196	36081	116
chr3	3	3728697	27138586	23409890	0.5	Hetero	S-tag270131	S-tag075795	38066	36197	1870
chr3	3	27145162	27868849	723688	0.574	Unbalanced	S-tag287786	S-tag014194	38114	38067	48
chr3	3	27880417	174953983	147073567	0.5	Hetero	S-tag168150	S-tag322366	49223	38115	11109
chr3	3	174973723	175939204	965482	0.5458	Unbalanced	S-tag284778	S-tag279782	49289	49224	66
chr3	3	175964684	177633633	1668950	0.663	Unbalanced	S-tag300921	S-tag113000	49402	49290	113
chr3	3	177647728	192438594	14790867	0.5	Hetero	S-tag121089	S-tag098712	50705	49403	1303
chr3	3	192451718	194138271	1686554	0.6638	Unbalanced	S-tag205228	S-tag103297	50816	50706	111
chr3	3	194160478	197852564	3692087	0.5	Hetero	S-tag096560	S-tag251937	51111	50817	295
chr4	4	69404	29146249	29076846	0.5	Hetero	S-tag272826	S-tag239625	53046	51112	1935
chr4	4	29175184	29763473	588290	0.5642	Unbalanced	S-tag032427	S-tag183750	53087	53047	41
chr4	4	29777402	93949596	64172195	0.5	Hetero	S-tag145588	S-tag081752	57521	53088	4434
chr4	4	93966480	99309404	5342925	0.659	Unbalanced	S-tag107879	S-tag255345	57896	57522	375
chr4	4	99315648	101070872	1755225	0.6009	Unbalanced	S-tag291725	S-tag020978	58034	57897	138
chr4	4	101079208	127336047	26256840	0.6476	Unbalanced	S-tag300680	S-tag176947	59883	58035	1849
chr4	4	127356898	130192103	2835206	0.6761	Unbalanced	S-tag195913	S-tag286828	60087	59884	204
chr4	4	130197796	187638636	57440841	0.6483	Unbalanced	SIG_020AT	S-tag110433	64345	60088	4258
chr4	4	187640401	190915650	3275250	0.6802	Unbalanced	S-tag120088	S-tag011735	64556	64346	211
chr5	5	38139	51762532	51724394	0.5	Hetero	S-tag083571	S-tag250687	67943	64557	3387
chr5	5	51787940	60298360	8510421	0.6495	Unbalanced	S-tag251045	S-tag087926	68564	67944	621
chr5	5	60307904	62452118	2144215	0.6092	Unbalanced	S-tag263064	S-tag296451	68707	68565	143
chr5	5	62460395	64809337	2348943	0.5	Hetero	S-tag005065	S-tag156354	68871	68708	164
chr5	5	64829258	65169440	340183	0.5665	Unbalanced	S-tag187930	S-tag267245	68896	68872	25
chr5	5	65185014	80951215	15766202	0.6481	Unbalanced	S-tag119236	S-tag095837	69869	68897	973
chr5	5	80966666	84680951	3714286	0.6188	Unbalanced	S-tag071775	S-tag101923	70131	69870	262
chr5	5	84694804	85554875	860072	0.6916	Unbalanced	S-tag313762	S-tag229286	70188	70132	57
chr5	5	85568795	97108559	11539765	0.6367	Unbalanced	S-tag249804	S-tag005163	70970	70189	782
chr5	5	97121662	104892945	7771284	0.67	Unbalanced	S-tag119464	S-tag062523	71486	70971	516
